Time,ECG
1604520653.5417,87
1604520653.5421,1009
1604520653.5446,2859
1604520653.5472,4386
1604520653.5491,5222
1604520653.5512,6093
1604520653.5532,6764
1604520653.5552,7018
1604520653.5572,7454
1604520653.5591,8001
1604520653.5612,8282
1604520653.5632,8543
1604520653.5653,8887
1604520653.5672,9141
1604520653.5692,9338
1604520653.5712,9555
1604520653.5732,9754
1604520653.5752,9911
1604520653.5772,10061
1604520653.5792,10216
1604520653.5811,10371
1604520653.5832,10485
1604520653.5852,10567
1604520653.5872,10669
1604520653.5892,10776
1604520653.5912,10853
1604520653.5932,10931
1604520653.5952,11015
1604520653.5972,11083
1604520653.5991,11141
1604520653.6012,11202
1604520653.6032,11253
1604520653.6051,11301
1604520653.6072,11335
1604520653.6092,11347
1604520653.6112,11371
1604520653.6132,11400
1604520653.6151,11412
1604520653.6173,11417
1604520653.6192,11420
1604520653.6212,11417
1604520653.6232,11417
1604520653.6252,11412
1604520653.6272,11412
1604520653.6292,11408
1604520653.6312,11386
1604520653.6332,11364
1604520653.6352,11357
1604520653.6372,11340
1604520653.6392,11311
1604520653.6417,11291
1604520653.6433,11274
1604520653.6452,11240
1604520653.6471,11202
1604520653.6491,11173
1604520653.6512,11144
1604520653.6531,11105
1604520653.6551,11056
1604520653.6572,11013
1604520653.6592,10974
1604520653.6611,10923
1604520653.6632,10865
1604520653.6652,10817
1604520653.6672,10766
1604520653.6692,10701
1604520653.6712,10633
1604520653.6732,10580
1604520653.6752,10524
1604520653.6772,10461
1604520653.6792,10396
1604520653.6812,10333
1604520653.6832,10262
1604520653.6852,10190
1604520654.0824,10124
1604520654.0829,10064
1604520654.0853,9994
1604520654.0879,9914
1604520654.0899,9846
1604520654.0919,9785
1604520654.0939,9718
1604520654.0959,9652
1604520654.0979,9597
1604520654.0999,9534
1604520654.1019,9454
1604520654.1039,9345
1604520654.1059,9253
1604520654.1079,9200
1604520654.1099,9105
1604520654.1119,8986
1604520654.1139,8921
1604520654.1159,8870
1604520654.1179,8786
1604520654.1199,8701
1604520654.1219,8628
1604520654.1239,8556
1604520654.1259,8512
1604520654.1279,8548
1604520654.1299,8618
1604520654.1319,8485
1604520654.1339,8154
1604520654.1359,8033
1604520654.1381,8071
