Time,GSR
1601454706.9568,450
1601454707.1363,450
1601454707.1658,450
1601454707.2862,450
1601454707.4062,450
1601454707.5044,450
1601454707.6161,449
1601454707.7061,450
1601454707.8260,449
1601454707.9468,449
1601454708.0355,450
1601454708.1559,449
1601454708.2460,449
1601454708.3658,449
1601454708.4858,449
1601454708.5757,449
1601454708.6957,449
1601454708.7864,449
1601454708.9060,449
1601454709.0257,449
1601454709.1156,449
1601454709.2373,449
1601454709.3255,449
1601454709.4456,449
1601454709.5957,449
1601454709.6555,449
1601454709.7754,449
1601454709.8955,449
1601454710.0966,449
1601454710.1045,449
1601454710.1945,449
1601454710.3145,449
1601454710.4345,449
1601454710.6361,449
1601454710.6445,448
1601454710.7945,449
1601454710.8545,448
1601454710.9744,449
1601454711.2066,448
1601454711.2072,448
1601454711.2744,449
1601454711.3943,448
1601454711.5142,448
1601454711.6042,448
1601454711.7743,448
1601454711.8441,448
1601454711.9340,447
1601454712.0541,447
1601454712.1441,447
1601454712.3151,447
1601454712.3840,447
1601454712.4740,447
1601454712.5940,446
1601454712.6839,446
1601454712.8541,446
1601454712.9238,446
1601454713.0138,446
1601454713.1338,445
1601454713.2238,445
1601454713.4561,445
1601454713.4637,445
1601454713.5536,445
1601454713.6736,444
1601454713.7937,444
1601454714.0250,444
1601454714.0255,443
1601454714.0936,443
1601454714.2436,442
1601454714.3335,442
1601454714.5601,442
1601454714.5606,442
1601454714.6335,442
1601454714.7534,441
1601454714.8735,441
1601454714.9635,441
1601454715.1266,440
1601454715.1733,440
1601454715.3234,440
1601454715.4133,439
1601454715.5033,439
1601454715.6734,438
1601454715.7133,437
1601454715.8332,437
1601454715.9533,436
1601454716.0433,436
1601454716.2468,435
1601454716.2831,435
1601454716.3731,434
1601454716.4931,433
1601454716.5833,433
1601454716.8193,433
1601454716.8230,432
1601454716.9131,432
1601454717.0331,431
1601454717.1230,431
1601454717.3845,431
1601454717.3850,430
1601454717.4530,430
1601454717.5729,430
1601454717.6629,429
1601454717.9245,429
1601454717.9250,429
1601454717.9929,428
1601454718.1128,428
1601454718.2340,428
1601454718.3229,428
1601454718.4929,428
1601454718.5328,428
1601454718.6528,428
1601454718.7728,428
1601454718.8639,428
1601454719.0330,428
1601454719.0727,428
1601454719.2227,428
1601454719.3427,428
1601454719.4027,428
1601454719.6040,428
1601454719.6127,428
1601454719.7325,427
1601454719.8526,428
1601454719.9427,427
1601454720.2049,427
1601454720.2054,428
1601454720.2725,427
1601454720.3925,428
1601454720.4826,427
1601454720.7402,427
1601454720.7407,427
1601454720.8125,427
1601454720.9325,427
1601454721.0224,427
1601454721.1435,427
1601454721.3065,426
1601454721.3523,426
1601454721.4724,426
1601454721.5624,426
1601454721.6824,426
1601454721.8455,425
1601454721.8923,425
1601454722.0134,425
1601454722.1023,425
1601454722.2223,425
1601454722.4230,425
1601454722.4323,424
1601454722.5522,424
1601454722.6722,424
1601454722.7623,423
1601454722.9635,423
1601454722.9721,423
1601454723.0921,423
1601454723.2121,423
1601454723.3021,423
1601454723.4222,423
1601454723.5922,422
1601454723.6321,422
1601454723.7520,422
1601454723.8421,422
1601454724.1038,422
1601454724.1044,422
1601454724.1720,422
1601454724.2927,421
1601454724.3820,421
1601454724.5022,421
1601454724.6724,421
1601454724.7119,421
1601454724.8319,421
1601454724.9220,421
1601454725.0420,421
1601454725.2436,421
1601454725.2519,421
1601454725.3719,421
1601454725.4619,421
1601454725.5820,421
1601454725.8135,421
1601454725.8140,421
1601454725.9118,421
1601454726.0018,421
1601454726.1218,421
1601454726.3212,421
1601454726.3318,421
1601454726.4519,421
1601454726.5718,421
1601454726.6619,421
1601454726.9211,421
1601454726.9216,421
1601454726.9918,421
1601454727.1418,421
1601454727.2017,421
1601454727.3218,421
1601454727.4819,421
1601454727.5317,421
1601454727.6517,421
1601454727.7417,420
1601454727.8617,421
1601454728.0208,421
1601454728.0716,421
1601454728.1916,421
1601454728.2816,421
1601454728.4017,421
1601454728.5953,421
1601454728.6116,421
1601454728.7315,421
1601454728.8216,421
1601454728.9416,421
1601454729.1432,421
1601454729.1515,421
1601454729.2715,421
1601454729.3615,421
1601454729.4817,421
1601454729.6879,421
1601454729.7222,421
1601454729.8115,421
1601454729.9015,421
1601454730.0216,421
1601454730.2828,421
1601454730.2833,421
1601454730.3514,421
1601454730.4715,421
1601454730.5614,422
1601454730.6815,421
1601454730.9131,422
1601454730.9136,422
1601454730.9814,422
1601454731.1014,422
1601454731.2215,422
1601454731.4230,422
1601454731.4314,422
1601454731.5813,422
1601454731.6413,422
1601454731.7614,422
1601454731.9626,422
1601454731.9713,423
1601454732.0913,423
1601454732.1813,422
1601454732.3013,423
1601454732.5030,423
1601454732.5112,423
1601454732.6312,423
1601454732.7212,423
1601454732.8413,423
1601454733.0731,423
1601454733.0737,423
1601454733.1712,423
1601454733.2912,423
1601454733.3812,423
1601454733.5012,423
1601454733.6673,423
1601454733.7112,423
1601454733.8012,423
1601454733.9212,423
1601454734.0413,423
1601454734.2023,423
1601454734.2511,423
1601454734.3411,424
1601454734.4613,424
1601454734.5812,424
1601454734.7729,423
1601454734.7912,424
1601454734.8811,424
1601454735.0012,424
1601454735.1212,424
1601454735.3155,424
1601454735.3311,424
1601454735.4511,424
1601454735.5411,424
1601454735.6611,424
1601454735.8924,424
1601454735.8929,424
1601454735.9911,424
1601454736.0811,424
1601454736.2011,424
1601454736.4324,424
1601454736.4329,424
1601454736.5310,424
1601454736.6211,424
1601454736.7411,424
1601454736.8311,424
1601454737.0268,424
1601454737.0710,424
1601454737.1610,424
1601454737.2810,424
1601454737.3710,424
1601454737.5628,424
1601454737.6110,425
1601454737.7010,424
1601454737.8210,425
1601454737.9410,425
1601454738.1328,425
1601454738.1509,425
1601454738.2410,425
1601454738.3910,425
1601454738.4811,425
1601454738.6727,425
1601454738.6910,425
1601454738.7809,425
1601454738.9009,425
1601454739.0210,425
1601454739.2433,425
1601454739.2438,425
1601454739.3209,425
1601454739.4410,425
1601454739.5610,425
1601454739.7842,425
1601454739.7847,425
1601454739.8909,425
1601454739.9810,425
1601454740.1009,425
1601454740.1909,425
1601454740.3825,425
1601454740.4609,425
1601454740.5209,425
1601454740.6409,425
1601454740.7309,425
1601454740.9542,425
1601454740.9708,425
1601454741.0608,425
1601454741.1808,425
1601454741.3009,425
1601454741.4919,424
1601454741.5109,424
1601454741.6008,424
1601454741.7208,424
1601454741.8108,424
1601454742.0616,424
1601454742.0621,424
1601454742.1408,424
1601454742.2909,424
1601454742.3809,424
1601454742.6006,424
1601454742.6011,424
1601454742.6807,424
1601454742.8008,424
1601454742.9209,424
1601454743.1431,424
1601454743.1436,424
1601454743.2208,424
1601454743.3408,424
1601454743.4608,424
1601454743.5509,423
1601454743.7421,423
1601454743.7608,423
1601454743.8807,423
1601454744.0007,423
1601454744.0908,423
1601454744.3184,423
1601454744.3307,423
1601454744.4207,423
1601454744.5408,423
1601454744.6308,423
1601454744.8538,423
1601454744.8707,422
1601454744.9608,422
1601454745.0807,421
1601454745.1707,421
1601454745.4226,421
1601454745.4407,421
1601454745.5007,420
1601454745.6207,420
1601454745.7107,420
1601454745.8308,420
1601454745.9929,420
1601454746.0707,419
1601454746.1618,420
1601454746.2807,419
1601454746.3708,419
1601454746.5333,419
1601454746.5806,419
1601454746.7007,419
1601454746.8207,419
1601454746.9107,418
1601454747.1344,418
1601454747.1349,418
1601454747.2406,418
1601454747.3606,418
1601454747.4507,417
1601454747.6743,418
1601454747.6749,417
1601454747.7806,417
1601454747.9006,417
1601454747.9908,417
1601454748.2440,417
1601454748.2445,417
1601454748.3206,417
1601454748.4406,417
1601454748.5306,417
1601454748.7839,416
1601454748.7845,416
1601454748.8606,416
1601454748.9806,416
1601454749.0706,416
1601454749.1907,416
1601454749.3517,416
1601454749.4006,416
1601454749.5206,416
1601454749.6406,417
1601454749.7306,417
1601454749.8927,417
1601454749.9406,417
1601454750.0606,417
1601454750.1506,416
1601454750.2706,417
1601454750.4943,417
1601454750.4948,417
1601454750.6006,417
1601454750.7206,417
1601454750.8106,417
1601454751.0642,417
1601454751.0648,417
1601454751.1406,417
1601454751.2606,417
1601454751.3506,416
1601454751.6045,417
1601454751.6051,416
1601454751.6806,417
1601454751.8006,416
1601454751.8906,417
1601454752.1444,417
1601454752.1449,417
1601454752.2206,416
1601454752.3406,416
1601454752.4306,416
1601454752.5506,416
1601454752.7126,416
1601454752.7906,416
1601454752.8806,415
1601454752.9706,415
1601454753.0906,415
1601454753.2527,414
1601454753.3005,414
1601454753.4205,414
1601454753.5106,414
1601454753.6306,414
1601454753.8828,413
1601454753.8834,413
1601454753.9605,413
1601454754.0505,412
1601454754.2005,412
1601454754.2906,412
1601454754.4526,412
1601454754.5005,412
1601454754.5906,411
1601454754.7105,411
1601454754.9611,411
1601454754.9617,411
1601454755.0405,410
1601454755.1605,410
1601454755.2505,410
1601454755.3705,410
1601454755.5315,409
1601454755.5805,409
1601454755.7005,409
1601454755.7905,408
1601454755.9105,408
1601454756.0706,408
1601454756.1205,408
1601454756.2405,408
1601454756.3305,407
1601454756.4505,407
1601454756.6105,406
1601454756.6605,406
1601454756.7806,405
1601454756.8705,405
1601454756.9906,404
1601454757.2123,404
1601454757.2128,404
1601454757.3205,403
1601454757.4105,403
1601454757.5306,402
1601454757.6505,402
1601454757.8106,402
1601454757.8605,401
1601454757.9505,401
1601454758.0705,400
1601454758.3275,400
1601454758.3280,399
1601454758.4004,399
1601454758.4905,398
1601454758.6105,398
1601454758.7306,397
1601454758.8906,397
1601454758.9416,397
1601454759.0304,397
1601454759.1504,396
1601454759.2706,396
1601454759.4287,396
1601454759.4805,396
1601454759.6005,396
1601454759.6905,396
1601454759.8106,396
1601454760.0321,396
1601454760.0328,396
1601454760.1404,396
1601454760.2305,396
1601454760.3504,396
1601454760.4405,396
1601454760.6006,396
1601454760.6804,396
1601454760.7705,396
1601454760.9206,396
1601454760.9806,396
1601454761.1407,397
1601454761.2204,397
1601454761.3105,397
1601454761.4305,397
1601454761.5505,397
1601454761.7166,397
1601454761.7604,397
1601454761.8805,397
1601454761.9705,397
1601454762.0905,398
1601454762.2625,398
1601454762.3005,398
1601454762.3904,398
1601454762.5105,398
1601454762.6305,398
1601454762.8317,398
1601454762.8404,398
1601454762.9305,398
1601454763.0504,398
1601454763.1705,398
1601454763.3657,398
1601454763.3804,399
1601454763.5004,399
1601454763.5904,399
1601454763.7104,399
1601454763.8004,399
1601454763.9636,399
1601454764.0404,399
1601454764.1304,399
1601454764.2504,399
1601454764.3404,399
1601454764.5025,399
1601454764.5805,400
1601454764.6704,400
1601454764.7904,400
1601454764.8805,400
1601454765.0742,400
1601454765.1204,400
1601454765.2104,400
1601454765.3604,400
1601454765.4205,401
1601454765.6140,401
1601454765.6605,401
1601454765.7504,401
1601454765.8704,401
1601454765.9905,401
1601454766.1838,401
1601454766.2004,402
1601454766.2903,402
1601454766.4104,402
