Time,HR,RR
1604492556.3244,80,792
1604492557.3137,80,750
1604492558.3017,80,737
1604492559.3215,81,658
1604492560.3414,83,644
1604492561.3912,85,660
1604492562.3217,87,976
1604492563.3115,90,734
1604492564.3011,88,751
1604492565.3214,87,754
1604492566.4303,85,788
1604492567.3010,85,730
1604492568.3210,85,707
1604492569.3409,85,735
1604492570.3600,85,706
1604492571.3211,85,686
1604492572.3107,85,701
1604492573.3006,85,768
1604492574.3206,84,770
1604492575.4202,84,946
1604492576.3007,83,799
1604492577.3206,81,903
1604492578.3104,80,749
1604492579.3899,80,795
1604492580.4384,80,728
1604492581.3105,80,835
1604492582.3003,79,1012
1604492583.3203,78,868
1604492584.3921,77,796
1604492585.3004,77,815
1604492586.3203,77,840
1604492587.3102,77,823
1604492588.3203,77,780
1604492589.4318,77,796
1604492590.3404,77,773
1604492591.3003,77,825
1604492592.3202,77,802
1604492593.3702,77,805
1604492594.3305,77,767
1604492595.3203,77,800
1604492596.3101,77,794
1604492597.3000,77,755
1604492598.4397,77,844
1604492599.3103,77,812
1604492600.3003,77,838
1604492601.3200,76,820
1604492602.3618,76,812
1604492603.3003,76,781
1604492604.3202,76,808
1604492605.3101,76,802
1604492606.3001,76,819
1604492607.3722,76,770
1604492608.3102,76,828
1604492609.3000,76,800
1604492610.3200,76,804
1604492611.3099,76,755
1604492612.3001,77,753
1604492613.3201,78,693
1604492614.3100,79,720
1604492615.3001,79,688
1604492616.3694,80,1040
1604492617.3102,81,808
1604492618.3000,80,819
1604492619.3200,80,795
1604492620.3280,79,794
1604492621.4104,79,766
1604492622.3200,79,809
1604492623.3100,78,848
1604492624.2999,78,902
1604492625.3721,77,817
1604492626.3401,76,834
1604492627.3300,76,796
1604492628.3199,76,799
1604492629.3156,76,759
1604492630.4101,77,781
1604492631.3202,77,836
1604492632.3100,77,791
