Time,GSR,Temp(C)
1604400457.0255,9,35.75
1604400458.6753,14,35.75
1604400460.3253,15,35.75
1604400461.9753,10,35.75
1604400463.6312,10,35.75
1604400465.2765,1,35.81
1604400466.9967,4,35.75
1604400468.6422,10,35.75
1604400470.3469,7,35.81
1604400471.8755,9,35.81
1604400473.5253,9,35.75
1604400475.1753,7,35.75
1604400476.8254,1,35.75
1604400478.4752,1,35.81
1604400480.1252,3,35.81
1604400481.7452,1,35.75
1604400483.3951,1,35.81
1604400485.0451,1,35.81
1604400486.6951,7,35.81
1604400488.3451,9,35.81
1604400489.9951,11,35.81
1604400491.6713,12,35.81
1604400493.3805,14,35.81
1604400495.0607,17,35.81
1604400496.5952,20,35.81
1604400498.2452,21,35.81
1604400499.8953,24,35.81
1604400501.5451,11,35.81
1604400503.1950,9,35.81
1604400504.8451,14,35.81
1604400506.4950,18,35.81
1604400508.1451,21,35.81
1604400509.7950,22,35.81