Time,GSR,Temp(C)
1604668918.0732,34,34.44
1604668919.6931,8,34.44
1604668921.2832,30,34.56
1604668922.8732,32,34.63
1604668924.4939,16,34.69
1604668926.0831,17,34.69
1604668927.7097,17,34.69
1604668929.3885,16,34.75
1604668930.9134,22,34.75
1604668932.5031,25,34.75
1604668934.0631,21,34.69
1604668935.6531,21,34.75
1604668937.2730,22,34.75
1604668938.9232,23,34.75
1604668940.5797,24,34.75
1604668942.1031,24,34.75
1604668943.6631,31,34.75
1604668945.2531,33,34.75
1604668946.8730,34,34.75
1604668948.4629,34,34.75
1604668950.1391,33,34.75
1604668951.6429,34,34.75
1604668953.2329,33,34.75
1604668954.8529,33,34.75
1604668956.4428,34,34.75
1604668958.0331,34,34.75
1604668959.6799,30,34.81
1604668961.2430,48,34.75
1604668962.8329,24,34.81