Time,ECG
1601464663.6671,9192
1601464663.6676,10225
1601464663.6693,11432
1601464663.6713,12102
1601464663.6733,12617
1601464663.6753,13210
1601464663.6773,13617
1601464663.6793,13918
1601464663.6813,14265
1601464663.6833,14542
1601464663.6853,14713
1601464663.6873,14886
1601464663.6893,15072
1601464663.6913,15199
1601464663.6933,15291
1601464663.6953,15385
1601464663.6972,15464
1601464663.6993,15520
1601464663.7013,15563
1601464663.7032,15604
1601464663.7053,15643
1601464663.7072,15667
1601464663.7092,15667
1601464663.7113,15667
1601464663.7133,15669
1601464663.7153,15657
1601464663.7173,15635
1601464663.7193,15616
1601464663.7213,15587
1601464663.7232,15553
1601464663.7253,15517
1601464663.7273,15486
1601464663.7293,15460
1601464663.7313,15407
1601464663.7333,15344
1601464663.7352,15313
1601464663.7372,15296
1601464663.7393,15238
1601464663.7413,15151
1601464663.7432,15074
1601464663.7453,15007
1601464663.7472,14939
1601464663.7492,14874
1601464663.7513,14812
1601464663.7533,14742
1601464663.7552,14657
1601464663.7573,14583
1601464663.7593,14515
1601464663.7612,14429
1601464663.7633,14351
1601464663.7653,14296
1601464663.7672,14221
1601464663.7693,14188
1601464663.7713,14323
1601464663.7732,14484
1601464663.7753,14209
1601464663.7772,13501
1601464663.7792,13169
1601464663.7813,13417
1601464663.7832,13537
1601464663.7853,13410
1601464663.7873,13361
1601464663.7893,13318
1601464663.7913,13202
1601464663.7933,13108
1601464663.7953,13039
1601464663.7973,12957
1601464663.7993,12865
1601464663.8013,12778
1601464663.8033,12685
1601464663.8053,12583
1601464663.8073,12494
1601464663.8093,12405
1601464664.2066,12316
1601464664.2072,12246
1601464664.2096,12169
1601464664.2123,12058
1601464664.2142,11957
1601464664.2162,11899
1601464664.2182,11827
1601464664.2202,11719
1601464664.2223,11627
1601464664.2242,11569
1601464664.2262,11499
1601464664.2282,11377
1601464664.2302,11271
1601464664.2322,11208
1601464664.2342,11126
1601464664.2362,11015
1601464664.2382,10933
1601464664.2402,10863
1601464664.2422,10769
1601464664.2442,10659
1601464664.2462,10555
1601464664.2482,10454
1601464664.2502,10346
1601464664.2522,10232
1601464664.2542,10141
1601464664.2564,10056
1601464664.2582,9941
1601464664.2602,9835
1601464664.2624,9755
1601464664.2642,9664
1601464664.2662,9567
1601464664.2682,9486
1601464664.2702,9404
1601464664.2722,9317
1601464664.2742,9237
1601464664.2762,9165
1601464664.2782,9088
1601464664.2802,9025
1601464664.2822,8941
1601464664.2842,8833
1601464664.2863,8763
1601464664.2882,8700
1601464664.2903,8611
1601464664.2922,8544
1601464664.2942,8486
1601464664.2962,8390
1601464664.2982,8291
1601464664.3002,8233
1601464664.3022,8180
1601464664.3042,8105
1601464664.3062,8023
1601464664.3082,7932
1601464664.3102,7855
1601464664.3122,7792
1601464664.3142,7705
1601464664.3163,7626
1601464664.3183,7575
1601464664.3204,7510
1601464664.3223,7424
1601464664.3242,7361
1601464664.3262,7320
1601464664.3282,7241
1601464664.3302,7151
1601464664.3322,7086
1601464664.3342,7036
1601464664.3362,6978
1601464664.3382,6908
1601464664.3402,6841
1601464664.3422,6785
1601464664.3442,6725
1601464664.3462,6653
1601464664.3482,6595
1601464664.3502,6542
1601464664.7773,6479
1601464664.7779,6422
1601464664.7804,6371
1601464664.7831,6311
1601464664.7850,6238
1601464664.7870,6183
1601464664.7890,6147
1601464664.7910,6099
1601464664.7930,6022
1601464664.7949,5947
1601464664.7970,5896
1601464664.7990,5855
1601464664.8010,5812
1601464664.8030,5764
1601464664.8050,5718
1601464664.8071,5677
1601464664.8089,5617
1601464664.8110,5545
1601464664.8130,5511
1601464664.8149,5482
1601464664.8169,5415
1601464664.8189,5350
1601464664.8210,5306
1601464664.8230,5248
1601464664.8249,5191
1601464664.8269,5150
1601464664.8289,5111
1601464664.8310,5068
1601464664.8329,5024
1601464664.8349,4976
1601464664.8370,4950
1601464664.8389,5027
1601464664.8410,5232
1601464664.8429,5311
1601464664.8449,4877
1601464664.8470,4256
1601464664.8490,4241
1601464664.8510,4576
1601464664.8529,4603
1601464664.8549,4519
1601464664.8569,4543
1601464664.8589,4523
1601464664.8610,4458
1601464664.8629,4420
1601464664.8649,4381
1601464664.8670,4345
1601464664.8689,4321
1601464664.8710,4285
1601464664.8730,4244
1601464664.8749,4210
1601464664.8769,4181
1601464664.8789,4140
1601464664.8810,4099
1601464664.8829,4085
1601464664.8849,4061
1601464664.8869,4010
1601464664.8889,3979
1601464664.8910,3964
1601464664.8929,3933
1601464664.8949,3897
1601464664.8970,3873
1601464664.8989,3854
1601464664.9010,3830
1601464664.9029,3803
1601464664.9049,3784
1601464664.9070,3760
1601464664.9090,3726
1601464664.9110,3697
1601464664.9129,3675
1601464664.9149,3647
1601464664.9170,3601
1601464664.9189,3553
1601464664.9210,3512
1601464665.3170,3471
1601464665.3176,3422
1601464665.3200,3374
1601464665.3226,3341
1601464665.3246,3297
1601464665.3266,3247
1601464665.3286,3220
1601464665.3306,3203
1601464665.3326,3172
1601464665.3346,3136
1601464665.3366,3097
1601464665.3386,3071
1601464665.3406,3052
1601464665.3426,3027
1601464665.3446,3006
1601464665.3466,2986
1601464665.3486,2970
1601464665.3506,2948
1601464665.3527,2924
1601464665.3546,2912
1601464665.3566,2897
1601464665.3586,2868
1601464665.3607,2840
1601464665.3626,2832
1601464665.3646,2811
1601464665.3666,2782
1601464665.3686,2765
1601464665.3706,2748
1601464665.3726,2717
1601464665.3746,2690
1601464665.3766,2676
1601464665.3786,2661
1601464665.3806,2632
1601464665.3826,2606
1601464665.3846,2589
1601464665.3866,2572
1601464665.3886,2538
1601464665.3906,2507
1601464665.3926,2495
1601464665.3946,2485
1601464665.3966,2473
1601464665.3986,2457
1601464665.4006,2430
1601464665.4026,2404
1601464665.4046,2389
1601464665.4066,2372
1601464665.4086,2355
1601464665.4106,2348
1601464665.4126,2329
1601464665.4146,2300
1601464665.4166,2290
1601464665.4186,2283
1601464665.4206,2259
1601464665.4226,2240
1601464665.4246,2230
1601464665.4266,2208
1601464665.4286,2196
1601464665.4306,2189
1601464665.4326,2170
1601464665.4346,2143
1601464665.4366,2134
1601464665.4386,2124
1601464665.4406,2105
1601464665.4426,2083
1601464665.4446,2083
1601464665.4466,2090
1601464665.4486,2081
1601464665.4506,2049
1601464665.4526,2025
1601464665.4546,2018
1601464665.4566,2011
1601464665.4586,1984
1601464665.4606,1953
1601464665.9174,1934
1601464665.9179,1919
1601464665.9190,1900
1601464665.9210,1886
1601464665.9231,1886
1601464665.9250,1874
1601464665.9270,1850
1601464665.9290,1823
1601464665.9311,1842
1601464665.9330,1996
1601464665.9350,2259
1601464665.9370,2264
1601464665.9390,1691
1601464665.9410,1177
1601464665.9430,1397
1601464665.9450,1731
1601464665.9470,1695
1601464665.9490,1676
1601464665.9510,1739
1601464665.9530,1710
1601464665.9550,1678
1601464665.9570,1698
1601464665.9590,1693
1601464665.9610,1671
1601464665.9630,1666
1601464665.9650,1657
1601464665.9670,1640
1601464665.9690,1633
1601464665.9710,1625
1601464665.9730,1609
1601464665.9750,1597
1601464665.9771,1592
1601464665.9790,1587
1601464665.9811,1577
1601464665.9830,1570
1601464665.9850,1565
1601464665.9870,1563
1601464665.9890,1556
1601464665.9910,1551
1601464665.9930,1553
1601464665.9950,1551
1601464665.9970,1544
1601464665.9990,1544
1601464666.0010,1539
1601464666.0030,1527
1601464666.0050,1519
1601464666.0070,1512
1601464666.0090,1493
1601464666.0110,1479
1601464666.0130,1457
1601464666.0150,1421
1601464666.0170,1394
1601464666.0190,1377
1601464666.0210,1351
1601464666.0230,1327
1601464666.0250,1308
1601464666.0270,1293
1601464666.0290,1276
1601464666.0310,1257
1601464666.0330,1245
1601464666.0350,1245
1601464666.0370,1242
1601464666.0390,1230
1601464666.0410,1221
1601464666.0430,1226
1601464666.0450,1218
1601464666.0470,1209
1601464666.0490,1209
1601464666.0510,1211
1601464666.0530,1204
1601464666.0550,1194
1601464666.0570,1194
1601464666.0590,1189
1601464666.4270,1180
1601464666.4276,1173
1601464666.4290,1163
1601464666.4310,1153
1601464666.4329,1158
1601464666.4349,1149
1601464666.4369,1132
1601464666.4389,1127
1601464666.4409,1120
1601464666.4429,1108
1601464666.4449,1100
1601464666.4469,1086
1601464666.4489,1064
1601464666.4510,1064
1601464666.4529,1071
1601464666.4549,1062
1601464666.4569,1045
1601464666.4589,1045
1601464666.4610,1047
1601464666.4629,1035
1601464666.4649,1028
1601464666.4669,1040
1601464666.4688,1035
1601464666.4710,1011
1601464666.4729,1009
1601464666.4749,1018
1601464666.4769,1011
1601464666.4789,992
1601464666.4810,990
1601464666.4829,997
1601464666.4849,990
1601464666.4869,975
1601464666.4889,973
1601464666.4909,977
1601464666.4929,982
1601464666.4949,987
1601464666.4969,997
1601464666.4983,1009
1601464666.5000,994
1601464666.5019,965
1601464666.5039,956
1601464666.5059,956
1601464666.5079,956
1601464666.5099,951
1601464666.5119,932
1601464666.5139,920
1601464666.5159,922
1601464666.5179,920
1601464666.5199,917
1601464666.5219,917
1601464666.5239,912
1601464666.5259,898
1601464666.5279,934
1601464666.5299,1132
1601464666.5319,1423
1601464666.5339,1377
1601464666.5359,741
1601464666.5379,264
1601464666.5399,554
1601464666.5420,876
1601464666.5439,821
1601464666.5459,833
1601464666.5479,912
1601464666.5499,874
1601464666.5519,855
1601464666.5539,888
1601464666.5559,879
1601464666.5579,867
1601464666.5599,874
1601464666.5619,872
1601464666.5639,864
1601464666.5659,864
1601464666.5679,862
1601464667.0275,859
1601464667.0283,864
1601464667.0308,864
1601464667.0334,855
1601464667.0354,843
1601464667.0374,843
1601464667.0394,850
1601464667.0414,855
1601464667.0433,852
1601464667.0453,862
1601464667.0473,872
1601464667.0493,869
1601464667.0514,869
1601464667.0533,872
1601464667.0553,872
1601464667.0573,867
1601464667.0593,850
1601464667.0613,843
1601464667.0633,843
1601464667.0653,828
1601464667.0673,811
1601464667.0693,794
1601464667.0714,780
1601464667.0733,763
1601464667.0753,737
1601464667.0774,717
1601464667.0793,705
1601464667.0814,691
1601464667.0833,679
1601464667.0853,672
1601464667.0873,669
1601464667.0893,657
1601464667.0914,652
1601464667.0933,662
1601464667.0953,667
1601464667.0973,660
1601464667.0993,657
1601464667.1014,667
1601464667.1033,664
1601464667.1053,652
1601464667.1073,660
1601464667.1093,672
1601464667.1113,669
1601464667.1133,664
1601464667.1153,667
1601464667.1173,667
1601464667.1194,662
1601464667.1213,664
1601464667.1233,657
1601464667.1253,647
1601464667.1273,645
1601464667.1293,640
1601464667.1313,640
1601464667.1333,640
1601464667.1353,633
1601464667.1373,631
1601464667.1393,631
1601464667.1414,631
1601464667.1433,626
1601464667.1453,621
1601464667.1473,619
1601464667.1493,619
1601464667.1514,621
1601464667.1533,619
1601464667.1553,619
1601464667.1573,619
1601464667.1593,614
1601464667.1613,616
1601464667.1633,616
1601464667.1653,609
1601464667.1673,599
