time,gsr
1.601637906456700087e+09,3.917635580234208419e+02
1.601637906587199926e+09,3.916693811174378652e+02
1.601637906665999889e+09,3.915731668518079687e+02
1.601637906786099911e+09,3.914749152265312091e+02
1.601637906876600027e+09,3.913746262416075865e+02
1.601637906996700048e+09,3.912722998970371009e+02
1.601637907116699934e+09,3.911679361928197523e+02
1.601637907206000090e+09,3.910615351289554837e+02
1.601637907326800108e+09,3.909530967054444091e+02
1.601637907416800022e+09,3.908426209222864145e+02
1.601637907536099911e+09,3.907301077794815569e+02
1.601637907660099983e+09,3.906155572770298363e+02
1.601637907746700048e+09,3.904989694149312527e+02
1.601637907866499901e+09,3.903803441931857492e+02
1.601637907956500053e+09,3.902596816117934395e+02
1.601637908076499939e+09,3.901369816707542100e+02
1.601637908196599960e+09,3.900122443700681174e+02
1.601637908286499977e+09,3.898854697097351618e+02
1.601637908406599998e+09,3.897566576897552864e+02
1.601637908526499987e+09,3.896258083101286047e+02
1.601637908616699934e+09,3.894929215708550032e+02
1.601637908736500025e+09,3.893579974719345387e+02
1.601637908826499939e+09,3.892210360133672111e+02
1.601637908946700096e+09,3.890820371951530205e+02
1.601637909066600084e+09,3.889410010172919669e+02
1.601637909186599970e+09,3.887979274797840503e+02
1.601637909276499987e+09,3.886528165826292138e+02
1.601637909366499901e+09,3.885056683258275143e+02
1.601637909486099958e+09,3.883564827093789518e+02
1.601637909636600018e+09,3.882052597332835262e+02
1.601637909696599960e+09,3.880519993975411808e+02
1.601637909816499949e+09,3.878967017021520292e+02
1.601637909906399965e+09,3.877393666471159577e+02
1.601637910026299953e+09,3.875799942324330232e+02
1.601637910146500111e+09,3.874185844581032256e+02
1.601637910236599922e+09,3.872551373241265651e+02
1.601637910357100010e+09,3.870896528305030415e+02
1.601637910476300001e+09,3.869221309772325981e+02
1.601637910566400051e+09,3.867525717643153484e+02
1.601637910686399937e+09,3.865809751917511790e+02
1.601637910776400089e+09,3.864073412595401464e+02
1.601637910896500111e+09,3.862316699676821941e+02
1.601637911016499996e+09,3.860539613161774355e+02
1.601637911106499910e+09,3.858742153050257571e+02
1.601637911226799965e+09,3.856924319342272724e+02
1.601637911316299915e+09,3.855086112037818680e+02
1.601637911436599970e+09,3.853227531136896005e+02
1.601637911638000011e+09,3.851348576639504131e+02
1.601637911645800114e+09,3.849449248545644195e+02
1.601637911765700102e+09,3.847529546855315630e+02
1.601637911855600119e+09,3.845589471567964210e+02
1.601637911975699902e+09,3.843348655253324750e+02
1.601637912177700043e+09,3.841175156350035422e+02
1.601637912185600042e+09,3.839059799183252721e+02
1.601637912305599928e+09,3.836993699369386945e+02
1.601637912395600080e+09,3.834968263816123795e+02
1.601637912515700102e+09,3.832833885329732766e+02
1.601637912717999935e+09,3.830738277710718194e+02
1.601637912725600004e+09,3.828673430449293278e+02
1.601637912845599890e+09,3.826490318934258426e+02
1.601637912965600014e+09,3.824337239548648881e+02
1.601637913055700064e+09,3.822206764365208187e+02
1.601637913319400072e+09,3.820091756747942782e+02
1.601637913319799900e+09,3.817985371352122002e+02
1.601637913385499954e+09,3.815881054124283196e+02
1.601637913505500078e+09,3.813772542302227180e+02
1.601637913595599890e+09,3.811809880016581360e+02
1.601637913828000069e+09,3.809549051992032105e+02
1.601637913828500032e+09,3.807281699043145977e+02
1.601637913925499916e+09,3.805002432281518168e+02
1.601637914105600119e+09,3.802564848717337327e+02
1.601637914135600090e+09,3.800119866355023532e+02
1.601637914397399902e+09,3.797662678888705159e+02
1.601637914397900105e+09,3.795047465911096083e+02
1.601637914465500116e+09,3.792425728009151840e+02
1.601637914585500002e+09,3.789651936066850340e+02
1.601637914675600052e+09,3.786877881962411152e+02
1.601637914795700073e+09,3.783958327871080769e+02
1.601637914997900009e+09,3.780904051569664261e+02
1.601637915005500078e+09,3.777867136227645801e+02
1.601637915125499964e+09,3.774702635311534209e+02
1.601637915215600014e+09,3.771421617889404274e+02
1.601637915335599899e+09,3.768176458422001929e+02
1.601637915536799908e+09,3.764822501667104007e+02
1.601637915545500040e+09,3.761215092382486773e+02
1.601637915665499926e+09,3.757506605028896729e+02
1.601637915755500078e+09,3.753708108674408095e+02
1.601637915875600100e+09,3.749830672387089976e+02
1.601637916099900007e+09,3.745885365235016593e+02
1.601637916100399971e+09,3.742024561678933310e+02
1.601637916205399990e+09,3.737947590875057244e+02
1.601637916295399904e+09,3.733806827284134897e+02
1.601637916415499926e+09,3.729613339974240489e+02
1.601637916638299942e+09,3.725378198013442557e+02
1.601637916638999939e+09,3.720956454868254468e+02
1.601637916745500088e+09,3.716500193708158690e+02
1.601637916865499973e+09,3.712020192309960862e+02
1.601637916955600023e+09,3.707512518241584871e+02
1.601637917209800005e+09,3.702973239070949489e+02
1.601637917210299969e+09,3.698257116973303482e+02
1.601637917285599947e+09,3.693515943826863008e+02
1.601637917405499935e+09,3.688760206117170810e+02
1.601637917495599985e+09,3.683703069335531382e+02
1.601637917757600069e+09,3.678793063771869356e+02
1.601637917758199930e+09,3.673884369018899747e+02
1.601637917825500011e+09,3.668831164669338705e+02
1.601637917945499897e+09,3.663784660018874888e+02
1.601637918035500050e+09,3.658598743368958708e+02
1.601637918155600071e+09,3.653424332724011379e+02
1.601637918355900049e+09,3.648115025094219845e+02
1.601637918395499945e+09,3.642962752585416411e+02
1.601637918485500097e+09,3.637821112207786882e+02
1.601637918575500011e+09,3.632699716573078490e+02
1.601637918695600033e+09,3.627593468084153301e+02
1.601637918927000046e+09,3.622497269143871677e+02
1.601637918927500010e+09,3.617420732363980846e+02
1.601637919025500059e+09,3.612358760147341741e+02
1.601637919115499973e+09,3.607306254896816426e+02
1.601637919235500097e+09,3.602272829224153838e+02
1.601637919496900082e+09,3.597253385532212633e+02
1.601637919497400045e+09,3.592242826223856014e+02
1.601637919565500021e+09,3.587250763910828368e+02
1.601637919655499935e+09,3.582286811204879200e+02
1.601637919775500059e+09,3.577360580717754033e+02
1.601637920007299900e+09,3.572622990453873513e+02
1.601637920007800102e+09,3.567771913113130609e+02
1.601637920105700016e+09,3.562958266699946535e+02
1.601637920195499897e+09,3.558191663826067384e+02
1.601637920315599918e+09,3.553481717103239816e+02
1.601637920577699900e+09,3.548838039143211631e+02
1.601637920578200102e+09,3.544270242557728920e+02
1.601637920645499945e+09,3.539787939958537777e+02
1.601637920735500097e+09,3.535400743957384861e+02
1.601637920855499983e+09,3.531118267166016835e+02
1.601637920975500107e+09,3.526950122196179791e+02
1.601637921145699978e+09,3.522905921659622663e+02
1.601637921185499907e+09,3.518995278168089271e+02
1.601637921305500031e+09,3.515227804333328550e+02
1.601637921395600080e+09,3.511613112767084885e+02
1.601637921515599966e+09,3.508160816081106077e+02
1.601637921717700005e+09,3.504880526887138217e+02
1.601637921725600004e+09,3.501781857796928534e+02
1.601637921845499992e+09,3.498874421422222554e+02
1.601637921935600042e+09,3.496011814773208926e+02
1.601637922055599928e+09,3.493203359170368003e+02
1.601637922282500029e+09,3.490614100244476390e+02
1.601637922283099890e+09,3.488097052423189552e+02
1.601637922385499954e+09,3.485802259837134329e+02
1.601637922505599976e+09,3.483582445622704427e+02
1.601637922595599890e+09,3.481587362619258670e+02
1.601637922829299927e+09,3.479669442671925026e+02
1.601637922829799891e+09,3.477822131727238002e+02
1.601637922925499916e+09,3.476194600042030629e+02
1.601637923015500069e+09,3.474638696878898827e+02
1.601637923135600090e+09,3.473147285601849603e+02
1.601637923255800009e+09,3.471712938283622520e+02
1.601637923421299934e+09,3.470327935705695950e+02
1.601637923465500116e+09,3.469140282959838260e+02
1.601637923555500031e+09,3.468000664143587528e+02
1.601637923675499916e+09,3.466759472063214957e+02
1.601637923935699940e+09,3.465861158930930515e+02
1.601637923936199903e+09,3.464999810660181652e+02
1.601637924005500078e+09,3.464166542867382645e+02
1.601637924095599890e+09,3.463352179877686012e+02
1.601637924215500116e+09,3.462547254724976824e+02
1.601637924335599899e+09,3.461742009151875550e+02
1.601637924505700111e+09,3.460926393609738625e+02
1.601637924545500040e+09,3.460090067258657314e+02
1.601637924635499954e+09,3.459378413569017425e+02
1.601637924755500078e+09,3.458498189624292536e+02
1.601637924876600027e+09,3.457594196312339818e+02
1.601637925107500076e+09,3.456810943229750137e+02
1.601637925108000040e+09,3.455995618978878952e+02
1.601637925175400019e+09,3.455136426263491103e+02
1.601637925295500040e+09,3.454377292097647114e+02
1.601637925415600061e+09,3.453564822501172671e+02
1.601637925647200108e+09,3.452842653196864262e+02
1.601637925647700071e+09,3.452057098913280129e+02
1.601637925745500088e+09,3.451351504081953294e+02
1.601637925835400105e+09,3.450727907741737113e+02
1.601637925986099958e+09,3.450032333329927496e+02
1.601637926183900118e+09,3.449407833986788887e+02
1.601637926184400082e+09,3.448856157459913447e+02
1.601637926285399914e+09,3.448223035895329076e+02
1.601637926375499964e+09,3.447651231142038455e+02
1.601637926495500088e+09,3.447142199656366301e+02
1.601637926585599899e+09,3.446697397894636197e+02
