Time,HR,RR
1601642371.2051,57,1063
1601642372.1896,57,1075
1601642373.2969,57,1037
1601642374.1995,57,1058
1601642375.1893,58,1076
1601642376.1792,58,1056
1601642377.2536,58,1060
1601642378.1895,58,1072
1601642379.1792,58,1070
1601642380.1991,58,1041
1601642381.1891,58,1066
1601642382.2666,58,1105
1601642383.1991,58,1112
1601642384.1890,57,1088
1601642385.1790,57,1067
1601642386.2302,57,nan
1601642387.3375,57,1103
1601642388.1791,57,1116
1601642389.1990,57,1069
1601642390.1889,57,1054
1601642391.2893,57,1071
1601642392.1991,57,1079
1601642393.1889,57,1097
1601642394.1788,57,1055
1601642395.1988,57,1028
1601642396.3377,57,1098
1601642397.1790,57,1162
1601642398.1989,57,1159
1601642399.1888,57,1152
1601642400.2566,56,1091
1601642401.1989,56,1038
1601642402.1888,56,1043
1601642403.2088,57,1058
1601642404.1990,57,nan
1601642405.2707,57,1081
1601642406.1789,57,1083
1601642407.1988,57,1149
1601642408.2187,57,1158
1601642409.2017,56,1161
1601642410.2290,56,1118
1601642411.1887,56,1130
1601642412.1787,56,1124
1601642413.1986,56,1125
1601642414.2777,55,1077
1601642415.1787,55,nan
1601642416.1986,55,1080
1601642417.1887,56,1108
1601642418.2020,56,1124
1601642419.3061,56,1051
1601642420.1887,56,1057
1601642421.1787,56,1074
1601642422.1986,56,1090
1601642423.2952,56,1029
1601642424.1788,56,1030
1601642425.1988,57,1034
1601642426.1885,57,961
1601642427.1986,58,880
1601642428.3082,59,900
1601642429.1889,60,992
1601642433.0580,60,996
1601642433.0702,61,956
1601642433.0802,61,938
1601642434.4435,61,928
1601642434.4507,62,934
1601642438.9050,62,942
1601642438.9135,62,948
1601642438.9287,63,962
1601642438.9364,63,942
1601642441.6022,63,976
1601642441.6171,63,1002
1601642441.6316,63,1030
1601642442.6405,63,1050
1601642443.2008,62,1073
1601642444.1915,62,1062
1601642445.2034,62,1032
1601642446.2695,61,990
1601642447.1901,61,1021
1601642448.1800,61,1055
1601642449.2001,61,1066
1601642450.2244,61,1081
1601642451.3355,60,1047
1601642452.2306,60,1077
1601642453.1902,60,1080
1601642454.1801,60,1080
1601642455.2645,59,1080
1601642456.1901,59,1024
1601642457.1801,59,1028
1601642458.2001,59,1067
1601642459.1901,59,1082
1601642460.3320,59,1080
1601642461.2001,59,1046
1601642462.1901,59,1057
1601642463.2101,59,1061
1601642464.2615,59,1064
1601642465.2221,58,1011
1601642466.1801,59,1026
1601642467.2000,59,1040
1601642468.1900,59,1039
1601642469.2774,59,1005
1601642470.2000,59,1022
1601642471.1903,59,1043
1601642472.1799,59,1058
1601642473.2095,59,1017
1601642474.1900,59,1009
1601642475.1801,59,1008
1601642476.2000,59,1029
1601642477.1902,60,1011
1601642478.2800,60,973
1601642479.1998,60,988
1601642480.3785,60,1007
1601642481.5344,60,1026
1601642482.5941,60,993
1601642483.3151,60,1009
1601642484.1802,60,1027
1601642485.2301,60,1027
1601642486.1901,60,991
1601642487.2848,60,972
1601642488.1999,61,983
1601642489.1900,61,1012
1601642490.1800,61,1026
1601642491.2081,61,1001
1601642492.2886,61,1028
1601642493.1799,61,1052
1601642494.2001,61,1059
1601642495.1900,60,1070
1601642496.2142,60,1023
1601642497.2000,60,1008
1601642498.1898,60,1015
1601642499.1799,60,1032
1601642500.1998,60,1057
1601642501.2881,60,1036
1601642502.1799,60,1021
1601642503.1998,60,1059
1601642504.1899,60,1077
1601642505.2208,60,1055
1601642506.4036,59,1022
1601642507.1898,59,1026
1601642508.1797,59,1029
1601642509.2298,59,1014
1601642510.2581,60,954
1601642511.1800,60,1011
1601642512.1998,60,1018
1601642513.1897,60,971
1601642514.2171,60,996
1601642515.3506,61,1027
1601642516.1901,61,975
1601642517.1797,61,1021
1601642518.2298,61,1034
1601642519.2584,61,1017
1601642520.1803,61,964
1601642521.2036,61,963
1601642522.1880,61,1015
1601642523.1780,61,1057
