,hr,rr,ecg,gsr,temperature
1603105429.2891,55.0,1024.0,-65.0,326.0000000000001,33.63
1603105429.2911,55.0,1024.0,722.0,326.0000000000001,33.63
1603105429.2925,55.0,1024.0,3500.0,326.0000000000001,33.63
1603105429.2938,55.0,1024.0,7055.0,326.0000000000001,33.63
1603105429.2952,55.0,1024.0,9130.0,326.0000000000001,33.63
1603105429.2962,55.0,1024.0,10419.0,326.0000000000001,33.63
1603105429.2972,55.0,1024.0,12004.0,326.0000000000001,33.63
1603105429.2982,55.0,1024.0,13271.0,326.0000000000001,33.63
1603105429.2991,55.0,1024.0,14118.0,326.0000000000001,33.63
1603105429.3001,55.0,1024.0,14958.0,326.0000000000001,33.63
1603105429.3011,55.0,1024.0,15712.0,326.0000000000001,33.63
1603105429.302,55.0,1024.0,16296.0,326.0000000000001,33.63
1603105429.3032,55.0,1024.0,16838.0,326.0000000000001,33.63
1603105429.3041,55.0,1024.0,17341.0,326.0000000000001,33.63
1603105429.3051,55.0,1024.0,17751.0,326.0000000000001,33.63
1603105429.3057,55.0,1024.0,18105.0,326.0000000000001,33.63
1603105429.3064,55.0,1024.0,18444.0,326.0000000000001,33.63
1603105429.307,55.0,1024.0,18754.0,326.0000000000001,33.63
1603105429.3077,55.0,1024.0,18999.0,326.0000000000001,33.63
1603105429.3083,55.0,1024.0,19216.0,326.0000000000001,33.63
1603105429.309,55.0,1024.0,19440.0,326.0000000000001,33.63
1603105429.3096,55.0,1024.0,19633.0,326.0000000000001,33.63
1603105429.3103,55.0,1024.0,19768.0,326.0000000000001,33.63
1603105429.3109,55.0,1024.0,19904.0,326.0000000000001,33.63
1603105429.3116,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3122,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.313,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3136,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3141,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3147,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3152,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3157,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3162,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3167,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3173,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3178,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3183,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3188,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3193,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3198,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3203,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3208,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3213,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3218,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3222,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3226,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.323,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3234,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3239,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3243,55.0,1024.0,19997.0,326.0000000000001,33.63
1603105429.3258,55.0,1024.0,19997.0,325.9999999999533,33.63
1603105429.3264,55.0,1024.0,19997.0,325.9999999999533,33.63
1603105429.3269,55.0,1024.0,19948.0,325.9999999999533,33.63
1603105429.3272,55.0,1024.0,19873.0,325.9999999999533,33.63
1603105429.3275,55.0,1024.0,19790.0,325.9999999999533,33.63
1603105429.3279,55.0,1024.0,19731.0,325.9999999999533,33.63
1603105429.3282,55.0,1024.0,19670.0,325.9999999999533,33.63
1603105429.3285,55.0,1024.0,19577.0,325.9999999999533,33.63
1603105429.3289,55.0,1024.0,19479.0,325.9999999999533,33.63
1603105429.3292,55.0,1024.0,19411.0,325.9999999999533,33.63
1603105429.3296,55.0,1024.0,19333.0,325.9999999999533,33.63
1603105429.3299,55.0,1024.0,19233.0,325.9999999999533,33.63
1603105429.3303,55.0,1024.0,19147.0,325.9999999999533,33.63
1603105429.3306,55.0,1024.0,19072.0,325.9999999999533,33.63
1603105429.3309,55.0,1024.0,18969.0,325.9999999999533,33.63
1603105429.3311,55.0,1024.0,18864.0,325.9999999999533,33.63
1603105429.3313,55.0,1024.0,18776.0,325.9999999999533,33.63
1603105429.3315,55.0,1024.0,18696.0,325.9999999999533,33.63
1603105429.3317,55.0,1024.0,18603.0,325.9999999999533,33.63
1603105429.332,55.0,1024.0,18491.0,325.9999999999533,33.63
1603105429.3322,55.0,1024.0,18386.0,325.9999999999533,33.63
1603105429.3324,55.0,1024.0,18305.0,325.9999999999533,33.63
1603105429.3326,55.0,1024.0,18229.0,325.9999999999533,33.63
1603105429.8269,55.0,1084.0,18127.0,325.9999999999533,33.56
1603105429.8285,55.0,1084.0,17990.0,325.9999999999533,33.56
1603105429.8301,55.0,1084.0,17875.0,325.9999999999533,33.56
1603105429.8317,55.0,1084.0,17788.0,325.9999999999533,33.56
1603105429.8331,55.0,1084.0,17690.0,325.9999999999533,33.56
1603105429.8345,55.0,1084.0,17597.0,325.9999999999533,33.56
1603105429.8354,55.0,1084.0,17509.0,325.9999999999533,33.56
