Time,ECG
1602586326.7135,165
1602586326.7154,1325
1602586326.7168,4023
1602586326.7178,6574
1602586326.7188,7928
1602586326.7199,9126
1602586326.7208,10432
1602586326.7217,11355
1602586326.7226,12107
1602586326.7235,12881
1602586326.7244,13507
1602586326.7253,13996
1602586326.7260,14475
1602586326.7268,14919
1602586326.7277,15278
1602586326.7285,15602
1602586326.7292,15908
1602586326.7299,16174
1602586326.7305,16395
1602586326.7312,16606
1602586326.7318,16812
1602586326.7325,16980
1602586326.7331,17109
1602586326.7337,17241
1602586326.7344,17366
1602586326.7349,17464
1602586326.7355,17557
1602586326.7361,17658
1602586326.7366,17735
1602586326.7371,17778
1602586326.7376,17809
1602586326.7381,17845
1602586326.7386,17874
1602586326.7391,17876
1602586326.7396,17874
1602586326.7401,17893
1602586326.7406,17902
1602586326.7411,17883
1602586326.7416,17867
1602586326.7421,17859
1602586326.7426,17828
1602586326.7431,17821
1602586326.7435,17960
1602586326.7439,18255
1602586326.7443,18468
1602586326.7447,18296
1602586326.7452,17677
1602586326.7456,17191
1602586326.7460,17289
1602586326.7464,17426
1602586326.7477,17277
1602586326.7483,17188
1602586326.7487,17179
1602586326.7491,17090
1602586326.7494,17006
1602586326.7497,16970
1602586326.7501,16898
1602586326.7504,16793
1602586326.7507,16721
1602586326.7510,16671
1602586326.7514,16584
1602586326.7517,16484
1602586326.7521,16419
1602586326.7523,16335
1602586326.7526,16218
1602586326.7528,16127
1602586326.7530,16055
1602586326.7532,15968
1602586326.7534,15875
1602586326.7536,15779
1602586326.7538,15683
1602586326.7540,15604
1602586326.7542,15530
1602586327.2529,15432
1602586327.2546,15345
1602586327.2560,15276
1602586327.2573,15154
1602586327.2587,15031
1602586327.2600,14964
1602586327.2610,14878
1602586327.2619,14756
1602586327.2628,14631
1602586327.2637,14516
1602586327.2646,14377
1602586327.2655,14200
1602586327.2666,14046
1602586327.2675,13953
1602586327.2685,13835
1602586327.2694,13694
1602586327.2701,13593
1602586327.2707,13512
1602586327.2713,13409
1602586327.2720,13298
1602586327.2726,13203
1602586327.2733,13107
1602586327.2739,13006
1602586327.2746,12903
1602586327.2752,12802
1602586327.2759,12709
1602586327.2765,12606
1602586327.2772,12498
1602586327.2781,12402
1602586327.2787,12309
1602586327.2793,12206
1602586327.2798,12115
1602586327.2803,12014
1602586327.2808,11899
1602586327.2813,11798
1602586327.2818,11705
1602586327.2823,11609
1602586327.2829,11518
1602586327.2834,11415
1602586327.2840,11309
1602586327.2845,11221
1602586327.2850,11132
1602586327.2855,11026
1602586327.2861,10933
1602586327.2866,10849
1602586327.2870,10748
1602586327.2874,10645
1602586327.2878,10554
1602586327.2883,10473
