Time,GSR,Temp(C)
1602674601.8750,194,34.31
1602674602.5347,194,34.31
1602674603.2249,194,34.31
1602674603.9146,195,34.31
1602674604.5744,194,34.38
1602674605.2644,194,34.38
1602674605.9249,193,34.38
1602674606.6145,193,34.38
1602674607.3044,193,34.38
1602674607.9947,193,34.38
1602674608.6547,193,34.38
1602674609.3149,194,34.44
1602674610.0042,193,34.44
1602674610.6640,193,34.38
1602674611.3543,193,34.44
1602674612.0441,193,34.44
1602674612.7042,194,34.44
1602674613.3941,194,34.44
1602674614.0544,194,34.44
1602674614.7445,194,34.44
1602674615.4340,194,34.44
1602674616.1156,194,34.44
1602674616.7837,194,34.44
1602674617.4438,193,34.44
1602674618.1339,193,34.44
1602674618.7939,192,34.44
1602674619.5023,192,34.44
1602674620.1736,192,34.44
1602674620.8336,190,34.44
1602674621.5235,187,34.44
1602674622.1838,182,34.44
1602674622.8731,176,34.44
1602674623.5637,172,34.44
1602674624.2239,170,34.44
1602674624.9135,169,34.44
1602674625.5733,170,34.44
1602674626.2630,170,34.44
1602674626.9530,171,34.44
1602674627.6132,172,34.44
1602674628.3034,173,34.44
1602674628.9632,174,34.44
1602674629.6529,175,34.44
1602674630.3131,177,34.44
1602674631.0029,178,34.44
1602674631.6930,179,34.44
1602674632.3770,180,34.44
1602674633.0427,181,34.44
1602674633.7026,181,34.44
1602674634.3933,181,34.44
1602674635.0829,182,34.44
1602674635.7627,183,34.44
1602674636.4328,183,34.44
1602674637.0926,181,34.44
1602674637.7827,178,34.44
1602674638.4425,175,34.44
1602674639.1323,174,34.44
1602674639.8229,173,34.44
1602674640.4822,174,34.44
1602674641.1724,174,34.44
1602674641.8324,174,34.44
1602674642.5220,175,34.44
1602674643.2122,176,34.44
1602674643.8722,177,34.44
1602674644.5623,177,34.44
1602674645.2225,178,34.44
1602674645.9120,178,34.44
1602674646.6019,179,34.44
1602674647.2622,179,34.44
1602674647.9522,180,34.44
1602674648.6120,180,34.44
1602674649.3020,180,34.44
1602674649.9619,181,34.44
1602674650.6520,181,34.44
1602674651.3417,182,34.44
1602674652.0019,182,34.44
1602674652.6914,183,34.44
1602674653.3515,183,34.44
1602674654.0417,184,34.44
1602674654.7319,184,34.44
1602674655.3915,184,34.44
1602674656.0813,185,34.44
1602674656.7414,185,34.44
1602674657.4316,185,34.44
1602674658.1214,186,34.44
1602674658.8078,186,34.44
1602674659.4711,186,34.44
1602674660.1312,187,34.44
1602674660.8214,187,34.44
1602674661.4811,187,34.44
1602674662.1918,187,34.44
1602674662.8609,188,34.44
1602674663.5209,188,34.44
1602674664.2110,188,34.44
1602674664.8711,188,34.38
1602674665.5607,189,34.44
1602674666.2506,189,34.44
1602674666.9112,189,34.44
1602674667.6008,189,34.44
1602674668.2610,190,34.44
1602674668.9506,190,34.44
1602674669.6104,190,34.44
1602674670.3007,190,34.44
1602674670.9908,191,34.44
1602674671.6505,191,34.44
1602674672.3404,191,34.44
1602674673.0007,192,34.44
1602674673.6904,192,34.44
1602674674.3804,192,34.44
1602674675.0406,192,34.44
1602674675.7303,193,34.44
1602674676.3902,193,34.44
1602674677.0807,193,34.44
1602674677.7704,193,34.44
1602674678.4308,194,34.44
1602674679.1199,194,34.44
