Time,HR,RR
1602674604.4347,65,886
1602674605.4223,65,910
1602674606.4430,65,nan
1602674607.4324,66,945
1602674608.4220,66,952
1602674609.4415,66,1820
1602674610.4323,65,982
1602674611.4220,65,1019
1602674612.4422,64,940
1602674613.4319,64,950
1602674614.4211,64,937
1602674615.4418,64,893
1602674616.4321,64,879
1602674617.4220,65,937
1602674618.4414,65,942
1602674619.4319,65,902
1602674620.4217,66,858
1602674621.4417,66,858
1602674622.4314,67,842
1602674623.4276,68,826
1602674624.4413,68,775
1602674625.4315,69,788
1602674626.4210,71,827
1602674627.4407,71,803
1602674628.4739,71,818
1602674629.4213,72,846
1602674630.4410,72,868
1602674631.4306,72,837
1602674632.4203,72,931
1602674633.4418,72,990
1602674634.4308,70,945
1602674635.4511,70,953
1602674636.4395,69,879
1602674637.4732,69,831
1602674638.4211,69,916
1602674639.4409,69,941
1602674640.4606,69,749
1602674641.4194,70,727
1602674642.4409,72,710
1602674643.4306,74,816
1602674644.4204,74,875
1602674645.4405,73,910
1602674646.4307,73,920
1602674647.4206,72,892
1602674648.4406,72,853
1602674649.4295,72,887
1602674650.4189,71,919
1602674651.4396,71,897
1602674652.4298,71,958
1602674653.4193,70,982
1602674654.4394,69,919
1602674655.4456,69,943
1602674656.4193,69,945
1602674657.4392,68,895
1602674658.4289,68,899
1602674659.4184,68,957
1602674660.4392,68,998
1602674661.4290,67,919
1602674662.4190,67,945
1602674663.4386,67,876
1602674664.4458,67,844
1602674665.4189,67,852
1602674666.4388,68,883
1602674667.4286,69,832
1602674668.4483,69,962
1602674669.4384,69,905
1602674670.4286,68,899
1602674671.4184,68,946
1602674672.4380,68,926
1602674673.4429,68,827
1602674674.4183,69,886
1602674675.4381,69,827
1602674676.4278,69,784
1602674677.4176,70,849
1602674678.4379,70,933
1602674679.4279,70,876
1602674680.4181,70,903
1602674681.4374,70,909
1602674682.4270,69,873
1602674683.4178,69,916
1602674684.4377,69,885
1602674685.4274,69,797
1602674686.4171,70,847
1602674687.4376,70,834
1602674688.4278,71,815
1602674689.4473,71,898
1602674690.4368,71,933
1602674691.4564,71,862
1602674692.4176,71,902
1602674693.4671,70,879
1602674694.4270,70,831
1602674695.4166,70,871
1602674696.4546,71,916
1602674697.4268,70,868
1602674698.4172,70,892
1602674699.4363,70,898
1602674700.4433,70,838
1602674701.4472,70,877
1602674702.4370,70,919
1602674703.4272,70,881
1602674704.4168,70,879
1602674705.4538,70,973
1602674706.4269,69,892
1602674707.4164,69,915
1602674708.4359,69,957
1602674709.4255,68,906
1602674710.4160,68,857
1602674711.4360,68,913
1602674712.4259,68,967
1602674713.4156,68,906
1602674714.4356,68,947
1602674715.4258,67,961
1602674716.4158,67,928
1602674717.4354,67,994
1602674718.4247,66,1011
1602674719.4155,66,946
1602674720.4355,66,966
1602674721.4251,65,968
1602674722.4151,65,902
1602674723.4343,65,900
1602674724.4254,66,973
1602674725.4152,66,1008
1602674726.4349,65,941
1602674727.4242,65,998
1602674728.4153,65,1010
1602674729.4349,65,974
1602674730.4249,64,936
1602674731.4143,64,1005
1602674732.4526,64,910
1602674733.4247,64,917
1602674734.4447,64,957
1602674735.4342,64,916
1602674736.4240,65,872
1602674737.4144,65,949
1602674738.4348,65,997
1602674739.4242,65,952
1602674740.4138,65,933
