,arousal,valence,Q,scared,jumpscare
0,1.0,-2.0,4,1,0
1,1.0,-2.0,4,1,0
2,1.0,-2.0,4,1,0
3,1.0,-2.0,4,1,0
4,1.0,-2.0,4,1,0
5,1.0,-2.0,4,1,0
6,1.0,-2.0,4,1,0
7,1.0,-2.0,4,1,0
8,1.0,-2.0,4,1,0
9,1.0,-2.0,4,1,0
10,1.0,-2.0,4,1,0
11,1.0,-2.0,4,1,0
12,1.0,-2.0,4,1,0
13,1.0,-2.0,4,1,0
14,1.0,-2.0,4,1,0
15,1.0,-2.0,4,1,0
16,1.0,-2.0,4,1,0
17,1.0,-2.0,4,1,0
18,1.0,-2.0,4,1,0
19,1.0,-2.0,4,1,0
20,1.0,-2.0,4,1,0
21,1.2000000000000002,-2.0,4,1,0
22,1.4,-2.0,4,1,0
23,1.6,-2.0,4,1,0
24,1.8,-2.0,4,1,0
25,2.0,-2.0,4,1,0
26,2.0,-2.0,4,1,0
27,2.0,-2.0,4,1,0
28,2.0,-2.0,4,1,0
29,2.0,-2.0,4,1,0
30,2.0,-2.0,4,1,0
31,2.0,-2.0,4,1,0
32,2.0,-2.0,4,1,0
33,2.0,-2.0,4,1,0
34,2.0,-2.0,4,1,0
35,2.0,-2.0,4,1,0
36,2.0,-2.0,4,1,0
37,2.0,-2.0,4,1,0
38,2.0,-2.0,4,1,0
39,2.0,-2.0,4,1,0
40,2.0,-2.0,4,1,0
41,2.0,-2.0,4,1,0
42,2.0,-2.0,4,1,0
43,2.0,-2.0,4,1,0
44,2.0,-2.0,4,1,0
45,2.0,-2.0,4,1,0
46,2.0,-2.0,4,1,0
47,2.0,-2.0,4,1,0
48,2.0,-2.0,4,1,0
49,2.0,-2.0,4,1,0
50,2.0,-2.0,4,1,0
51,2.0,-2.0,4,1,0
52,2.0,-2.0,4,1,0
53,2.0,-2.0,4,1,0
54,2.0,-2.0,4,1,0
55,2.0,-2.0,4,1,0
56,2.0,-2.0,4,1,0
57,2.0,-2.0,4,1,0
58,2.0,-2.0,4,1,0
59,2.0,-2.0,4,1,0
60,2.0,-2.0,4,1,0
61,2.0,-2.2,4,1,0
62,2.0,-2.4000000000000004,4,1,0
63,2.0,-2.5999999999999996,4,1,0
64,2.0,-2.8000000000000003,4,1,0
65,2.0,-3.0,4,1,0
66,2.0,-3.0000000000000004,4,1,0
67,2.0,-3.0,4,1,0
68,2.0,-3.0,4,1,0
69,2.0,-3.0000000000000004,4,1,0
70,2.0,-3.0,4,1,0
71,2.0,-3.0000000000000004,4,1,0
72,2.0,-3.0,4,1,0
73,2.0,-3.0,4,1,0
74,2.0,-3.0000000000000004,4,1,0
75,2.0,-3.0,4,1,0
76,2.6,-3.0000000000000004,4,1,0
77,3.2,-3.0,4,1,0
78,3.8,-3.0,4,1,1
79,4.4,-3.0000000000000004,4,1,1
80,5.0,-3.0,4,1,1
81,5.0,-3.0000000000000004,4,1,1
82,5.0,-3.0,4,1,1
83,5.0,-3.0,4,1,1
84,5.0,-3.0000000000000004,4,1,1
85,5.0,-3.0,4,1,1
86,4.4,-2.8000000000000003,4,1,1
87,3.8,-2.5999999999999996,4,1,1
88,3.2,-2.4000000000000004,4,1,0
89,2.6,-2.2,4,1,0
90,2.0,-2.0,4,1,0
91,2.0,-2.0,4,1,0
92,2.0,-2.0,4,1,0
93,2.0,-2.0,4,1,0
94,2.0,-2.0,4,1,0
95,2.0,-2.0,4,1,0
96,2.0,-2.0,4,1,0
97,2.0,-2.0,4,1,0
98,2.0,-2.0,4,1,0
99,2.0,-2.0,4,1,0
100,2.0,-2.0,4,1,0
101,2.0,-2.0,4,1,0
102,2.0,-2.0,4,1,0
103,2.0,-2.0,4,1,0
104,2.0,-2.0,4,1,0
105,2.0,-2.0,4,1,0
106,2.0,-2.0,4,1,0
107,2.0,-2.0,4,1,0
108,2.0,-2.0,4,1,0
109,2.0,-2.0,4,1,0
110,2.0,-2.0,4,1,0
111,2.0,-2.2,4,1,0
112,2.0,-2.4000000000000004,4,1,0
113,2.0,-2.5999999999999996,4,1,0
114,2.0,-2.8000000000000003,4,1,0
115,2.0,-3.0,4,1,0
116,1.8,-2.6000000000000005,4,1,0
117,1.6,-2.1999999999999997,4,1,0
118,1.4,-1.8000000000000003,4,1,0
119,1.2000000000000002,-1.4000000000000001,4,1,0
120,1.0,-1.0,4,1,0
121,1.0,-1.0,4,1,0
122,1.0,-1.0,4,1,0
123,1.0,-1.0,4,1,0
124,1.0,-1.0,4,1,0
125,1.0,-1.0,4,1,0
126,1.0,-1.0,4,1,0
127,1.0,-1.0,4,1,0
128,1.0,-1.0,4,1,0
129,1.0,-1.0,4,1,0
130,1.0,-1.0,4,1,0
131,1.0,-1.0,4,1,0
132,1.0,-1.0,4,1,0
133,1.0,-1.0,4,1,0
134,1.0,-1.0,4,1,0
135,1.0,-1.0,4,1,0
136,1.0,-1.0,4,1,0
137,1.0,-1.0,4,1,0
138,1.0,-1.0,4,1,0
139,1.0,-1.0,4,1,0
140,1.0,-1.0,4,1,0
141,1.0,-1.0,4,1,0
142,1.0,-1.0,4,1,0
143,1.0,-1.0,4,1,0
144,1.0,-1.0,4,1,0
145,1.0,-1.0,4,1,0
146,1.0,-1.0,4,1,0
147,1.0,-1.0,4,1,0
148,1.0,-1.0,4,1,0
149,1.0,-1.0,4,1,0
150,1.0,-1.0,4,1,0
151,1.0,-1.0,4,1,0
152,1.0,-1.0,4,1,0
153,1.0,-1.0,4,1,0
154,1.0,-1.0,4,1,0
155,1.0,-1.0,4,1,0
