,arousal,valence,Q
0,-2.0,2.0,2
1,-2.0,2.0,2
2,-2.0,2.0,2
3,-2.0,2.0,2
4,-2.0,2.0,2
5,-2.0,2.0,2
6,-2.0,2.0,2
7,-2.0,2.0,2
8,-2.0,2.0,2
9,-2.0,2.0,2
10,-2.0,2.0,2
11,-2.0,2.0,2
12,-2.0,2.0,2
13,-2.0,2.0,2
14,-2.0,2.0,2
15,-2.0,2.0,2
16,-2.0,2.0,2
17,-2.0,2.0,2
18,-2.0,2.0,2
19,-2.0,2.0,2
20,-2.0,2.0,2
21,-1.6,2.0,2
22,-1.2,2.0,2
23,-0.8,2.0,2
24,-0.4,2.0,2
25,0.0,2.0,0
26,0.0,2.0,0
27,0.0,2.0,0
28,0.0,2.0,0
29,0.0,2.0,0
30,0.0,2.0,0
31,0.0,2.0,0
32,0.0,2.0,0
33,0.0,2.0,0
34,0.0,2.0,0
35,0.0,2.0,0
36,0.0,2.0,0
37,0.0,2.0,0
38,0.0,2.0,0
39,0.0,2.0,0
40,0.0,2.0,0
41,0.0,2.0,0
42,0.0,2.0,0
43,0.0,2.0,0
44,0.0,2.0,0
45,0.0,2.0,0
46,0.0,2.0,0
47,0.0,2.0,0
48,0.0,2.0,0
49,0.0,2.0,0
50,0.0,2.0,0
51,0.0,2.0,0
52,0.0,2.0,0
53,0.0,2.0,0
54,0.0,2.0,0
55,0.0,2.0,0
56,0.0,2.0,0
57,0.0,2.0,0
58,0.0,2.0,0
59,0.0,2.0,0
60,0.0,2.0,0
61,0.0,2.0,0
62,0.0,2.0,0
63,0.0,2.0,0
64,0.0,2.0,0
65,0.0,2.0,0
66,0.0,2.0,0
67,0.0,2.0,0
68,0.0,2.0,0
69,0.0,2.0,0
70,0.0,2.0,0
71,0.0,2.0,0
72,0.0,2.0,0
73,0.0,2.0,0
74,0.0,2.0,0
75,0.0,2.0,0
76,0.0,2.0,0
77,0.0,2.0,0
78,0.0,2.0,0
79,0.0,2.0,0
80,0.0,2.0,0
81,0.0,2.0,0
82,0.0,2.0,0
83,0.0,2.0,0
84,0.0,2.0,0
85,0.0,2.0,0
86,0.0,2.0,0
87,0.0,2.0,0
88,0.0,2.0,0
89,0.0,2.0,0
90,0.0,2.0,0
91,0.0,2.0,0
92,0.0,2.0,0
93,0.0,2.0,0
94,0.0,2.0,0
95,0.0,2.0,0
96,-0.4,2.0,2
97,-0.8,2.0,2
98,-1.2,2.0,2
99,-1.6,2.0,2
100,-2.0,2.0,2
101,-2.0,2.0,2
102,-2.0,2.0,2
103,-2.0,2.0,2
104,-2.0,2.0,2
105,-2.0,2.0,2
106,-2.0,2.0,2
107,-2.0,2.0,2
108,-2.0,2.0,2
109,-2.0,2.0,2
110,-2.0,2.0,2
111,-2.0,2.0,2
112,-2.0,2.0,2
113,-2.0,2.0,2
114,-2.0,2.0,2
115,-2.0,2.0,2
116,-2.0,2.0,2
117,-2.0,2.0,2
118,-2.0,2.0,2
119,-2.0,2.0,2
120,-2.0,2.0,2
121,-2.0,2.0,2
122,-2.0,2.0,2
123,-2.0,2.0,2
124,-2.0,2.0,2
125,-2.0,2.0,2
126,-1.6,1.6,2
127,-1.2,1.2,2
128,-0.8,0.8,2
129,-0.4,0.4,2
130,0.0,0.0,0
131,0.0,0.0,0
132,0.0,0.0,0
