Time,HR,RR
1603018841.7356,78,780
1603018842.7845,78,784
1603018843.7729,78,763
1603018844.7924,79,767
1603018845.9014,79,771
1603018846.7730,79,769
1603018847.7328,79,774
1603018848.7528,79,771
1603018849.8628,79,775
1603018850.7329,79,768
1603018851.7528,79,767
1603018852.7429,79,772
1603018853.7584,79,763
1603018854.8638,79,759
1603018855.7431,80,779
1603018856.7328,79,770
1603018857.7528,79,772
1603018858.8022,79,771
1603018859.7332,79,765
1603018860.7528,80,745
1603018861.7427,80,745
1603018862.7395,80,758
1603018863.8722,80,766
1603018864.7429,80,772
1603018865.7328,80,773
1603018866.7527,80,785
1603018867.7952,80,798
1603018868.7330,80,807
1603018869.7529,79,799
1603018870.7429,79,802
1603018871.7327,79,816
1603018872.8341,78,827
1603018873.7429,78,827
1603018874.7328,77,806
1603018875.7828,77,800
1603018876.7943,77,809
1603018877.7630,77,844
1603018878.7829,76,838
1603018879.7727,76,816
1603018880.7327,76,827
1603018881.8311,76,846
1603018882.7430,75,831
1603018883.7328,75,817
1603018884.7526,75,819
1603018885.7427,75,793
1603018886.7330,75,778
1603018887.7528,76,770
1603018888.7427,76,772
1603018889.7326,77,771
1603018890.8022,77,779
1603018891.7427,77,797
1603018892.7330,77,777
1603018893.7827,78,774
1603018894.7426,78,783
1603018895.8817,78,766
1603018896.7528,78,745
1603018897.7426,79,723
1603018898.7326,80,713
1603018899.7826,81,697
1603018900.7428,82,697
1603018901.7327,83,702
1603018902.7527,84,695
1603018903.7625,84,694
1603018904.8436,85,695
1603018905.7528,86,712
1603018906.7427,85,769
1603018907.7326,85,810
1603018908.7826,84,832
1603018910.2837,83,836
1603018910.7628,81,863
1603018911.7528,80,882
1603018912.7426,79,877
1603018913.8126,78,858
1603018914.7527,77,839
1603018915.7426,76,842
1603018916.7326,76,872
1603018917.7526,75,868
1603018918.8541,75,867
1603018919.7327,75,883
1603018920.7526,74,891
1603018921.7426,73,909
1603018922.7911,73,847
1603018923.7528,73,826
1603018924.7426,73,828
1603018925.7326,73,827
1603018926.7526,73,803
1603018927.8496,73,815
1603018928.7327,74,858
1603018929.7526,74,879
1603018930.7425,73,874
1603018931.7816,73,838
1603018932.8933,73,815
1603018933.7426,73,778
1603018934.7325,74,737
1603018935.7525,76,712
1603018936.7939,77,676
1603018937.7326,79,665
1603018938.7525,81,655
1603018939.7425,83,670
1603018940.7499,84,749
1603018941.8639,84,773
1603018942.7726,83,781
1603018943.7624,83,781
1603018944.7524,82,781
1603018945.7955,82,781
1603018946.7325,81,778
1603018947.7525,81,777
1603018948.7424,81,799
1603018949.7323,81,807
1603018950.8933,80,831
1603018951.7425,79,824
1603018952.7325,79,806
1603018953.7823,78,799
1603018954.7929,78,797
1603018955.7326,78,786
1603018956.7525,78,772
1603018957.7423,78,749
1603018958.7623,79,742
1603018959.8339,79,738
1603018960.7425,80,742
1603018961.7325,80,727
1603018962.9676,81,752
1603018964.0834,81,789
1603018964.7323,80,773
1603018965.7882,80,754
1603018966.7424,80,738
1603018967.7323,81,720
1603018968.8035,81,714
1603018969.7425,82,728
1603018970.7324,82,764
1603018971.7523,82,778
1603018972.7423,82,791
1603018973.8520,81,804
1603018974.7525,80,792
1603018975.7723,80,785
1603018976.7622,80,784
1603018977.8030,79,790
1603018978.7424,79,792
1603018979.7325,79,796
1603018980.7522,79,824
1603018981.7422,78,842
1603018982.8483,78,821
1603018983.7523,77,813
1603018984.7423,77,816
1603018985.7322,77,801
1603018986.7728,77,776
1603018987.7426,77,748
1603018988.7322,78,710
1603018989.7523,79,693
1603018990.8021,80,681
1603018991.8416,82,674
1603018992.7523,83,692
1603018993.7422,84,703
1603018994.7322,85,698
1603018995.7521,85,711
1603018996.8521,86,718
1603018997.7322,85,766
1603018998.7522,85,790
1603018999.7422,83,813
1603019000.7909,82,810
1603019001.7522,82,817
1603019002.7421,81,825
1603019003.7321,80,836
1603019004.7521,79,845
1603019005.8522,78,844
1603019006.7623,78,846
1603019007.7521,77,859
1603019008.7720,77,877
1603019009.7802,76,885
1603019010.7524,75,830
1603019011.7423,75,821
1603019012.7322,75,800
1603019013.7521,75,748
1603019014.8517,76,729
1603019015.7323,77,713
1603019016.7521,78,718
1603019017.7421,80,734
1603019018.7815,80,751
1603019019.7525,80,747
1603019020.7421,81,754
1603019021.7620,81,778
1603019022.7520,80,780
1603019023.7911,80,766
1603019024.7325,80,745
1603019025.7520,81,738
1603019026.7419,81,726
1603019027.7319,81,715
