,hr,rr,ecg,gsr,temperature
1602587563.886,63.0,982.0,-7.0,425.0000000000003,34.25
1602587563.8864,63.0,982.0,46.0,425.0000000000003,34.25
1602587563.8889,63.0,982.0,499.0,425.0000000000003,34.25
1602587563.8915,63.0,982.0,1518.0,425.0000000000003,34.25
1602587563.8935,63.0,982.0,2459.0,425.0000000000003,34.25
1602587563.8955,63.0,982.0,2985.0,425.0000000000003,34.25
1602587563.8975,63.0,982.0,3489.0,425.0000000000003,34.25
1602587563.8995,63.0,982.0,4035.0,425.0000000000003,34.25
1602587563.9015,63.0,982.0,4457.0,425.0000000000003,34.25
1602587563.9035,63.0,982.0,4838.0,425.0000000000003,34.25
1602587563.9055,63.0,982.0,5226.0,425.00000000000034,34.25
1602587563.9075,63.0,982.0,5563.0,425.00000000000034,34.25
1602587563.9095,63.0,982.0,5856.0,425.00000000000034,34.25
1602587563.9115,63.0,982.0,6142.0,425.00000000000034,34.25
1602587563.9135,63.0,982.0,6424.0,425.00000000000034,34.25
1602587563.9155,63.0,982.0,6678.0,425.00000000000034,34.25
1602587563.9175,63.0,982.0,6911.0,425.00000000000034,34.25
1602587563.9195,63.0,982.0,7129.0,425.00000000000034,34.25
1602587563.9216,63.0,982.0,7328.0,425.00000000000034,34.25
1602587563.9235,63.0,982.0,7530.0,425.00000000000034,34.25
1602587563.9255,63.0,982.0,7731.0,425.00000000000034,34.25
1602587563.9275,63.0,982.0,7903.0,425.00000000000034,34.25
1602587563.9295,63.0,982.0,8046.0,425.00000000000034,34.25
1602587563.9315,63.0,982.0,8204.0,425.00000000000034,34.25
1602587563.9335,63.0,982.0,8371.0,425.00000000000034,34.25
1602587563.9355,63.0,982.0,8502.0,425.00000000000034,34.25
1602587563.9375,63.0,982.0,8599.0,425.00000000000034,34.25
1602587563.9395,63.0,982.0,8703.0,425.00000000000034,34.25
1602587563.9415,63.0,982.0,8825.0,425.00000000000034,34.25
1602587563.9435,63.0,982.0,8926.0,425.00000000000034,34.25
1602587563.9455,63.0,982.0,8999.0,425.00000000000034,34.25
1602587563.9475,63.0,982.0,9077.0,425.00000000000034,34.25
1602587563.9495,63.0,982.0,9164.0,425.0000000000003,34.25
1602587563.9515,63.0,982.0,9232.0,425.0000000000003,34.25
1602587563.9535,63.0,982.0,9288.0,425.0000000000003,34.25
1602587563.9555,63.0,982.0,9341.0,425.0000000000003,34.25
1602587563.9575,63.0,982.0,9390.0,425.0000000000003,34.25
1602587563.9595,63.0,982.0,9436.0,425.0000000000003,34.25
1602587563.9615,63.0,982.0,9482.0,425.0000000000003,34.25
1602587563.9635,63.0,982.0,9535.0,425.0000000000003,34.25
1602587563.9655,63.0,982.0,9705.0,425.0000000000003,34.25
1602587563.9675,63.0,982.0,10013.0,425.0000000000003,34.25
1602587563.9695,63.0,982.0,10107.0,425.0000000000003,34.25
1602587563.9715,63.0,982.0,9642.0,425.0000000000003,34.25
1602587563.9735,63.0,982.0,9157.0,425.0000000000003,34.25
1602587563.9755,63.0,982.0,9317.0,425.0000000000003,34.25
1602587563.9775,63.0,982.0,9620.0,425.0000000000003,34.25
1602587563.9795,63.0,982.0,9591.0,425.0000000000003,34.25
1602587563.9815,63.0,982.0,9571.0,425.0000000000002,34.25
1602587563.9835,63.0,982.0,9652.0,425.0000000000002,34.25
1602587563.986,63.0,982.0,9632.0,424.9999999999392,34.25
1602587563.9875,63.0,982.0,9586.0,424.9999999999392,34.25
1602587563.9895,63.0,982.0,9591.0,424.9999999999392,34.25
1602587563.9915,63.0,982.0,9579.0,424.9999999999392,34.25
1602587563.9935,63.0,982.0,9542.0,424.9999999999392,34.25
1602587563.9955,63.0,982.0,9528.0,424.9999999999392,34.25
1602587563.9975,63.0,982.0,9521.0,424.9999999999392,34.25
1602587563.9995,63.0,982.0,9477.0,424.9999999999392,34.25
1602587564.0016,63.0,982.0,9426.0,424.9999999999392,34.25
1602587564.0035,63.0,982.0,9411.0,424.9999999999392,34.25
1602587564.0055,63.0,982.0,9387.0,424.9999999999392,34.25
1602587564.0075,63.0,982.0,9327.0,424.9999999999392,34.25
1602587564.0095,63.0,982.0,9280.0,424.9999999999392,34.25
1602587564.0115,63.0,982.0,9254.0,424.9999999999392,34.25
1602587564.0135,63.0,982.0,9217.0,424.9999999999392,34.25
1602587564.0155,63.0,982.0,9166.0,424.9999999999392,34.25
1602587564.0175,63.0,982.0,9108.0,424.9999999999392,34.25
1602587564.0195,63.0,982.0,9065.0,424.9999999999392,34.25
1602587564.0215,63.0,982.0,9040.0,424.9999999999392,34.25
