Time,GSR,Temp(C)
1603019419.8982,356,36.88
1603019420.7073,352,36.88
1603019421.5465,349,36.88
1603019422.3874,348,36.88
1603019423.1966,346,36.88
1603019424.1049,346,36.88
1603019424.8766,347,36.88
1603019425.7538,347,36.88
1603019426.5265,344,36.88
1603019427.4592,332,36.88
1603019428.2066,315,36.88
1603019429.1131,297,36.88
1603019429.8566,284,36.88
1603019430.8237,277,36.88
1603019431.5065,272,36.88
1603019432.4735,261,36.88
1603019433.1865,256,36.88
1603019434.0266,255,36.88
1603019434.8366,251,36.88
1603019435.6766,242,36.88
1603019436.5165,240,36.88
1603019437.3266,241,36.88
1603019438.1665,245,36.88
1603019439.0066,246,36.88
1603019439.8465,249,36.88
1603019440.6566,254,36.88
1603019441.4965,260,36.88
1603019442.3366,264,36.88
1603019443.1833,267,36.88
1603019443.9866,271,36.88
1603019444.8655,273,36.88
1603019445.6365,261,36.88
1603019446.5417,232,36.88
1603019447.3164,218,36.88
1603019448.2190,207,36.88
1603019448.9664,198,36.88
1603019449.9280,198,36.88
1603019450.6464,203,36.88
1603019451.5747,196,36.88
1603019452.2964,194,36.88
1603019453.1367,192,36.88
1603019453.9464,187,36.88
1603019454.7865,189,36.88
1603019455.6264,195,36.88
1603019456.4666,199,36.88
1603019457.2764,193,36.88
1603019458.1164,189,36.88
1603019458.9565,191,36.88
1603019459.7664,195,36.88
1603019460.6062,200,36.88
1603019461.4463,205,36.88
1603019462.2563,210,36.88
1603019463.0964,214,36.88
1603019463.9363,220,36.88
1603019464.7764,224,36.88
1603019465.5863,227,36.88
1603019466.4263,231,36.88
1603019467.2953,235,36.88
1603019468.0763,240,36.88
1603019468.9797,242,36.88
1603019469.7563,242,36.88
1603019470.6839,240,36.88
1603019471.4063,233,36.88
1603019472.3329,217,36.88
1603019473.0863,211,36.88
1603019473.8964,206,36.88
1603019474.7362,189,36.88
1603019475.7030,176,36.88
1603019476.3862,166,36.88
1603019477.2263,167,36.81
1603019478.0663,176,36.88
1603019478.9063,185,36.88
1603019479.7162,192,36.88
1603019480.5563,198,36.88
1603019481.3963,199,36.88
1603019482.2063,192,36.88
1603019483.0462,189,36.88
1603019483.8864,193,36.88
1603019484.7243,199,36.88
1603019485.5363,204,36.88
1603019486.3762,204,36.88
1603019487.2162,207,36.88
1603019488.0532,209,36.88
1603019488.8662,208,36.88
1603019489.7333,204,36.88
1603019490.5462,200,36.88
1603019491.4448,201,36.88
1603019492.1962,205,36.88
1603019493.0945,210,36.88
1603019493.8462,215,36.88
1603019494.8049,218,36.88
1603019495.5262,222,36.88
1603019496.3364,222,36.88
1603019497.1762,216,36.81
1603019498.0164,212,36.88
1603019498.8261,213,36.88
1603019499.6663,217,36.88
1603019500.5062,221,36.81
1603019501.3163,224,36.88
1603019502.1561,227,36.88
1603019502.9962,230,36.88
1603019503.8361,233,36.88
1603019504.6462,236,36.88
1603019505.4861,239,36.88
1603019506.3262,241,36.88
1603019507.1628,244,36.88
1603019507.9761,248,36.81
1603019508.8161,251,36.88
1603019509.6261,253,36.88
1603019510.5231,256,36.88
1603019511.3061,258,36.81
1603019512.1748,260,36.88
1603019512.9561,259,36.81
1603019513.9090,254,36.88
1603019514.6361,252,36.88
1603019515.5637,252,36.81
1603019516.2861,251,36.88
1603019517.1262,251,36.88
1603019517.9661,251,36.81
1603019518.7761,250,36.88
1603019519.6161,246,36.88
1603019520.4562,246,36.88
1603019521.2660,246,36.88
1603019522.1061,249,36.88
1603019522.9460,251,36.88
1603019523.7561,253,36.88
1603019524.5960,255,36.81
1603019525.4361,257,36.81
1603019526.2760,258,36.88
1603019527.0861,260,36.88
1603019527.9310,262,36.81
1603019528.7660,264,36.88
1603019529.5760,266,36.88
1603019530.4160,268,36.88
1603019531.2828,267,36.88
1603019532.0661,266,36.88
1603019532.9324,267,36.88
1603019533.7460,269,36.81
1603019534.6426,270,36.88
1603019535.3960,272,36.88
1603019536.3240,274,36.88
1603019537.0760,275,36.88
1603019537.8860,275,36.88
1603019538.7260,272,36.88
1603019539.6830,270,36.88
1603019540.3760,267,36.88
1603019541.2161,267,36.88
1603019542.0559,269,36.88
1603019542.8960,272,36.88
1603019543.7060,274,36.81
1603019544.5460,276,36.88
1603019545.3860,278,36.88
1603019546.1962,277,36.88
1603019547.0361,276,36.88
1603019547.8760,276,36.88
1603019548.6859,277,36.88
1603019549.5260,276,36.88
1603019550.3660,264,36.81
1603019551.2060,247,36.88
1603019552.0430,234,36.88
1603019552.8560,232,36.88
1603019553.6986,232,36.88
1603019554.5060,236,36.88
1603019555.4035,240,36.88
1603019556.1860,243,36.88
1603019557.0838,247,36.88
1603019557.8359,251,36.88
1603019558.7926,255,36.88
1603019559.5159,259,36.88
1603019560.4429,262,36.88
1603019561.1659,262,36.88
1603019562.0060,260,36.81
1603019562.8159,251,36.88
1603019563.6559,244,36.88
1603019564.4959,242,36.88
1603019565.3359,243,36.88
1603019566.1459,245,36.88
1603019566.9861,249,36.88
1603019567.8258,253,36.88
1603019568.6359,256,36.88
1603019569.4758,261,36.88
1603019570.3162,264,36.88
1603019571.1628,268,36.88
1603019571.9658,271,36.88
1603019572.8058,275,36.88
1603019573.6458,278,36.88
1603019574.5123,281,36.88
1603019575.2958,282,36.88
1603019576.1624,282,36.88
1603019576.9458,283,36.88
1603019577.8742,285,36.88
1603019578.6258,283,36.88
1603019579.5286,269,36.88
1603019580.2758,254,36.88
1603019581.1159,240,36.88
1603019581.9559,235,36.88
1603019582.7659,232,36.88
1603019583.6057,230,36.88
1603019584.4461,230,36.88
1603019585.2557,233,36.88
1603019586.0959,237,36.88
1603019586.9357,241,36.88
1603019587.7460,246,36.81
1603019588.5857,250,36.88
1603019589.4258,251,36.88
1603019590.2656,252,36.88
1603019591.0758,254,36.88
1603019591.9158,257,36.88
1603019592.7558,261,36.88
1603019593.5658,264,36.88
1603019594.4058,267,36.88
1603019595.3047,270,36.88
1603019596.0857,266,36.88
1603019596.9226,259,36.88
1603019597.7357,256,36.88
1603019598.6336,258,36.88
1603019599.3857,261,36.88
1603019600.2820,264,36.88
1603019601.0656,267,36.88
1603019601.9933,264,36.88
1603019602.7157,242,36.88
1603019603.6728,220,36.88
1603019604.3956,214,36.88
1603019605.2059,216,36.88
1603019606.0456,221,36.88
1603019606.8857,225,36.88
1603019607.6957,230,36.88
1603019608.5357,235,36.88
1603019609.3757,240,36.88
1603019610.1857,242,36.88
1603019611.0257,230,36.88
1603019611.8656,215,36.88