Time,ECG
1602946694.3071,1005
1602946694.3097,4017
1602946694.3123,7535
1602946694.3148,9128
1602946694.3167,9913
1602946694.3188,11120
1602946694.3208,11927
1602946694.3228,12318
1602946694.3247,12818
1602946694.3267,13236
1602946694.3288,13440
1602946694.3307,13639
1602946694.3327,13848
1602946694.3348,13950
1602946694.3367,14004
1602946694.3387,14077
1602946694.3408,14123
1602946694.3427,14120
1602946694.3448,14111
1602946694.3467,14108
1602946694.3487,14094
1602946694.3507,14028
1602946694.3527,13955
1602946694.3547,13916
1602946694.3568,13846
1602946694.3588,13749
1602946694.3607,13681
1602946694.3627,13622
1602946694.3647,13528
1602946694.3667,13426
1602946694.3686,13346
1602946694.3706,13263
1602946694.3727,13161
1602946694.3747,13054
1602946694.3766,12954
1602946694.3786,12862
1602946694.3806,12767
1602946694.3826,12663
1602946694.3847,12568
1602946694.3866,12471
1602946694.3888,12367
1602946694.3908,12265
1602946694.3927,12167
1602946694.3947,12082
1602946694.3966,11975
1602946694.3986,11859
1602946694.4006,11774
1602946694.4026,11691
1602946694.4047,11587
1602946694.4067,11475
1602946694.4094,11378
1602946694.4107,11293
1602946694.4126,11179
1602946694.4146,11065
1602946694.4166,10967
1602946694.4186,10860
1602946694.4207,10754
1602946694.4228,10666
1602946694.4246,10596
1602946694.4266,10513
1602946694.4286,10401
1602946694.4306,10290
1602946694.4326,10219
1602946694.4346,10273
1602946694.4366,10452
1602946694.4387,10409
1602946694.4406,9816
1602946694.4426,9235
1602946694.4446,9347
1602946694.4466,9619
1602946694.4486,9517
1602946694.4506,9393
1602946694.4526,9376
1602946694.8439,9286
1602946694.8448,9175
1602946694.8463,9111
1602946694.8483,9024
1602946694.8504,8929
1602946694.8523,8869
1602946694.8544,8788
1602946694.8563,8686
1602946694.8583,8626
1602946694.8603,8587
1602946694.8623,8492
1602946694.8644,8363
1602946694.8663,8305
1602946694.8683,8281
1602946694.8703,8196
1602946694.8723,8098
1602946694.8744,8043
1602946694.8763,7992
1602946694.8783,7919
1602946694.8803,7848
1602946694.8823,7792
1602946694.8843,7727
1602946694.8863,7664
1602946694.8882,7608
1602946694.8902,7532
1602946694.8923,7447
1602946694.8943,7372
1602946694.8962,7297
1602946694.8986,7219
1602946694.9003,7124
1602946694.9023,7022
1602946694.9043,6930
