Time,HR,RR
1606838159.9426,79,895
1606838160.9626,78,911
1606838162.0104,76,856
1606838162.9407,76,785
1606838163.9304,76,770
1606838164.9502,77,727
1606838165.9402,77,823
1606838167.0461,77,834
1606838167.9506,77,736
1606838168.9403,78,777
1606838169.9301,78,855
1606838171.0097,78,903
1606838171.9404,77,838
1606838172.9303,76,864
1606838173.9501,75,898
1606838175.0002,75,797
1606838176.0477,75,819
1606838176.9504,75,878
1606838177.9401,74,897
1606838178.9301,74,796
1606838179.9758,74,949
1606838181.0595,73,921
1606838181.9300,73,819
1606838182.9500,72,901
1606838183.9401,72,967
1606838185.0467,72,888
1606838185.9803,71,850
1606838186.9700,71,921
1606838187.9600,70,832
1606838188.9507,70,811
1606838190.0500,71,889
1606838190.9304,71,920
1606838191.9500,71,839
1606838192.9399,71,920
1606838194.0106,71,953
1606838194.9503,70,888
1606838195.9400,70,788
1606838196.9300,70,821
1606838197.9498,71,915
1606838199.0485,70,929
1606838199.9304,70,834
1606838200.9501,70,916
1606838201.9698,70,996
1606838202.9793,69,943
1606838204.0669,69,827
1606838204.9400,69,910
1606838205.9299,69,985
1606838206.9498,68,861
1606838207.9894,69,939
1606838208.9299,69,964
1606838209.9500,68,890
1606838210.9397,68,848
1606838211.9799,68,921
1606838213.0696,69,977
1606838213.9398,68,895
1606838214.9297,68,921
1606838215.9496,68,983
1606838216.9890,67,846
1606838217.9300,67,961
1606838218.9497,67,1025
1606838219.9695,67,957
1606838220.9596,66,829
1606838222.0586,67,878
1606838222.9397,67,978
1606838223.9296,67,884
1606838224.9494,67,936
1606838225.9597,67,1002
1606838227.0674,67,938
1606838227.9496,66,928
1606838228.9396,66,1000
1606838229.9294,65,874
1606838231.0014,66,904
1606838231.9399,66,966
1606838232.9295,66,914
1606838233.9494,66,833
1606838234.9394,66,953
1606838236.0691,67,979
1606838236.9496,66,902
1606838237.9393,66,969
1606838238.9293,66,904
1606838240.0011,66,805
1606838240.9398,67,885
1606838241.9296,67,964
1606838242.9494,67,939
1606838243.9393,67,807
1606838245.0108,68,841
1606838245.9495,69,818
1606838246.9394,69,882
1606838247.9293,70,909
1606838248.9992,69,786
1606838249.9397,70,802
1606838250.9295,71,887
1606838251.9493,71,986
1606838252.9692,70,934
1606838254.0395,70,842
1606838254.9799,70,933
1606838255.9393,69,932
1606838256.9292,69,808
1606838257.9492,69,822
1606838259.0804,70,887
1606838259.9293,70,919
1606838260.9492,70,867
1606838261.9392,70,845
1606838263.0114,70,958
1606838263.9496,69,980
1606838264.9404,68,883
1606838265.9291,68,845
1606838267.0091,68,927
1606838268.0188,68,824
1606838268.9595,69,830
1606838269.9491,69,969
1606838270.9390,69,813
1606838271.9492,69,768
1606838272.9797,70,844
1606838273.9392,71,860
1606838274.9290,72,912
1606838275.9488,71,934
1606838277.0192,71,830
1606838277.9294,71,793
1606838278.9492,71,900
1606838279.9389,71,898
1606838280.9488,70,792
1606838282.0288,71,869
1606838282.9391,71,864
1606838283.9290,71,818
1606838284.9489,71,828
1606838286.0169,72,769
1606838286.9593,72,876
1606838287.9491,73,934
1606838288.9388,72,925
1606838289.9288,71,809
1606838291.0284,72,933
1606838291.9390,71,938
1606838292.9289,71,871
1606838293.9488,70,874
1606838294.9605,70,937
1606838295.9293,70,943
1606838296.9488,70,842
1606838297.9387,70,948
1606838298.9287,69,907
1606838300.0288,69,815
1606838300.9388,69,845
1606838301.9287,70,837
1606838302.9486,70,896
1606838303.9698,70,794
1606838305.0697,70,776
1606838305.9488,71,871
1606838306.9386,72,983
1606838307.9285,70,919
1606838308.9700,71,852
1606838309.9387,71,846
1606838310.9285,71,837
1606838311.9485,71,879
1606838312.9589,71,765
1606838314.0434,72,867
1606838314.9486,72,977
1606838315.9385,72,977
1606838316.9284,71,913
1606838317.9710,70,984
1606838319.1095,70,981
1606838319.9586,69,853
1606838320.9485,69,884
1606838321.9683,69,958
1606838323.0407,68,820
1606838323.9488,69,861
1606838324.9385,69,974
1606838325.9283,69,937
1606838326.9685,68,879
1606838328.0462,68,963
1606838328.9287,68,971
1606838329.9484,68,843
1606838330.9383,68,880
1606838331.9767,68,928
1606838332.9489,68,853
1606838333.9384,68,792
1606838334.9282,69,886
1606838335.9483,69,957
1606838337.0470,69,841
