Time,HR,RR
1606838442.9506,75,752
1606838443.9338,75,799
1606838444.9232,75,862
1606838445.9431,75,835
1606838446.9330,75,751
1606838447.9524,76,837
1606838449.0590,76,868
1606838449.9328,75,784
1606838450.9228,76,787
1606838451.9427,76,876
1606838452.9927,75,790
1606838453.9233,75,788
1606838454.9431,75,826
1606838455.9329,75,799
1606838456.9282,75,762
1606838458.0630,75,818
1606838458.9629,76,830
1606838459.9227,75,761
1606838460.9427,76,815
1606838461.9825,76,820
1606838462.9234,76,817
1606838463.9428,76,832
1606838464.9327,76,778
1606838465.9227,76,783
1606838467.0323,76,854
1606838467.9933,76,775
1606838468.9527,76,770
1606838469.9426,76,811
1606838470.9325,76,880
1606838472.0707,75,892
1606838472.9430,75,886
1606838473.9624,74,771
1606838474.9225,75,805
1606838476.0234,75,887
1606838476.9330,74,889
1606838477.9225,74,781
1606838478.9425,75,688
1606838479.9325,76,706
1606838481.0333,77,773
1606838481.9426,78,761
1606838482.9326,78,893
1606838483.9224,77,827
1606838484.9936,76,789
1606838485.9328,76,858
1606838486.9226,76,747
1606838487.9424,76,723
1606838488.9323,77,797
1606838490.0027,77,810
1606838490.9424,77,761
1606838491.9323,77,823
1606838492.9223,76,842
1606838493.9595,76,766
1606838494.9327,76,808
1606838495.9224,76,834
1606838496.9422,76,864
1606838497.9322,76,791
1606838499.0043,76,820
1606838499.9425,76,770
1606838500.9626,76,834
1606838501.9521,76,821
1606838502.9421,76,769
1606838504.0438,76,847
1606838504.9223,76,889
1606838505.9421,75,813
1606838506.9320,75,872
1606838507.9982,75,824
1606838508.9424,75,794
1606838509.9321,75,827
1606838510.9220,75,784
1606838511.9419,75,804
1606838513.0099,76,762
1606838513.9221,76,701
1606838514.9421,78,735
1606838515.9319,78,727
1606838516.9502,78,729
1606838518.0512,79,776
1606838518.9319,79,843
1606838519.9219,78,776
1606838520.9430,78,835
1606838522.0520,78,876
1606838522.9221,77,887
1606838523.9421,76,869
1606838524.9319,76,906
1606838525.9737,75,899
1606838527.0513,74,798
1606838527.9323,74,842
1606838528.9219,74,899
1606838529.9419,73,837
1606838530.9523,73,884
1606838531.9223,73,905
1606838532.9420,73,858
1606838533.9619,73,787
1606838534.9518,73,861
1606838536.0237,73,807
1606838536.9321,73,740
1606838537.9219,74,785
1606838538.9417,74,906
1606838539.9501,74,889
1606838541.0621,73,772
1606838541.9420,74,795
1606838542.9317,74,852
1606838543.9217,74,770
1606838544.9615,75,787
1606838545.9321,75,864
1606838546.9218,75,806
1606838547.9418,75,735
1606838548.9527,76,718
1606838550.0630,76,666
1606838550.9421,79,685
1606838551.9317,80,763
1606838552.9217,80,744
1606838553.9606,80,809
1606838554.9320,79,884
1606838555.9217,78,802
1606838556.9416,77,789
1606838557.9317,77,836
1606838559.0588,77,782
1606838559.9417,77,748
1606838560.9316,77,792
1606838561.9216,77,876
1606838562.9710,77,880
1606838564.0708,76,847
1606838564.9217,75,890
1606838565.9414,75,812
1606838566.9615,75,745
1606838567.9706,76,829
1606838568.9418,76,822
1606838569.9616,76,756
1606838570.9214,76,808
1606838571.9413,76,849
1606838573.0804,75,789
1606838573.9216,75,846
1606838574.9415,75,856
1606838575.9312,75,766
1606838576.9706,75,815
1606838577.9416,75,836
1606838578.9314,75,820
1606838579.9212,75,853
1606838580.9412,75,896
1606838582.0121,75,812
1606838582.9214,75,794
1606838583.9413,75,849
1606838584.9313,75,788
1606838585.9710,75,777
1606838586.9415,75,846
1606838587.9313,75,779
1606838588.9212,75,843
1606838589.9422,75,894
1606838591.0087,75,775
1606838591.9213,75,798
1606838592.9413,76,755
1606838593.9312,77,667
1606838594.9210,78,693
1606838595.9415,79,844
1606838596.9312,79,791
1606838597.9211,79,823
1606838598.9410,78,892
1606838599.9808,77,775
1606838600.9514,77,816
1606838601.9412,77,798
1606838602.9310,76,745
1606838603.9209,77,799
1606838605.0224,77,833
1606838605.9312,77,790
1606838606.9210,77,850
1606838607.9409,76,891
1606838608.9519,76,800
1606838609.9212,76,834
1606838610.9409,75,820
1606838611.9308,75,792
1606838612.9207,75,845
1606838614.0498,75,862
1606838614.9309,75,824
1606838615.9207,75,901
1606838616.9406,74,867
1606838617.9306,74,787
1606838619.0598,74,858
1606838619.9409,74,792
1606838620.9607,74,774
1606838621.9206,75,817
1606838623.0004,75,803
1606838623.9310,74,772
1606838624.9207,75,784
1606838625.9406,75,845
1606838626.9512,75,895
1606838628.0287,74,849
1606838628.9710,74,801
1606838629.9306,75,736
1606838630.9204,76,766
1606838631.9404,77,733
1606838632.9608,77,735
1606838633.9507,79,715
1606838634.9405,80,670
1606838635.9304,81,705
1606838637.0293,82,795
1606838637.9409,82,786
1606838638.9306,81,815
1606838639.9204,80,767
1606838640.9405,80,793
1606838642.0403,80,782
1606838642.9207,80,736
1606838643.9406,80,770
1606838644.9304,81,818
1606838645.9723,80,825
1606838646.9406,79,785
1606838647.9306,79,809
1606838648.9204,79,754
1606838649.9404,79,758
1606838651.0422,79,847
1606838651.9208,78,819
1606838652.9406,78,860
1606838653.9303,77,866
