Time,GSR,Temp(C)
1606837196.6947,172,36.50
1606837198.3141,172,36.50
1606837199.9033,173,36.50
1606837201.4931,176,36.44
1606837203.0830,176,36.50
1606837204.7030,177,36.44
1606837206.3053,179,36.50
1606837207.9550,179,36.50
1606837209.5031,178,36.50
1606837211.0930,179,36.44
1606837212.6829,181,36.44
1606837214.3029,183,36.44
1606837215.8928,185,36.44
1606837217.4868,187,36.50
1606837219.2049,188,36.50
1606837220.6931,190,36.44
1606837222.2829,191,36.44
1606837223.9028,192,36.50
1606837225.4928,193,36.44
1606837227.0827,193,36.44
1606837228.7072,195,36.50
1606837230.4162,196,36.44
1606837231.8828,197,36.44
1606837233.4727,198,36.44
1606837235.0926,200,36.44
1606837236.6826,201,36.44
1606837238.2726,202,36.44
1606837239.9560,203,36.44
1606837241.6067,204,36.50
1606837243.0727,205,36.44
1606837244.6927,206,36.44
1606837246.2826,206,36.44
1606837247.8726,207,36.44
1606837249.4941,208,36.44
1606837251.1846,209,36.44
1606837252.6729,210,36.44
1606837254.2625,211,36.44
1606837255.8825,212,36.50
1606837257.4724,212,36.50
1606837259.0624,213,36.44
1606837260.7164,214,36.44
1606837262.3646,214,36.50
1606837263.8624,215,36.50
1606837265.4824,215,36.50
1606837267.0722,216,36.44
1606837268.6622,217,36.50
1606837270.2822,218,36.44
1606837271.9125,217,36.50
1606837273.4622,215,36.44
1606837275.0821,213,36.44
1606837276.6722,212,36.44
1606837278.2621,212,36.50
1606837279.8521,211,36.44
1606837281.4737,212,36.44
1606837283.1535,213,36.44
1606837284.6524,214,36.44
1606837286.2722,215,36.44
1606837287.8621,216,36.50
1606837289.4521,217,36.50
1606837291.0720,218,36.50
1606837292.6961,218,36.50
1606837294.3750,219,36.44
1606837295.8721,220,36.50
1606837297.4620,221,36.50
1606837299.0520,222,36.44
1606837300.6719,223,36.50
1606837302.2619,224,36.44
1606837303.9146,224,36.50
1606837305.5645,225,36.44
1606837307.0619,226,36.50
1606837308.6520,227,36.44
1606837310.2419,228,36.50
1606837311.8617,229,36.50
1606837313.4534,230,36.50
1606837315.1330,231,36.50
1606837316.6619,232,36.44
1606837318.2518,233,36.50
1606837319.8417,234,36.44
1606837321.4616,235,36.50
1606837323.0516,236,36.50
1606837324.6762,237,36.44
1606837326.3336,237,36.50
1606837327.8517,238,36.50
1606837329.4416,239,36.50
1606837331.0615,239,36.50
1606837332.6515,240,36.50
1606837334.2414,241,36.50
1606837335.8635,243,36.50
1606837337.4517,243,36.50
1606837339.0415,244,36.50
1606837340.6315,245,36.50
1606837342.2514,246,36.44
1606837343.8413,247,36.50
1606837345.4333,248,36.50
1606837347.1127,249,36.44
1606837348.6415,250,36.50
1606837350.2313,250,36.50
1606837351.8514,251,36.50
1606837353.4413,252,36.44
1606837355.0312,253,36.50
1606837356.6513,254,36.50
1606837358.3350,255,36.50
1606837359.8313,255,36.50
1606837361.4212,256,36.50
1606837363.0411,256,36.50
1606837364.6311,257,36.50
1606837366.2213,258,36.50
1606837367.8781,258,36.44
1606837369.5554,258,36.50
1606837371.0213,259,36.50
1606837372.6411,260,36.50
1606837374.2310,260,36.50
1606837375.8209,261,36.50
1606837377.4409,262,36.50
1606837379.0993,263,36.44
1606837380.6211,264,36.50
1606837382.2409,265,36.50
1606837383.8309,265,36.50
1606837385.4209,266,36.50
1606837387.0109,267,36.50
1606837388.6351,268,36.50
1606837390.2846,268,36.50
1606837391.8110,269,36.50
1606837393.4307,269,36.50
1606837395.0207,270,36.50
1606837396.6107,271,36.50
1606837398.2306,271,36.50
1606837399.8229,272,36.50
1606837401.5340,273,36.50
1606837403.0307,273,36.50
1606837404.6207,274,36.50
1606837406.2106,275,36.50
1606837407.8305,276,36.50
1606837409.4205,276,36.50
1606837411.1060,278,36.50
1606837412.6006,279,36.50
1606837414.2206,279,36.50
1606837415.8105,280,36.50
1606837417.4005,280,36.50
1606837419.0204,280,36.50
1606837420.6104,281,36.50
1606837422.2929,282,36.50
1606837423.9511,282,36.50
1606837425.4105,282,36.50
1606837427.0003,283,36.50
1606837428.6203,283,36.50
1606837430.2102,284,36.50
1606837431.8327,284,36.50
1606837433.5421,285,36.50
1606837435.0105,285,36.50
1606837436.6002,286,36.50
1606837438.2201,287,36.50
1606837439.8101,288,36.50
1606837441.4044,289,36.50
1606837443.0558,289,36.50
1606837444.6104,289,36.50
1606837446.2002,290,36.50
1606837447.7900,291,36.50
1606837449.4100,291,36.50
1606837451.0000,292,36.50
1606837452.5964,289,36.50