Time,GSR,Temp(C)
1606912807.1836,113,34.13
1606912808.7734,112,34.13
1606912810.3922,107,34.13
1606912812.0497,104,34.13
1606912813.5723,104,34.13
1606912815.1924,106,34.06
1606912816.7822,109,34.13
1606912818.3722,111,34.13
1606912819.9622,111,34.06
1606912821.5862,112,34.06
1606912823.3000,111,34.06
1606912824.7623,107,34.06
1606912826.3822,107,34.06
1606912827.9722,108,34.06
1606912829.5621,111,34.06
1606912831.1821,112,34.06
1606912832.8397,109,34.06
1606912834.4914,102,34.06
1606912835.9821,96,34.06
1606912837.5721,95,34.06
1606912839.1620,98,34.06
1606912840.7520,102,34.06
1606912842.3719,103,34.06
1606912844.0209,104,34.06
1606912845.5523,105,34.00
1606912847.1720,107,34.00
1606912848.7921,109,34.06
1606912850.3819,110,34.06
1606912852.0019,107,34.00
1606912853.5918,105,34.00
1606912855.2402,106,34.00
1606912856.7721,107,34.00
1606912858.3619,108,34.00
1606912859.9518,108,34.00
1606912861.5418,105,34.00
1606912863.1618,97,34.00
1606912864.7819,95,34.00
1606912866.3420,96,34.00
1606912867.9619,98,34.00
1606912869.5518,97,33.94
1606912871.1417,99,34.00
1606912872.7318,101,34.00
1606912874.3517,104,33.94
1606912876.0007,106,33.94
1606912877.5317,105,33.94
1606912879.1516,102,33.94
1606912880.7417,99,33.94
1606912882.3616,93,33.94
1606912883.9515,92,33.94
1606912885.5415,93,33.94
1606912887.2588,93,33.94
1606912888.7216,93,33.94
1606912890.3414,91,33.94
1606912891.9315,93,33.94
1606912893.5214,94,33.94
1606912895.1114,86,33.94
1606912896.7888,82,33.94
1606912898.4386,83,33.94
1606912899.9116,86,33.94
1606912901.5315,90,33.94
1606912903.1214,94,33.94
1606912904.7115,97,33.94
1606912906.3013,99,33.94
1606912908.0083,96,33.94
1606912909.5116,96,33.94
1606912911.1321,98,33.88
1606912912.7213,95,33.94
1606912914.3113,91,33.94
1606912915.9013,90,33.94
1606912917.5497,92,33.88
1606912919.1998,95,33.88
1606912920.7014,97,33.94
1606912922.2913,99,33.94
1606912923.9113,101,33.88
1606912925.5012,103,33.94
1606912927.1211,105,33.94
1606912928.7582,106,33.94
1606912930.3013,107,33.94
1606912931.8914,102,33.94
1606912933.4812,101,33.88
1606912935.1011,101,33.94
1606912936.6910,100,33.88
1606912938.2880,100,33.94
1606912939.9686,101,33.88
1606912941.4913,103,33.94
1606912943.0812,105,33.88
1606912944.7011,107,33.88
1606912946.2909,106,33.94
1606912947.8810,106,33.88
1606912949.5010,107,33.88
1606912951.0912,108,33.88
1606912952.6811,108,33.88
1606912954.3009,110,33.88
1606912955.8909,111,33.88
1606912957.5109,112,33.88
1606912959.0708,113,33.88
1606912960.7500,111,33.88
1606912962.3996,103,33.88
1606912963.8712,101,33.88
1606912965.4908,102,33.88
1606912967.0808,103,33.88
1606912968.6707,105,33.88
1606912970.2906,108,33.88
1606912971.9699,109,33.88
1606912973.4708,110,33.88
1606912975.1209,111,33.88
1606912976.6807,112,33.88
1606912978.2707,112,33.88
1606912979.8606,112,33.88
1606912981.5077,113,33.88
1606912983.1567,115,33.88
1606912984.6608,115,33.88
1606912986.2807,116,33.88
1606912987.8706,116,33.88
1606912989.4605,91,33.88
1606912991.0805,77,33.81
1606912992.6992,72,33.88