Time,ECG
1606911504.2544,7072
1606911504.2571,8054
1606911504.2598,8862
1606911504.2624,9325
1606911504.2646,9801
1606911504.2667,10254
1606911504.2689,10563
1606911504.2710,10831
1606911504.2724,11082
1606911504.2741,11263
1606911504.2761,11403
1606911504.2782,11562
1606911504.2802,11712
1606911504.2823,11806
1606911504.2845,11895
1606911504.2867,11999
1606911504.2888,12054
1606911504.2908,12098
1606911504.2925,12175
1606911504.2941,12231
1606911504.2961,12262
1606911504.2982,12291
1606911504.3001,12305
1606911504.3021,12330
1606911504.3041,12351
1606911504.3061,12342
1606911504.3081,12334
1606911504.3101,12349
1606911504.3120,12330
1606911504.3140,12286
1606911504.3160,12269
1606911504.3181,12264
1606911504.3200,12238
1606911504.3220,12197
1606911504.3240,12158
1606911504.3260,12132
1606911504.3280,12103
1606911504.3300,12057
1606911504.3320,12016
1606911504.3341,11972
1606911504.3360,11927
1606911504.3380,11881
1606911504.3401,11808
1606911504.3420,11738
1606911504.3440,11680
1606911504.3461,11618
1606911504.3480,11569
1606911504.3501,11524
1606911504.3521,11434
1606911504.3540,11355
1606911504.3564,11309
1606911504.3581,11241
1606911504.3601,11147
1606911504.3620,11077
1606911504.3640,11022
1606911504.3660,10959
1606911504.3680,10896
1606911504.3700,10834
1606911504.3720,10766
1606911504.3740,10703
1606911504.3760,10607
1606911504.3780,10488
1606911504.3800,10414
1606911504.3820,10358
1606911504.3840,10276
1606911504.3860,10197
1606911504.3880,10129
1606911504.3900,10049
1606911504.3920,9960
1606911504.3941,9880
1606911504.3960,9806
1606911504.3980,9709
1606911504.4000,9584
1606911504.7924,9552
1606911504.7933,9830
1606911504.7958,10365
1606911504.7984,10636
1606911504.8005,10153
1606911504.8024,9239
1606911504.8046,8775
1606911504.8064,8867
1606911504.8084,8845
1606911504.8104,8676
1606911504.8124,8645
1606911504.8143,8590
1606911504.8164,8481
1606911504.8184,8437
1606911504.8204,8370
1606911504.8224,8259
1606911504.8244,8194
1606911504.8264,8146
1606911504.8284,8063
1606911504.8304,7996
1606911504.8323,7938
1606911504.8343,7863
1606911504.8363,7781
1606911504.8383,7711
1606911504.8405,7656
1606911504.8423,7600
1606911504.8443,7540
1606911504.8463,7472
1606911504.8485,7419
1606911504.8504,7373
1606911504.8524,7296
1606911504.8544,7200
1606911504.8563,7115
1606911504.8584,7050
1606911504.8661,6973
1606911504.8684,6864
1606911504.8704,6758
1606911504.8724,6664
1606911504.8744,6555
1606911504.8764,6459
1606911504.8771,6394
1606911504.8778,6319
1606911504.8794,6232
1606911504.8814,6177
1606911504.8833,6121
1606911504.8853,6041
1606911504.8873,5971
1606911504.8893,5923
1606911504.8914,5873
1606911504.8933,5815
1606911504.8953,5747
1606911504.8973,5680
1606911504.8993,5617
1606911504.9013,5547
1606911504.9033,5486
1606911504.9054,5441
1606911504.9073,5380
1606911504.9093,5313
1606911504.9113,5240
1606911504.9133,5175
1606911504.9153,5127
1606911504.9173,5074
1606911504.9193,5009
1606911504.9213,4951
1606911504.9233,4900
1606911504.9253,4847
1606911504.9273,4794
1606911504.9293,4736
1606911504.9313,4669
1606911504.9333,4615
1606911504.9353,4565
1606911504.9373,4509
1606911504.9393,4454
1606911505.3916,4398
1606911505.3925,4338
1606911505.3942,4290
1606911505.3962,4244
1606911505.3982,4181
1606911505.4005,4126
1606911505.4025,4097
1606911505.4043,4060
1606911505.4062,4000
1606911505.4082,3964
1606911505.4102,3940
1606911505.4121,3882
1606911505.4142,3817
1606911505.4162,3756
1606911505.4182,3701
1606911505.4202,3657
1606911505.4222,3621
1606911505.4242,3578
1606911505.4261,3539
1606911505.4281,3489
1606911505.4302,3431
1606911505.4321,3399
1606911505.4341,3370
1606911505.4361,3305
1606911505.4381,3218
1606911505.4401,3283
1606911505.4421,3715
1606911505.4441,4323
1606911505.4461,4430
1606911505.4481,3694
1606911505.4501,2832
1606911505.4521,2687
1606911505.4541,2905
1606911505.4561,2837
1606911505.4581,2719
1606911505.4601,2757
1606911505.4621,2748
1606911505.4641,2690
1606911505.4661,2685
1606911505.4681,2680
1606911505.4701,2637
1606911505.4721,2591
1606911505.4741,2577
1606911505.4761,2560
1606911505.4781,2526
1606911505.4801,2504
1606911505.4822,2494
1606911505.4841,2463
1606911505.4861,2427
1606911505.4881,2422
1606911505.4901,2417
1606911505.4921,2398
1606911505.4941,2383
1606911505.4961,2376
1606911505.4981,2355
1606911505.5001,2318
1606911505.5021,2289
1606911505.5043,2253
1606911505.5062,2207
1606911505.5081,2166
1606911505.5101,2130
1606911505.5121,2075
1606911505.5142,2005
1606911505.5161,1952
1606911505.5181,1927
1606911505.5201,1901
1606911505.5221,1872
1606911505.5241,1855
1606911505.5261,1836
