,hr,rr
1606914075.2388,4.246710526315795,114.6973684210526
1606914076.2586,3.2467105263157947,126.6973684210526
1606914077.2486,1.2467105263157947,97.6973684210526
1606914078.3292,-0.7532894736842053,70.6973684210526
1606914079.2589,-0.7532894736842053,4.697368421052602
1606914080.2487,-0.7532894736842053,-74.3026315789474
1606914081.2384,-0.7532894736842053,-67.3026315789474
1606914082.2585,0.2467105263157947,-69.3026315789474
1606914083.3685,0.2467105263157947,18.6973684210526
1606914084.2386,0.2467105263157947,13.697368421052602
1606914085.2586,0.2467105263157947,106.6973684210526
1606914086.2484,-0.7532894736842053,118.6973684210526
1606914087.2659,-1.7532894736842053,94.6973684210526
1606914088.2589,-2.7532894736842053,21.6973684210526
1606914089.2488,-2.7532894736842053,61.6973684210526
1606914090.2385,-2.7532894736842053,56.6973684210526
1606914091.2884,-3.7532894736842053,-86.3026315789474
1606914092.3336,-2.7532894736842053,-90.3026315789474
1606914093.2385,-1.7532894736842053,-117.3026315789474
1606914094.2585,0.2467105263157947,-62.3026315789474
1606914095.2483,0.2467105263157947,135.6973684210526
1606914096.2683,-0.7532894736842053,111.6973684210526
1606914097.3776,-0.7532894736842053,104.6973684210526
1606914098.2485,-1.7532894736842053,98.6973684210526
1606914099.2382,-2.7532894736842053,150.6973684210526
1606914100.2582,-3.7532894736842053,92.6973684210526
1606914101.3078,-3.7532894736842053,115.6973684210526
1606914102.2384,-4.753289473684205,101.6973684210526
1606914103.2583,-4.753289473684205,86.6973684210526
1606914104.2482,-5.753289473684205,97.6973684210526
1606914105.2582,-5.753289473684205,39.6973684210526
1606914106.3696,-5.753289473684205,82.6973684210526
1606914107.2484,-5.753289473684205,79.6973684210526
1606914108.2383,-5.753289473684205,39.6973684210526
1606914109.2582,-5.753289473684205,70.6973684210526
1606914110.2683,-5.753289473684205,60.6973684210526
1606914111.3811,-5.753289473684205,2.6973684210526017
1606914112.2582,-3.7532894736842053,-146.3026315789474
1606914113.2482,5.246710526315795,-206.3026315789474
1606914114.2381,11.246710526315795,-216.3026315789474
1606914115.3391,12.246710526315795,-216.3026315789474
1606914116.2783,14.246710526315795,-124.3026315789474
1606914117.2382,15.246710526315795,164.6973684210526
1606914118.2581,10.246710526315795,231.6973684210526
1606914119.2723,3.2467105263157947,135.6973684210526
1606914120.3792,-0.7532894736842053,147.6973684210526
1606914121.2609,-2.7532894736842053,88.6973684210526
1606914122.2515,-2.7532894736842053,16.6973684210526
1606914123.2421,-2.7532894736842053,-42.3026315789474
1606914124.3147,-2.7532894736842053,-72.3026315789474
1606914125.2835,-1.7532894736842053,-42.3026315789474
1606914126.2439,-0.7532894736842053,-6.302631578947398
1606914127.2646,-0.7532894736842053,119.6973684210526
1606914128.2548,-2.7532894736842053,194.6973684210526
1606914129.3875,-3.7532894736842053,86.6973684210526
1606914130.2663,-3.7532894736842053,99.6973684210526
1606914131.2562,-4.753289473684205,120.6973684210526
1606914132.2465,-4.753289473684205,117.6973684210526
1606914133.2879,-5.753289473684205,119.6973684210526
1606914134.2574,-5.753289473684205,98.6973684210526
1606914135.2476,-5.753289473684205,59.6973684210526
1606914136.2678,-5.753289473684205,60.6973684210526
1606914137.2581,-5.753289473684205,7.697368421052602
1606914138.3299,-5.753289473684205,-87.3026315789474
1606914139.2688,-3.7532894736842053,-91.3026315789474
1606914140.2588,-2.7532894736842053,-113.3026315789474
1606914141.249,0.2467105263157947,-95.3026315789474
1606914142.2991,1.2467105263157947,-124.3026315789474
1606914143.2595,2.2467105263157947,-94.3026315789474
1606914144.2495,3.2467105263157947,-36.3026315789474
1606914145.2696,3.2467105263157947,-18.3026315789474
1606914146.2597,3.2467105263157947,-40.3026315789474
1606914147.3293,3.2467105263157947,-4.302631578947398
1606914148.2703,2.2467105263157947,-35.3026315789474
1606914149.2601,3.2467105263157947,-93.3026315789474
1606914150.2502,3.2467105263157947,-68.3026315789474
1606914151.2896,4.246710526315795,-14.302631578947398
1606914152.4056,4.246710526315795,28.6973684210526
1606914153.2507,3.2467105263157947,-18.3026315789474
1606914154.2706,2.2467105263157947,-4.302631578947398
1606914155.2607,2.2467105263157947,-32.3026315789474
1606914156.3004,2.2467105263157947,-30.3026315789474
1606914157.3011,2.2467105263157947,-24.3026315789474
1606914158.2913,2.2467105263157947,13.697368421052602
1606914159.2509,2.2467105263157947,-10.302631578947398
1606914160.2711,1.2467105263157947,34.6973684210526
1606914161.3421,1.2467105263157947,-83.3026315789474
1606914162.2513,2.2467105263157947,-120.3026315789474
1606914163.2712,3.2467105263157947,-193.3026315789474
1606914164.2612,9.246710526315795,-207.3026315789474
1606914165.2723,12.246710526315795,-223.3026315789474
1606914166.3016,14.246710526315795,-187.3026315789474
1606914167.2615,16.246710526315795,-184.3026315789474
1606914168.2514,16.246710526315795,-147.3026315789474
1606914169.2713,16.246710526315795,-159.3026315789474
1606914170.3433,16.246710526315795,-161.3026315789474
1606914171.252,16.246710526315795,-43.3026315789474
1606914172.2716,15.246710526315795,34.6973684210526
1606914173.2613,9.246710526315795,45.6973684210526
1606914174.2514,7.246710526315795,50.6973684210526
1606914175.3531,6.246710526315795,-59.3026315789474
1606914176.2617,6.246710526315795,-124.3026315789474
1606914177.2516,6.246710526315795,-124.3026315789474
1606914178.2715,7.246710526315795,-90.3026315789474
1606914179.3514,7.246710526315795,-33.3026315789474
1606914180.2516,7.246710526315795,40.6973684210526
1606914181.2716,6.246710526315795,58.6973684210526
