,ecg
1606912196.9301,4205.0
1606912196.9328,6119.0
1606912196.9355,6990.0
1606912196.9381,7950.0
1606912196.9399,8862.0
1606912196.9419,9391.0
1606912196.944,9897.0
1606912196.9459,10428.0
1606912196.9479,10790.0
1606912196.9501,11087.0
1606912196.9523,11393.0
1606912196.9545,11635.0
1606912196.9567,11818.0
1606912196.9588,12001.0
1606912196.96,12173.0
1606912196.9619,12279.0
1606912196.9639,12325.0
1606912196.9659,12474.0
1606912196.968,12954.0
1606912196.9699,13690.0
1606912196.9719,14115.0
1606912196.9739,13736.0
1606912196.9759,12899.0
1606912196.978,12515.0
1606912196.9799,12725.0
1606912196.9818,12822.0
1606912196.9839,12728.0
1606912196.9859,12766.0
1606912196.9878,12817.0
1606912196.9898,12793.0
1606912196.9918,12800.0
1606912196.9938,12819.0
1606912196.9958,12805.0
1606912196.9978,12788.0
1606912196.9998,12771.0
1606912197.0018,12745.0
1606912197.0038,12718.0
1606912197.0058,12696.0
1606912197.0078,12670.0
1606912197.0098,12624.0
1606912197.0118,12583.0
1606912197.0138,12561.0
1606912197.0158,12549.0
1606912197.0178,12520.0
1606912197.0198,12469.0
1606912197.0218,12424.0
1606912197.0238,12387.0
1606912197.0258,12337.0
1606912197.0278,12267.0
1606912197.0297,12197.0
1606912197.0319,12124.0
1606912197.0338,12028.0
1606912197.0357,11922.0
1606912197.0377,11835.0
1606912197.0397,11763.0
1606912197.0417,11673.0
1606912197.0437,11577.0
1606912197.0457,11497.0
1606912197.0477,11422.0
1606912197.0497,11343.0
1606912197.0517,11270.0
1606912197.0537,11200.0
1606912197.0557,11125.0
1606912197.0577,11041.0
1606912197.0597,10966.0
1606912197.0617,10899.0
1606912197.0637,10821.0
1606912197.0657,10737.0
1606912197.0677,10669.0
1606912197.0697,10602.0
1606912197.0717,10508.0
1606912197.0737,10419.0
1606912197.0757,10353.0
1606912197.4988,10283.0
1606912197.4999,10197.0
1606912197.5024,10110.0
1606912197.505,10030.0
1606912197.507,9950.0
1606912197.509,9864.0
1606912197.5111,9781.0
1606912197.513,9724.0
1606912197.515,9656.0
1606912197.517,9533.0
1606912197.5191,9424.0
1606912197.521,9364.0
1606912197.523,9282.0
1606912197.525,9198.0
1606912197.527,9137.0
1606912197.529,9062.0
1606912197.5309,8980.0
1606912197.5329,8918.0
1606912197.5349,8848.0
1606912197.5369,8756.0
1606912197.539,8650.0
1606912197.5409,8556.0
1606912197.5429,8488.0
1606912197.5449,8416.0
1606912197.5469,8331.0
1606912197.549,8254.0
1606912197.5509,8184.0
1606912197.5529,8102.0
1606912197.5551,8022.0
1606912197.5569,7948.0
1606912197.5589,7861.0
1606912197.5609,7743.0
1606912197.5629,7682.0
1606912197.5649,7911.0
1606912197.5669,8454.0
1606912197.5689,8811.0
1606912197.5709,8442.0
1606912197.5729,7528.0
1606912197.5749,6954.0
1606912197.5769,7040.0
1606912197.579,7084.0
1606912197.5809,6891.0
1606912197.5829,6840.0
1606912197.5849,6850.0
1606912197.5869,6758.0
1606912197.5889,6681.0
1606912197.5909,6647.0
1606912197.5929,6575.0
1606912197.5949,6502.0
1606912197.5969,6459.0
1606912197.5989,6401.0
1606912197.6009,6329.0
1606912197.6029,6268.0
1606912197.6049,6213.0
1606912197.6069,6157.0
1606912197.6089,6104.0
1606912197.6109,6046.0
1606912197.6129,5991.0
1606912197.6149,5950.0
1606912197.6169,5909.0
1606912197.6189,5860.0
1606912197.6209,5810.0
1606912197.6229,5752.0
1606912197.6249,5682.0
1606912197.6269,5607.0
1606912197.6289,5537.0
1606912197.6309,5465.0
1606912197.6329,5383.0
1606912197.6349,5296.0
1606912197.6369,5211.0
1606912197.6389,5139.0
1606912197.6409,5071.0
1606912197.6429,5014.0
1606912198.0383,4965.0
1606912198.039,4907.0
1606912198.0414,4845.0
1606912198.0441,4789.0
1606912198.0461,4746.0
1606912198.048,4695.0
1606912198.0503,4642.0
1606912198.0522,4594.0
1606912198.054,4555.0
1606912198.0561,4509.0
1606912198.0581,4444.0
1606912198.06,4384.0
1606912198.0621,4350.0
1606912198.0641,4302.0
1606912198.0661,4237.0
1606912198.068,4191.0
1606912198.07,4152.0
1606912198.0721,4104.0
1606912198.0741,4056.0
1606912198.076,4012.0
1606912198.0781,3971.0
1606912198.0801,3925.0
1606912198.0821,3879.0
1606912198.0842,3838.0
1606912198.0861,3800.0
1606912198.0881,3754.0
1606912198.0901,3701.0
1606912198.0921,3657.0
1606912198.094,3621.0
1606912198.096,3583.0
1606912198.0981,3549.0
1606912198.1,3522.0
1606912198.102,3496.0
1606912198.104,3467.0
1606912198.106,3433.0
1606912198.108,3380.0
1606912198.11,3322.0
1606912198.112,3279.0
1606912198.114,3247.0
1606912198.116,3209.0
1606912198.118,3168.0
1606912198.12,3134.0
1606912198.122,3105.0
1606912198.124,3071.0
1606912198.126,3035.0
1606912198.128,2999.0
1606912198.1301,2953.0
1606912198.132,2883.0
1606912198.134,2888.0
1606912198.136,3199.0
1606912198.138,3793.0
1606912198.1401,4118.0
1606912198.142,3653.0
1606912198.144,2774.0
1606912198.146,2393.0
1606912198.1481,2560.0
1606912198.15,2591.0
1606912198.1522,2461.0
1606912198.1541,2473.0
1606912198.156,2494.0
1606912198.1581,2441.0
1606912198.16,2422.0
1606912198.162,2427.0
1606912198.164,2400.0
1606912198.166,2374.0
1606912198.1681,2362.0
1606912198.17,2347.0
1606912198.172,2321.0
1606912198.174,2299.0
1606912198.176,2282.0
1606912198.1781,2263.0
1606912198.18,2251.0
1606912198.182,2239.0
1606912198.6089,2231.0
1606912198.6101,2227.0
1606912198.6125,2219.0
1606912198.6151,2202.0
1606912198.6171,2188.0
1606912198.6192,2181.0
1606912198.6212,2171.0
1606912198.6231,2140.0
1606912198.6252,2094.0
1606912198.6271,2050.0
1606912198.6291,1983.0
1606912198.6311,1911.0
1606912198.6387,1884.0
1606912198.6403,1865.0
1606912198.6421,1821.0
1606912198.6441,1795.0
1606912198.6461,1778.0
1606912198.6481,1754.0
1606912198.65,1732.0
1606912198.652,1715.0
1606912198.654,1705.0
1606912198.656,1691.0
1606912198.6582,1672.0
1606912198.6601,1652.0
1606912198.662,1643.0
1606912198.664,1626.0
1606912198.666,1607.0
1606912198.6681,1590.0
1606912198.67,1578.0
1606912198.6721,1558.0
1606912198.6744,1537.0
1606912198.6761,1527.0
1606912198.6781,1515.0
1606912198.68,1498.0
1606912198.682,1481.0
1606912198.6842,1464.0
1606912198.6861,1447.0
1606912198.6881,1428.0
1606912198.6902,1409.0
1606912198.6921,1392.0
1606912198.694,1377.0
1606912198.696,1358.0
1606912198.6981,1339.0
1606912198.7,1319.0
1606912198.702,1305.0
1606912198.704,1290.0
1606912198.706,1274.0
1606912198.7082,1257.0
1606912198.7101,1245.0
1606912198.712,1223.0
1606912198.714,1208.0
1606912198.716,1206.0
1606912198.7181,1194.0
1606912198.72,1175.0
1606912198.722,1167.0
1606912198.7243,1170.0
1606912198.7261,1167.0
1606912198.7281,1158.0
1606912198.7301,1155.0
1606912198.732,1141.0
1606912198.734,1105.0
1606912198.736,1071.0
1606912198.7381,1064.0
1606912198.74,1064.0
1606912198.7421,1052.0
1606912198.744,1035.0
1606912198.746,1025.0
1606912198.7481,1015.0
1606912198.75,1006.0
1606912198.752,994.0
1606912198.754,979.0
1606912198.756,941.0
1606912198.7582,919.0
1606912199.149,1122.0
1606912199.15,1674.0
1606912199.1524,2149.0
1606912199.1551,1920.0
1606912199.157,1114.0
1606912199.159,608.0
1606912199.161,716.0
1606912199.163,834.0
1606912199.165,740.0
1606912199.167,731.0
1606912199.169,781.0
1606912199.1709,767.0
1606912199.173,755.0
1606912199.1751,776.0
1606912199.177,776.0
1606912199.179,764.0
1606912199.1809,767.0
1606912199.1829,767.0
1606912199.1849,762.0
1606912199.1869,762.0
1606912199.189,764.0
1606912199.1909,764.0
1606912199.1929,769.0
1606912199.1949,776.0
1606912199.197,784.0
1606912199.1989,791.0
1606912199.2009,803.0
1606912199.2029,810.0
1606912199.2049,810.0
1606912199.2069,808.0
1606912199.209,796.0
1606912199.2109,779.0
1606912199.2129,767.0
1606912199.2149,750.0
1606912199.2169,726.0
1606912199.2189,694.0
1606912199.221,665.0
1606912199.2229,644.0
1606912199.2249,627.0
1606912199.2269,610.0
