,ecg
1606923411.2225,358.0
1606923411.2252,1581.0
1606923411.2278,3074.0
1606923411.2304,3938.0
1606923411.2322,4517.0
1606923411.2342,5227.0
1606923411.2364,5792.0
1606923411.2382,6196.0
1606923411.2402,6625.0
1606923411.2422,7007.0
1606923411.2442,7311.0
1606923411.2462,7603.0
1606923411.2482,7885.0
1606923411.2502,8120.0
1606923411.2522,8335.0
1606923411.2542,8543.0
1606923411.2562,8728.0
1606923411.2582,8890.0
1606923411.2602,9048.0
1606923411.2622,9199.0
1606923411.2642,9335.0
1606923411.2663,9455.0
1606923411.2682,9565.0
1606923411.2703,9675.0
1606923411.2722,9776.0
1606923411.2742,9859.0
1606923411.2762,9945.0
1606923411.2782,10027.0
1606923411.2802,10091.0
1606923411.2821,10149.0
1606923411.2841,10206.0
1606923411.2862,10264.0
1606923411.2881,10314.0
1606923411.2901,10355.0
1606923411.2921,10398.0
1606923411.2941,10424.0
1606923411.2961,10431.0
1606923411.2981,10453.0
1606923411.3001,10489.0
1606923411.3023,10498.0
1606923411.3041,10489.0
1606923411.3061,10489.0
1606923411.3081,10496.0
1606923411.3101,10496.0
1606923411.3122,10489.0
1606923411.3141,10472.0
1606923411.3161,10455.0
1606923411.3182,10448.0
1606923411.3202,10436.0
1606923411.3222,10405.0
1606923411.3244,10376.0
1606923411.3261,10345.0
1606923411.3281,10302.0
1606923411.3301,10276.0
1606923411.3321,10271.0
1606923411.3341,10261.0
1606923411.3361,10245.0
1606923411.3381,10216.0
1606923411.3401,10166.0
1606923411.3421,10084.0
1606923411.3441,9996.0
1606923411.346,9931.0
1606923411.3481,9890.0
1606923411.35,9845.0
1606923411.3521,9783.0
1606923411.354,9725.0
1606923411.356,9677.0
1606923411.358,9634.0
1606923411.36,9596.0
1606923411.3621,9637.0
1606923411.364,9986.0
1606923411.366,10613.0
1606923411.3681,10881.0
1606923411.7601,10082.0
1606923411.7613,8508.0
1606923411.7637,7806.0
1606923411.7663,8522.0
1606923411.7683,9060.0
1606923411.7704,8852.0
1606923411.7723,8785.0
1606923411.7743,8886.0
1606923411.7763,8785.0
1606923411.7783,8689.0
1606923411.7804,8677.0
1606923411.7824,8589.0
1606923411.7843,8505.0
1606923411.7863,8481.0
1606923411.7883,8419.0
1606923411.7903,8338.0
1606923411.7924,8297.0
1606923411.7943,8259.0
1606923411.7964,8199.0
1606923411.7984,8151.0
1606923411.8003,8113.0
1606923411.8024,8070.0
1606923411.8043,8027.0
1606923411.8063,7993.0
1606923411.8083,7964.0
1606923411.8103,7933.0
1606923411.8123,7893.0
1606923411.8144,7847.0
1606923411.8166,7787.0
1606923411.8183,7704.0
1606923411.8203,7606.0
1606923411.8223,7495.0
1606923411.8242,7369.0
1606923411.8262,7216.0
1606923411.8282,7036.0
1606923411.8302,6857.0
1606923411.8323,6699.0
1606923411.8343,6555.0
1606923411.8362,6426.0
1606923411.8382,6325.0
1606923411.8402,6247.0
1606923411.8422,6172.0
1606923411.8442,6110.0
1606923411.8462,6058.0
1606923411.8483,6007.0
1606923411.8503,5950.0
1606923411.8523,5895.0
1606923411.8542,5845.0
1606923411.8562,5790.0
1606923411.8582,5730.0
1606923411.8602,5675.0
1606923411.8623,5624.0
1606923411.8643,5567.0
1606923411.8663,5500.0
1606923411.8682,5445.0
1606923411.8703,5397.0
1606923411.8723,5335.0
1606923411.8742,5268.0
1606923411.8762,5211.0
1606923411.8782,5158.0
1606923411.8803,5103.0
1606923411.8823,5045.0
1606923411.8843,4981.0
1606923411.8862,4916.0
1606923411.8882,4868.0
1606923411.8902,4818.0
1606923411.8922,4763.0
1606923411.8942,4715.0
1606923411.8962,4665.0
1606923411.8982,4608.0
1606923411.9003,4555.0
1606923411.9023,4507.0
1606923411.9043,4459.0
1606923412.3302,4411.0
1606923412.3311,4364.0
1606923412.3336,4313.0
1606923412.3364,4263.0
1606923412.3383,4220.0
1606923412.3402,4179.0
1606923412.3428,4139.0
1606923412.3443,4088.0
1606923412.3463,4029.0
1606923412.3483,3978.0
1606923412.3502,3938.0
1606923412.3523,3892.0
1606923412.3542,3844.0
1606923412.3562,3806.0
1606923412.3582,3768.0
1606923412.3602,3727.0
1606923412.3623,3684.0
1606923412.3642,3641.0
1606923412.3662,3598.0
1606923412.3682,3560.0
1606923412.3702,3521.0
1606923412.3722,3471.0
1606923412.3742,3428.0
1606923412.3762,3397.0
1606923412.3782,3356.0
1606923412.3802,3313.0
1606923412.3822,3277.0
1606923412.3842,3241.0
1606923412.3862,3201.0
1606923412.3881,3158.0
1606923412.3902,3122.0
1606923412.3922,3093.0
1606923412.3941,3074.0
1606923412.3962,3060.0
1606923412.3981,3048.0
1606923412.4001,3031.0
1606923412.4021,3000.0
1606923412.4041,2945.0
1606923412.4061,2873.0
