Time,GSR,Temp(C)
1606921693.5501,42,35.81
1606921695.1705,44,35.81
1606921696.8267,28,35.81
1606921698.3495,26,35.81
1606921699.9394,32,35.81
1606921701.5593,36,35.75
1606921703.1492,39,35.75
1606921704.7392,32,35.75
1606921706.3645,24,35.75
1606921708.0416,14,35.69
1606921709.5393,22,35.69
1606921711.1292,25,35.69
1606921712.7491,27,35.63
1606921714.3390,31,35.63
1606921715.9383,35,35.63
1606921717.6195,37,35.63
1606921719.1393,38,35.63
1606921720.7291,41,35.56
1606921722.3191,44,35.56
1606921723.9389,45,35.56
1606921725.5290,47,35.56
1606921727.1189,48,35.50
1606921728.7970,50,35.50
1606921730.3291,52,35.50
1606921731.9189,50,35.44
1606921733.5088,49,35.44
1606921735.0988,52,35.44
1606921736.7187,55,35.38
1606921738.3381,56,35.44
1606921739.8989,57,35.38
1606921741.5188,56,35.31
1606921743.1088,59,35.38
1606921744.6987,58,35.31
1606921746.2887,59,35.31
1606921747.9156,61,35.31
1606921749.5871,62,35.31
1606921751.0887,58,35.25
1606921753.3243,61,35.25
1606921754.7131,51,35.25
1606921758.8383,51,35.19
1606921758.8526,56,35.19
1606921761.6852,53,35.19
1606921761.6906,57,35.19
1606921763.7896,57,35.19
1606921764.2990,60,35.13
1606921765.4898,57,35.13
1606921767.0796,60,35.13
1606921768.7064,62,35.13
1606921770.3771,63,35.06
1606921772.0437,62,35.06
1606921773.4694,63,35.06
1606921775.0604,63,35.06
1606921776.6797,65,35.00
1606921778.2695,67,35.00
1606921779.9504,69,35.00
1606921781.5944,70,35.00
1606921783.0692,72,35.00
1606921784.6593,66,34.94
1606921786.2494,67,34.94
1606921787.8692,70,34.94
1606921789.4602,75,34.88
1606921791.2078,67,34.88
1606921792.8602,62,34.88
1606921794.2598,65,34.88
1606921795.8508,67,34.88
1606921797.4391,65,34.81
1606921799.0593,68,34.81
1606921800.6589,70,34.81
1606921802.3711,62,34.75
1606921803.8291,63,34.75
1606921805.4494,67,34.75
1606921807.0392,69,34.75
1606921808.6292,74,34.69
1606921810.2493,76,34.69
1606921811.8682,77,34.69
1606921813.5817,79,34.63
1606921815.0188,75,34.63
1606921816.6691,68,34.63
1606921818.2291,71,34.63
1606921819.8191,73,34.56
1606921821.4126,76,34.56
1606921823.0920,78,34.56
1606921824.7855,64,34.56
1606921826.6145,68,34.56
1606921827.8306,71,34.56
1606921829.4177,72,34.50
1606921831.0076,74,34.50
1606921832.5976,72,34.50
1606921834.3328,74,34.50
1606921835.8081,73,34.44
1606921837.3982,70,34.44
1606921839.0184,56,34.44
1606921840.6086,61,34.44
1606921842.1988,67,34.44
1606921843.8460,66,34.44
1606921845.5015,54,34.38
1606921847.0595,60,34.38
1606921848.5893,65,34.38
1606921850.1794,67,34.38
1606921851.7995,69,34.38
1606921853.3896,71,34.38
1606921855.0350,69,34.31
1606921856.7168,70,34.31
1606921858.1899,67,34.31
1606921859.7798,67,34.31
1606921861.3699,65,34.31
1606921862.9899,57,34.25
1606921864.5798,46,34.25
1606921866.2551,47,34.25
1606921867.7901,46,34.25
1606921869.3801,48,34.25
1606921870.9700,51,34.25
1606921872.5600,56,34.19
1606921874.1799,47,34.19
1606921875.7996,47,34.19
1606921877.3609,47,34.13
1606921878.9502,37,34.13
1606921880.6001,42,34.13
1606921882.1600,44,34.13
1606921883.7500,47,34.13
1606921885.3699,48,34.13
1606921887.0510,50,34.13
1606921888.5502,50,34.06
1606921890.1400,37,34.13
1606921891.7599,31,34.06
1606921893.3499,30,34.06
1606921894.9399,35,34.06
1606921896.5668,23,34.06
1606921898.2668,28,34.06
1606921899.7401,35,34.06
1606921901.3299,39,34.00
1606921902.9498,43,34.00
1606921904.5399,45,33.94
1606921906.1299,47,33.94
1606921907.8076,48,33.94
1606921909.4589,51,33.94
1606921910.9299,46,33.94
1606921912.5197,47,33.94
1606921914.1397,50,33.88
1606921915.7296,52,33.88
1606921917.3496,53,33.88
1606921918.9978,54,33.88
1606921920.5299,56,33.81
1606921922.1197,57,33.81
1606921923.7096,58,33.81
1606921925.3297,59,33.81
1606921926.9195,61,33.81
1606921928.5363,61,33.75
1606921930.2160,62,33.75
1606921931.7497,58,33.75
1606921933.3095,62,33.75
1606921934.8994,64,33.75
1606921936.5495,65,33.69
1606921938.1093,66,33.69
1606921939.7572,67,33.69
1606921941.2897,69,33.69
1606921942.9093,57,33.63
1606921944.5294,54,33.69
1606921946.0893,54,33.63
1606921947.6792,60,33.63
1606921949.3292,62,33.63
1606921950.9795,65,33.63
1606921952.4793,66,33.56
1606921954.0993,68,33.56
1606921955.6891,70,33.56
1606921957.2791,73,33.56
1606921958.8691,73,33.56
1606921960.5167,77,33.56
1606921962.0791,79,33.50
1606921963.6691,78,33.50
1606921965.2590,78,33.50
1606921966.8790,79,33.50
1606921968.4990,82,33.50
1606921970.0590,86,33.44
1606921971.7758,88,33.44
1606921973.2692,86,33.44
1606921974.8590,81,33.44
1606921976.4489,85,33.44
1606921978.0689,80,33.44
1606921979.6588,82,33.44
1606921981.2488,87,33.44