Time,ECG
1606937143.7071,113
1606937143.7096,879
1606937143.7122,2163
1606937143.7150,2984
1606937143.7172,3357
1606937143.7193,3907
1606937143.7218,4451
1606937143.7239,4812
1606937143.7261,5195
1606937143.7277,5588
1606937143.7297,5899
1606937143.7317,6200
1606937143.7337,6508
1606937143.7358,6778
1606937143.7380,7026
1606937143.7401,7274
1606937143.7422,7505
1606937143.7442,7720
1606937143.7464,7922
1606937143.7477,8120
1606937143.7497,8312
1606937143.7517,8483
1606937143.7537,8647
1606937143.7557,8806
1606937143.7577,8948
1606937143.7597,9076
1606937143.7616,9206
1606937143.7636,9329
1606937143.7656,9437
1606937143.7676,9541
1606937143.7696,9637
1606937143.7716,9734
1606937143.7736,9825
1606937143.7756,9897
1606937143.7776,9960
1606937143.7796,10032
1606937143.7816,10095
1606937143.7836,10141
1606937143.7856,10189
1606937143.7876,10237
1606937143.7896,10271
1606937143.7916,10297
1606937143.7936,10326
1606937143.7956,10355
1606937143.7976,10379
1606937143.7996,10384
1606937143.8016,10386
1606937143.8036,10399
1606937143.8056,10403
1606937143.8076,10394
1606937143.8099,10389
1606937143.8116,10391
1606937143.8136,10379
1606937143.8155,10348
1606937143.8175,10324
1606937143.8195,10314
1606937143.8216,10285
1606937143.8235,10240
1606937143.8256,10211
1606937143.8275,10191
1606937143.8295,10160
1606937143.8316,10119
1606937143.8336,10085
1606937143.8355,10066
1606937143.8375,10025
1606937143.8395,9958
1606937143.8415,9902
1606937143.8435,9852
1606937143.8455,9784
1606937143.8475,9707
1606937143.8495,9645
1606937143.8515,9596
1606937143.8535,9539
1606937144.2455,9474
1606937144.2464,9423
1606937144.2489,9363
1606937144.2515,9288
1606937144.2535,9242
1606937144.2556,9281
1606937144.2577,9404
1606937144.2595,9442
1606937144.2615,9180
1606937144.2635,8915
1606937144.2656,8910
1606937144.2676,8818
1606937144.2697,8633
1606937144.2715,8597
1606937144.2735,8558
1606937144.2756,8440
1606937144.2775,8365
1606937144.2795,8322
1606937144.2815,8245
1606937144.2835,8166
1606937144.2855,8103
1606937144.2875,8035
1606937144.2895,7961
1606937144.2915,7888
1606937144.2935,7821
1606937144.2955,7756
1606937144.2975,7684
1606937144.2995,7604
1606937144.3017,7539
1606937144.3035,7477
1606937144.3055,7404
1606937144.3075,7334
1606937144.3095,7267
1606937144.3115,7197
1606937144.3135,7125
1606937144.3155,7053
1606937144.3174,6985
1606937144.3194,6918
1606937144.3214,6841
1606937144.3234,6764
1606937144.3255,6694
1606937144.3275,6621
1606937144.3294,6547
1606937144.3314,6475
1606937144.3334,6412
1606937144.3354,6342
1606937144.3374,6265
1606937144.3394,6195
1606937144.3414,6137
1606937144.3434,6079
1606937144.3454,6012
1606937144.3475,5947
1606937144.3494,5889
1606937144.3515,5829
1606937144.3534,5761
1606937144.3555,5704
1606937144.3575,5646
1606937144.3594,5581
1606937144.3615,5518
1606937144.3635,5460
1606937144.3655,5405
1606937144.3674,5345
1606937144.3695,5282
1606937144.3714,5222
1606937144.3734,5169
1606937144.3755,5113
1606937144.3774,5053
1606937144.3794,5000
1606937144.3814,4947
1606937144.3834,4887
1606937144.3855,4829
1606937144.3874,4776
1606937144.3895,4723
1606937144.8158,4665
1606937144.8167,4608
1606937144.8191,4557
1606937144.8218,4506
1606937144.8238,4453
1606937144.8259,4400
1606937144.8282,4350
1606937144.8299,4297
1606937144.8318,4237
1606937144.8338,4176
1606937144.8357,4133
1606937144.8377,4090
1606937144.8397,4037
1606937144.8417,3989
1606937144.8437,3948
1606937144.8458,3899
1606937144.8477,3851
1606937144.8497,3810
1606937144.8517,3769
1606937144.8537,3724
1606937144.8558,3678
1606937144.8578,3634
1606937144.8598,3596
1606937144.8617,3555
1606937144.8637,3509
1606937144.8657,3468
1606937144.8677,3427
1606937144.8697,3386
1606937144.8717,3345
1606937144.8737,3309
1606937144.8757,3273
1606937144.8777,3232
1606937144.8797,3191
1606937144.8817,3153
1606937144.8837,3117
1606937144.8857,3078
1606937144.8877,3044
1606937144.8897,3011
1606937144.8917,2972
1606937144.8937,2938
1606937144.8957,2907
1606937144.8977,2885
1606937144.8998,2876
1606937144.9017,2842
1606937144.9037,2789
1606937144.9057,2748
1606937144.9077,2712
1606937144.9097,2661
1606937144.9118,2616
1606937144.9137,2584
1606937144.9158,2555
1606937144.9178,2522
1606937144.9198,2493
1606937144.9218,2466
1606937144.9239,2432
1606937144.9257,2399
1606937144.9278,2396
1606937144.9299,2490
1606937144.9317,2666
1606937144.9337,2676
1606937144.9357,2404
1606937144.9377,2247
1606937144.9397,2293
1606937144.9417,2216
1606937144.9437,2112
1606937144.9457,2127
1606937144.9477,2110
1606937144.9497,2054
1606937144.9517,2037
1606937144.9537,2028
1606937144.9557,1992
1606937144.9577,1968
1606937144.9597,1953
1606937145.3550,1931
1606937145.3560,1907
1606937145.3584,1888
1606937145.3610,1871
1606937145.3630,1850
1606937145.3651,1828
1606937145.3670,1806
1606937145.3690,1787
1606937145.3712,1770
1606937145.3730,1744
1606937145.3750,1719
1606937145.3769,1705
1606937145.3790,1691
1606937145.3809,1666
1606937145.3830,1647
1606937145.3850,1633
1606937145.3869,1613
1606937145.3889,1589
1606937145.3909,1570
1606937145.3929,1548
1606937145.3950,1527
1606937145.3969,1505
1606937145.3989,1488
1606937145.4009,1469
1606937145.4029,1452
1606937145.4050,1435
1606937145.4070,1426
1606937145.4089,1413
1606937145.4109,1399
1606937145.4129,1382
1606937145.4150,1363
1606937145.4169,1348
1606937145.4189,1336
1606937145.4209,1324
1606937145.4229,1312
1606937145.4251,1300
1606937145.4270,1286
1606937145.4289,1274
1606937145.4309,1262
1606937145.4329,1252
1606937145.4350,1238
1606937145.4369,1226
1606937145.4389,1216
1606937145.4409,1202
1606937145.4429,1187
1606937145.4450,1177
1606937145.4469,1170
1606937145.4489,1158
1606937145.4509,1141
1606937145.4529,1129
1606937145.4550,1122
1606937145.4569,1110
1606937145.4590,1093
1606937145.4611,1079
1606937145.4630,1071
1606937145.4650,1059
1606937145.4669,1045
1606937145.4689,1035
1606937145.4709,1030
1606937145.4729,1021
1606937145.4750,1004
1606937145.4769,992
1606937145.4789,987
1606937145.4809,980
1606937145.4829,965
1606937145.4849,953
1606937145.4869,949
1606937145.4889,941
1606937145.4909,932
1606937145.4929,925
1606937145.4949,917
1606937145.4970,908
1606937145.4990,898
1606937145.9258,893
1606937145.9267,881
1606937145.9292,869
1606937145.9318,862
1606937145.9338,855
1606937145.9359,843
1606937145.9378,831
1606937145.9398,821
1606937145.9418,811
1606937145.9437,804
1606937145.9458,797
1606937145.9477,790
1606937145.9497,780
1606937145.9519,775
1606937145.9538,770
1606937145.9558,763
1606937145.9577,756
1606937145.9599,749
1606937145.9618,744
1606937145.9637,744
1606937145.9658,739
1606937145.9678,744
1606937145.9697,749
1606937145.9717,729
1606937145.9737,708
1606937145.9757,696
1606937145.9777,679
1606937145.9797,655
1606937145.9817,640
1606937145.9837,631
