Time,GSR,Temp(C)
1606934264.8287,35,35.31
1606934266.4177,33,35.31
1606934268.0076,32,35.31
1606934269.5976,14,35.31
1606934271.2186,1,35.25
1606934272.8076,4,35.31
1606934274.4815,11,35.31
1606934275.9879,16,35.31
1606934277.6078,1,35.31
1606934279.1977,16,35.31
1606934280.7875,17,35.31
1606934282.4074,33,35.25
1606934284.0125,43,35.25
1606934285.6692,19,35.25
1606934287.1776,33,35.25
1606934288.7975,40,35.25
1606934290.3875,45,35.25
1606934291.9774,49,35.25
1606934293.5974,52,35.25
1606934295.2307,52,35.25
1606934296.9112,54,35.25
1606934298.3675,59,35.25
1606934299.9876,58,35.25
1606934301.5774,58,35.25
1606934303.1675,58,35.25
1606934304.7675,61,35.25
1606934306.4500,62,35.25
1606934307.9677,63,35.25
1606934309.5577,65,35.25
1606934311.1776,65,35.25
1606934312.7674,67,35.25
1606934314.3580,67,35.31
1606934315.9610,63,35.25
1606934317.6682,65,35.31
1606934319.3241,65,35.25
1606934320.7474,60,35.25
1606934322.3374,53,35.31
1606934323.9574,53,35.31
1606934325.5473,58,35.31
1606934327.2113,62,35.31
1606934328.8624,63,35.31
1606934330.3474,65,35.31
1606934331.9373,66,35.31
1606934333.5273,65,35.31
1606934335.1472,67,35.31
1606934336.7796,68,35.31
1606934338.4586,69,35.31
1606934339.9475,63,35.31
1606934341.5373,65,35.31
1606934343.1273,63,35.31
1606934344.7172,64,35.38
1606934346.3372,65,35.38
1606934348.0012,62,35.38
1606934349.6188,52,35.38
1606934351.1073,52,35.38
1606934352.7273,57,35.38
1606934354.3172,59,35.38
1606934355.9073,55,35.38
1606934357.5272,52,35.38
1606934359.1601,55,35.38
1606934360.7074,57,35.38
1606934362.2973,59,35.38
1606934363.9172,58,35.38
1606934365.5072,62,35.38
1606934367.0972,63,35.38
1606934368.7172,67,35.38
1606934370.4414,67,35.38
1606934371.8976,69,35.44
1606934373.5173,69,35.44
1606934375.1073,75,35.44
1606934376.6972,76,35.44
1606934378.3172,75,35.44
1606934379.9195,76,35.44
1606934381.6292,74,35.44
1606934383.0876,76,35.44
1606934384.6772,75,35.44
1606934386.2971,60,35.44
1606934387.8873,58,35.44
1606934389.4773,57,35.44
1606934391.1703,61,35.44
1606934392.8217,60,35.50
1606934394.2774,63,35.44
1606934395.8672,64,35.44
1606934397.4873,67,35.44
1606934399.0775,71,35.50
1606934400.7402,72,35.50
1606934402.3604,74,35.50
1606934403.8796,71,35.50
1606934405.4700,72,35.50
1606934407.0603,76,35.50
1606934408.6508,75,35.50
1606934410.2711,74,35.50
1606934411.9035,64,35.50
1606934413.5826,63,35.50
1606934415.0722,63,35.50
1606934416.6624,63,35.50
1606934418.2526,58,35.50
1606934419.8427,65,35.50
1606934421.4629,65,35.50
1606934423.1276,67,35.50
1606934424.6434,69,35.50
1606934426.2335,71,35.50
1606934427.8535,73,35.56
1606934429.4436,75,35.50
1606934431.0338,77,35.56
1606934432.6663,81,35.56
1606934434.3760,83,35.56
1606934435.8341,86,35.56
1606934437.4241,82,35.56
1606934439.0442,84,35.56
1606934440.6342,85,35.56
1606934442.2243,86,35.56
1606934443.8574,88,35.56
1606934445.5747,90,35.56
1606934447.0421,92,35.56
1606934448.7804,94,35.63
1606934450.2345,95,35.63
1606934451.8244,94,35.56
1606934453.4444,92,35.63
1606934455.1090,80,35.63
1606934456.6248,81,35.63
1606934458.2446,82,35.63
1606934459.8046,77,35.63
1606934461.4245,76,35.63
1606934463.0144,79,35.63
1606934464.6781,81,35.63
1606934466.3283,79,35.63
1606934467.8148,81,35.63
1606934469.4046,84,35.63
1606934470.9946,86,35.69
1606934472.6146,79,35.63
1606934474.2045,78,35.63
1606934475.8684,80,35.63
1606934477.5179,81,35.63
1606934479.0047,83,35.69
1606934480.5952,86,35.69
1606934482.1845,83,35.63
1606934483.7745,81,35.69
1606934485.4684,84,35.63
1606934487.0587,87,35.69
1606934488.5746,88,35.69
1606934490.1946,89,35.69
1606934491.7845,89,35.69
1606934493.4345,92,35.69
1606934494.9783,93,35.69
1606934496.6266,95,35.69
1606934498.1754,96,35.69
1606934499.7645,93,35.69
1606934501.4146,89,35.69
1606934502.9746,90,35.69
1606934504.5645,93,35.69
1606934506.1675,95,35.69
1606934507.8183,96,35.69
1606934509.3647,96,35.69
1606934510.9548,94,35.69
1606934512.5446,95,35.75
1606934514.1649,98,35.69
1606934515.7545,99,35.69
1606934517.3868,99,35.75
1606934519.0732,101,35.75
1606934520.5550,100,35.75
1606934522.1447,97,35.75
1606934523.7646,100,35.75
1606934525.3545,102,35.75
1606934526.9446,104,35.75
1606934528.6052,102,35.75
1606934530.2878,105,35.75
1606934531.7446,107,35.75
1606934533.3346,108,35.75
1606934534.9545,109,35.75
1606934536.5445,111,35.75
1606934538.1344,114,35.75
1606934539.8266,116,35.75
1606934541.4766,117,35.75
1606934542.9346,119,35.75
1606934544.5545,120,35.75
1606934546.1445,121,35.75
1606934547.7345,123,35.75
1606934549.3680,124,35.75
1606934551.0186,125,35.75
1606934552.5646,126,35.81
1606934554.1246,128,35.81
1606934555.7445,129,35.75
1606934557.3345,130,35.81
1606934558.9245,132,35.81
1606934560.6165,131,35.81
1606934562.2666,132,35.81
1606934563.7246,130,35.81
1606934565.3446,128,35.81
1606934566.9344,129,35.81
1606934568.5245,131,35.81