Time,HR,RR
1606935798.3974,83,696
1606935799.3829,83,707
1606935800.3705,84,709
1606935801.3905,84,752
1606935802.4103,84,779
1606935803.3706,83,791
1606935804.3905,82,772
1606935805.3804,82,818
1606935806.3710,81,820
1606935807.5100,80,811
1606935808.3806,80,847
1606935809.3704,79,850
1606935810.4203,79,861
1606935811.4111,78,866
1606935812.4902,77,893
1606935813.3905,76,839
1606935814.3803,76,851
1606935815.3703,75,846
1606935816.4799,75,888
1606935817.3805,74,912
1606935818.3704,74,811
1606935819.3902,73,814
1606935820.3802,74,851
1606935821.4900,74,866
1606935822.4203,73,862
1606935823.3802,73,858
1606935824.3701,73,866
1606935825.4165,73,853
1606935826.3806,73,856
1606935827.3702,73,856
1606935828.3902,73,855
1606935829.3801,73,857
1606935830.5113,73,881
1606935831.3905,72,859
1606935832.3801,72,869
1606935833.3698,72,874
1606935834.3898,72,nan
1606935835.4893,72,901
1606935836.3702,71,2234
1606935837.3900,70,686
1606935838.3800,70,685
1606935839.4162,70,725
1606935840.3901,74,744
1606935841.3799,75,762
1606935842.3699,76,727
1606935843.4202,76,785
1606935844.5513,77,812
1606935845.4000,77,856
1606935846.3900,76,845
1606935847.3968,76,843
1606935848.4197,75,872
1606935849.5293,75,852
1606935850.3800,75,821
1606935851.3698,75,803
1606935852.3898,75,778
1606935853.5203,76,767
1606935854.3703,76,778
1606935855.3899,77,746
1606935856.3800,77,780
1606935857.3931,78,794
1606935858.5009,78,786
1606935859.3800,78,806
1606935860.3699,78,820
1606935861.3898,77,799
1606935862.4292,77,794
1606935863.3702,77,827
1606935864.4199,77,816
1606935865.3798,77,788
1606935866.3698,77,805
1606935867.5300,77,800
1606935868.3800,77,783
1606935869.3699,77,794
1606935870.3897,77,814
1606935871.4282,77,787
1606935872.5089,77,805
1606935873.3899,77,813
1606935874.3798,77,782
1606935875.3697,77,789
1606935876.4415,77,790
1606935877.4098,77,765
1606935878.3999,77,750
1606935879.3896,78,772
1606935880.4020,78,771
1606935881.5085,78,760
1606935882.3898,79,787
1606935883.3796,78,799
1606935884.3695,78,785
1606935885.4414,78,805
1606935886.3800,78,795
1606935887.3696,78,733
1606935888.3896,79,729
1606935889.3795,80,713
1606935890.5100,81,714
1606935891.3897,81,714
1606935892.3796,82,741
1606935893.3694,82,772
1606935894.4409,82,745
1606935895.3796,82,774
1606935896.3695,82,803
1606935897.3894,82,nan
1606935898.3794,81,763
1606935899.4504,81,2069
1606935900.3895,81,663
1606935901.3794,82,676
1606935902.3694,85,691
1606935903.3893,86,680
1606935904.5219,87,675
1606935905.3695,87,692
1606935906.3893,88,712
1606935907.3793,87,741
1606935908.4207,87,753
1606935909.4193,86,751
1606935910.4094,85,731
1606935911.3993,85,746
1606935912.3892,85,745
1606935913.4600,84,739
1606935914.3694,84,713
