Time,ECG
1606935327.4854,149
1606935327.4879,912
1606935327.4906,2129
1606935327.4931,2897
1606935327.4954,3297
1606935327.4969,3873
1606935327.4990,4420
1606935327.5009,4805
1606935327.5029,5215
1606935327.5049,5624
1606935327.5071,5952
1606935327.5093,6270
1606935327.5119,6593
1606935327.5141,6874
1606935327.5162,7137
1606935327.5179,7402
1606935327.5199,7648
1606935327.5220,7862
1606935327.5240,8069
1606935327.5259,8281
1606935327.5279,8479
1606935327.5299,8657
1606935327.5319,8821
1606935327.5340,8987
1606935327.5358,9146
1606935327.5378,9286
1606935327.5398,9421
1606935327.5418,9551
1606935327.5438,9669
1606935327.5459,9775
1606935327.5478,9876
1606935327.5498,9982
1606935327.5518,10076
1606935327.5538,10138
1606935327.5559,10201
1606935327.5578,10280
1606935327.5598,10346
1606935327.5618,10394
1606935327.5638,10449
1606935327.5659,10490
1606935327.5678,10517
1606935327.5698,10548
1606935327.5718,10579
1606935327.5739,10606
1606935327.5759,10627
1606935327.5778,10635
1606935327.5798,10637
1606935327.5818,10651
1606935327.5838,10659
1606935327.5858,10647
1606935327.5880,10642
1606935327.5898,10642
1606935327.5918,10639
1606935327.5938,10644
1606935327.5958,10630
1606935327.5978,10586
1606935327.5998,10538
1606935327.6018,10495
1606935327.6038,10449
1606935327.6058,10391
1606935327.6077,10343
1606935327.6098,10307
1606935327.6117,10268
1606935327.6137,10225
1606935327.6157,10172
1606935327.6177,10117
1606935327.6198,10069
1606935327.6217,10069
1606935327.6238,10189
1606935327.6258,10374
1606935327.6277,10283
1606935327.6297,9885
1606935327.6317,9705
1606935328.0241,9724
1606935328.0250,9611
1606935328.0275,9493
1606935328.0301,9454
1606935328.0321,9387
1606935328.0341,9305
1606935328.0361,9254
1606935328.0381,9197
1606935328.0401,9112
1606935328.0421,9052
1606935328.0441,9004
1606935328.0461,8907
1606935328.0481,8816
1606935328.0501,8768
1606935328.0521,8700
1606935328.0541,8614
1606935328.0561,8546
1606935328.0580,8486
1606935328.0600,8411
1606935328.0620,8339
1606935328.0640,8272
1606935328.0661,8199
1606935328.0680,8127
1606935328.0700,8060
1606935328.0721,7997
1606935328.0740,7920
1606935328.0761,7826
1606935328.0780,7744
1606935328.0802,7677
1606935328.0820,7602
1606935328.0840,7520
1606935328.0860,7440
1606935328.0880,7361
1606935328.0900,7281
1606935328.0920,7204
1606935328.0940,7132
1606935328.0960,7067
1606935328.0980,7000
1606935328.1000,6927
1606935328.1020,6855
1606935328.1040,6783
1606935328.1060,6711
1606935328.1080,6641
1606935328.1100,6576
1606935328.1120,6511
1606935328.1140,6441
1606935328.1160,6373
1606935328.1180,6311
1606935328.1200,6250
1606935328.1220,6183
1606935328.1240,6116
1606935328.1260,6048
1606935328.1280,5988
1606935328.1300,5923
1606935328.1320,5858
1606935328.1340,5795
1606935328.1360,5735
1606935328.1380,5665
1606935328.1401,5598
1606935328.1420,5537
1606935328.1440,5480
1606935328.1460,5417
1606935328.1480,5350
1606935328.1500,5287
1606935328.1520,5229
1606935328.1540,5169
1606935328.1561,5106
1606935328.1580,5051
1606935328.1600,4993
1606935328.1620,4930
1606935328.1640,4875
1606935328.1660,4824
1606935328.1680,4764
1606935328.5938,4704
1606935328.5946,4649
1606935328.5971,4596
1606935328.5997,4545
1606935328.6017,4492
1606935328.6037,4439
1606935328.6061,4393
1606935328.6082,4343
1606935328.6096,4280
1606935328.6116,4222
1606935328.6136,4179
1606935328.6157,4131
1606935328.6176,4080
1606935328.6196,4037
1606935328.6216,3989
1606935328.6237,3936
1606935328.6257,3892
1606935328.6276,3851
1606935328.6296,3798
1606935328.6316,3745
1606935328.6336,3702
1606935328.6356,3663
1606935328.6376,3625
1606935328.6396,3589
1606935328.6416,3548
1606935328.6436,3516
1606935328.6456,3504
1606935328.6476,3478
1606935328.6496,3415
