Time,HR,RR
1606934679.4176,69,863
1606934680.4071,69,nan
1606934681.4563,69,841
1606934682.4176,70,790
1606934683.4071,71,841
1606934684.3971,71,821
1606934685.4171,72,886
1606934686.4965,72,901
1606934687.4272,71,883
1606934688.4470,71,913
1606934689.4070,70,884
1606934690.4873,70,860
1606934691.4174,70,889
1606934692.4072,70,911
1606934693.3970,70,867
1606934694.4170,70,827
1606934695.4665,70,853
1606934696.3972,70,878
1606934697.4171,70,920
1606934698.4070,70,925
1606934699.4247,70,879
1606934700.5663,70,876
1606934701.4072,70,863
1606934702.3970,70,885
1606934703.4169,70,904
1606934704.4635,70,886
1606934705.3972,70,840
1606934706.4170,70,782
1606934707.4069,71,815
1606934708.3968,72,920
1606934709.4971,72,898
1606934710.4071,71,898
1606934711.3969,71,946
1606934712.4169,70,917
1606934713.4256,70,895
1606934714.3971,70,923
1606934715.4170,70,907
1606934716.4070,70,883
1606934717.3971,69,907
1606934718.4666,69,921
1606934719.4371,69,878
1606934720.4269,69,900
1606934721.4168,69,859
1606934722.4068,69,838
1606934723.5086,69,891
1606934724.4172,70,862
1606934725.4068,70,825
1606934726.3969,70,876
1606934727.4681,70,891
1606934728.4072,70,877
1606934729.3970,70,885
1606934730.4169,70,868
1606934731.4068,70,858
1606934732.5122,70,925
1606934733.4171,70,890
1606934734.4068,70,831
1606934735.3968,70,844
1606934736.4168,71,820
1606934737.4072,71,799
1606934738.3968,71,863
1606934739.4168,72,877
1606934740.4068,72,884
1606934741.4777,71,898
1606934742.4470,71,850
1606934743.4068,71,810
1606934744.3968,71,827
1606934745.4390,71,858
1606934746.5162,72,852
1606934747.3969,72,840
1606934748.4468,72,880
1606934749.4068,72,905
1606934750.4181,72,903
1606934751.4173,71,919
1606934752.4370,71,888
1606934753.4268,70,875
1606934754.4167,70,863
1606934755.4876,70,831
1606934756.3970,71,807
1606934757.4169,72,812
1606934758.4068,72,840
1606934759.4272,72,834
1606934760.5327,72,841
1606934761.4069,73,738
1606934762.3968,73,770
1606934763.4168,75,787
1606934764.4881,75,802
1606934765.3970,75,755
1606934766.4171,75,740
1606934767.4069,77,745
1606934768.4244,77,872
1606934769.5275,77,878
1606934770.4070,76,830
1606934771.3967,76,894
1606934772.4167,75,861
1606934773.4251,74,851
1606934774.3969,74,860
1606934775.4169,74,806
1606934776.4068,74,793
1606934777.3967,75,777
1606934778.4970,75,774
1606934779.4069,76,723
1606934780.3968,76,713
1606934781.4167,77,754
1606934782.4584,78,853
1606934783.5437,77,882
1606934784.3869,76,900
1606934785.4368,76,904
1606934786.4267,75,894
1606934787.4369,74,846
1606934788.4071,74,856
1606934789.3968,74,813
1606934790.3867,74,792
1606934791.4288,74,818
1606934792.5357,74,827
1606934793.3869,74,772
1606934794.4068,75,833
1606934795.3967,75,833
1606934796.4372,75,805
1606934797.4072,75,862
1606934798.3969,75,852
1606934799.3868,74,805
1606934800.4068,74,855
1606934801.5066,74,864
1606934802.3871,74,835
1606934803.4068,74,828
1606934804.3969,74,823
1606934805.4368,74,811
1606934806.5460,74,816
1606934807.3971,74,793
1606934808.4169,75,806
1606934809.4070,75,850
1606934810.4753,74,835
1606934811.3871,74,842
1606934812.4070,74,845
1606934813.3969,74,800
1606934814.3873,74,834
1606934815.5183,74,848
1606934816.3970,74,851
1606934817.3869,74,807
1606934818.4369,74,815
1606934819.4475,74,852
1606934820.4171,74,849
1606934821.4069,74,855
1606934822.3967,74,867
1606934823.3867,73,891
1606934824.4869,73,851
1606934825.3969,72,848
1606934826.3868,72,849
1606934827.4066,72,841
1606934828.4479,73,825
1606934829.3868,73,812
1606934830.4069,73,799
1606934831.3968,74,777
1606934832.4064,74,763
1606934833.4559,76,713
1606934834.3971,77,726
1606934835.3867,78,729
1606934836.4067,78,781
1606934837.3966,78,814
1606934838.5356,78,832
1606934839.4068,78,842
1606934840.3967,77,864
1606934841.3868,77,875
1606934842.4561,76,858
1606934843.3968,75,853
1606934844.3868,75,843
1606934845.4067,75,848
1606934846.4184,74,836
1606934847.4653,74,831
1606934848.4070,74,803
1606934849.3969,74,806
1606934850.3868,75,801
1606934851.4368,75,799
1606934852.4571,75,842
1606934853.4169,75,858
1606934854.4068,75,866
1606934855.3968,74,864
1606934856.4647,74,815
1606934857.4076,74,767
1606934858.3968,75,749
1606934859.3867,75,712
1606934860.4067,76,736
1606934861.5070,78,760
1606934862.3869,78,804
1606934863.4067,77,815
1606934864.3967,77,833
1606934865.4701,77,815
1606934866.4071,76,835
1606934867.3967,76,835
1606934868.3866,76,830
1606934869.4065,76,809
1606934870.4748,76,805
1606934871.3869,76,811
1606934872.4068,76,808
1606934873.3967,76,804
1606934874.4054,76,814
1606934875.4074,76,807
1606934876.3968,76,822
1606934877.3867,76,814
1606934878.4066,76,787
1606934879.4778,76,803
1606934880.3867,76,835
1606934881.4068,76,832
1606934882.3965,75,791
1606934883.4055,75,826
1606934884.5180,75,875
1606934885.4268,75,875
1606934886.4168,74,805
1606934887.4065,74,826
1606934888.4158,75,802
1606934889.3864,75,768
1606934890.4066,75,837
1606934891.3965,75,863
1606934892.3864,75,844
1606934893.5137,75,858
1606934894.3969,74,872
1606934895.3865,74,813
1606934896.4065,74,800
1606934897.4166,74,797
1606934898.5558,75,735
1606934899.4065,76,763
1606934900.4565,77,765
1606934901.3864,77,740
1606934902.4863,78,690
1606934903.3966,79,700
1606934904.3865,80,744
1606934905.4066,81,773
1606934906.4767,81,818
1606934907.4961,80,900
1606934908.4065,78,852
1606934909.4264,78,852
1606934910.3863,77,832
1606934911.4566,77,791
1606934912.3968,77,782
1606934913.3865,77,789
1606934914.4063,77,755
1606934915.3963,77,773
1606934916.5024,78,820
1606934917.4364,77,763
1606934918.4263,77,715
1606934919.4163,78,742
1606934920.7034,79,793
1606934921.8335,78,845
1606934922.3862,78,824
1606934923.5427,77,847
1606934924.5962,77,864
1606934925.6504,76,865
1606934926.4064,76,858
1606934927.3965,75,840
1606934928.3862,75,816
1606934929.4063,75,794
1606934930.5051,75,817
1606934931.3864,75,816
1606934932.4062,75,805
1606934933.3962,75,839
1606934934.4675,75,822
1606934935.4067,75,809
1606934936.3963,75,832
1606934937.3873,75,839
1606934938.4264,75,834
1606934939.5046,75,856
1606934940.3865,75,869
1606934941.4063,74,860
1606934942.4264,74,870
1606934943.4454,73,849
1606934944.5496,73,835
1606934945.3967,73,843
1606934946.3863,73,828
1606934947.4062,73,766
1606934948.4544,74,789
1606934949.3863,75,815
1606934950.4064,75,797
1606934951.4267,75,833
1606934952.4163,75,863
