Time,ECG
1606936700.5984,1394
1606936700.6010,2582
1606936700.6037,3160
1606936700.6064,3572
1606936700.6086,4167
1606936700.6107,4637
1606936700.6127,4998
1606936700.6141,5407
1606936700.6161,5778
1606936700.6181,6087
1606936700.6201,6397
1606936700.6223,6699
1606936700.6247,6963
1606936700.6270,7221
1606936700.6293,7477
1606936700.6315,7703
1606936700.6335,7910
1606936700.6351,8117
1606936700.6371,8315
1606936700.6391,8500
1606936700.6411,8681
1606936700.6431,8842
1606936700.6451,8994
1606936700.6472,9141
1606936700.6491,9281
1606936700.6511,9416
1606936700.6530,9541
1606936700.6550,9649
1606936700.6570,9746
1606936700.6591,9854
1606936700.6610,9960
1606936700.6630,10030
1606936700.6650,10095
1606936700.6670,10170
1606936700.6690,10240
1606936700.6710,10300
1606936700.6730,10343
1606936700.6750,10386
1606936700.6770,10447
1606936700.6790,10490
1606936700.6810,10500
1606936700.6830,10521
1606936700.6850,10555
1606936700.6870,10577
1606936700.6890,10615
1606936700.6910,10642
1606936700.6930,10623
1606936700.6950,10596
1606936700.6970,10582
1606936700.6990,10565
1606936700.7013,10548
1606936700.7030,10526
1606936700.7049,10497
1606936700.7069,10476
1606936700.7090,10461
1606936700.7109,10427
1606936700.7130,10384
1606936700.7149,10348
1606936700.7169,10314
1606936700.7189,10331
1606936700.7210,10478
1606936700.7230,10680
1606936700.7249,10577
1606936700.7269,10208
1606936700.7289,10071
1606936700.7309,10069
1606936700.7329,9931
1606936700.7349,9840
1606936700.7369,9825
1606936700.7389,9758
1606936700.7409,9678
1606936700.7430,9630
1606936700.7449,9582
1606936701.1670,9517
1606936701.1678,9457
1606936701.1702,9394
1606936701.1730,9324
1606936701.1748,9264
1606936701.1768,9201
1606936701.1789,9129
1606936701.1809,9071
1606936701.1829,9023
1606936701.1848,8948
1606936701.1868,8850
1606936701.1888,8782
1606936701.1909,8729
1606936701.1929,8652
1606936701.1948,8575
1606936701.1968,8510
1606936701.1988,8445
1606936701.2008,8373
1606936701.2028,8296
1606936701.2048,8226
1606936701.2068,8156
1606936701.2088,8079
1606936701.2108,7994
1606936701.2128,7917
1606936701.2148,7843
1606936701.2168,7763
1606936701.2188,7689
1606936701.2208,7619
1606936701.2229,7539
1606936701.2248,7460
1606936701.2268,7392
1606936701.2288,7332
1606936701.2308,7257
1606936701.2328,7161
1606936701.2348,7084
1606936701.2368,7029
1606936701.2388,6959
1606936701.2408,6884
1606936701.2428,6819
1606936701.2448,6752
1606936701.2467,6682
1606936701.2488,6614
1606936701.2508,6549
1606936701.2528,6489
1606936701.2547,6419
1606936701.2567,6344
1606936701.2587,6279
1606936701.2608,6219
1606936701.2628,6152
1606936701.2647,6082
1606936701.2667,6014
1606936701.2687,5949
1606936701.2707,5889
1606936701.2728,5827
1606936701.2747,5754
1606936701.2767,5692
1606936701.2787,5627
1606936701.2807,5554
1606936701.2827,5494
1606936701.2847,5439
1606936701.2867,5376
1606936701.2887,5313
1606936701.2908,5258
1606936701.2928,5195
1606936701.2947,5133
1606936701.2967,5077
1606936701.2988,5022
1606936701.3007,4964
1606936701.3028,4906
1606936701.3047,4849
1606936701.3067,4798
1606936701.3087,4747
1606936701.3108,4687
1606936701.7073,4634
1606936701.7080,4586
1606936701.7101,4531
1606936701.7118,4478
1606936701.7138,4425
1606936701.7158,4374
1606936701.7180,4326
1606936701.7199,4270
1606936701.7218,4222
1606936701.7239,4181
1606936701.7258,4131
1606936701.7278,4068
1606936701.7298,4034
1606936701.7318,4030
1606936701.7338,3989
1606936701.7358,3916
1606936701.7378,3854
1606936701.7398,3798
1606936701.7418,3743
1606936701.7438,3683
1606936701.7458,3630
1606936701.7478,3591
1606936701.7498,3545
1606936701.7518,3500
1606936701.7538,3466
1606936701.7558,3427
1606936701.7578,3369
1606936701.7598,3333
1606936701.7618,3382
1606936701.7638,3569
1606936701.7658,3750
1606936701.7678,3531
1606936701.7697,3114
1606936701.7717,3080
1606936701.7738,3148
1606936701.7757,3003
1606936701.7777,2936
1606936701.7798,2958
1606936701.7817,2900
1606936701.7838,2844
1606936701.7858,2837
1606936701.7878,2806
1606936701.7898,2762
1606936701.7918,2731
1606936701.7937,2707
1606936701.7957,2678
1606936701.7978,2647
1606936701.7998,2620
1606936701.8018,2591
1606936701.8038,2560
1606936701.8058,2534
1606936701.8078,2510
1606936701.8098,2483
1606936701.8118,2454
1606936701.8138,2430
1606936701.8158,2406
1606936701.8178,2382
1606936701.8199,2355
1606936701.8218,2331
1606936701.8239,2310
1606936701.8258,2283
1606936701.8278,2254
1606936701.8298,2230
1606936701.8318,2204
1606936701.8338,2170
1606936701.8358,2139
1606936701.8378,2107
1606936701.8398,2076
1606936701.8418,2054
1606936701.8438,2028
1606936701.8458,1996
1606936701.8478,1975
1606936701.8498,1953
1606936702.2767,1924
1606936702.2777,1898
1606936702.2790,1874
1606936702.2808,1847
1606936702.2828,1828
1606936702.2848,1806
1606936702.2868,1782
1606936702.2889,1760
1606936702.2908,1736
1606936702.2928,1717
1606936702.2947,1705
1606936702.2967,1693
1606936702.2987,1678
1606936702.3007,1664
1606936702.3027,1650
1606936702.3047,1628
1606936702.3067,1611
1606936702.3087,1601
1606936702.3107,1580
1606936702.3127,1551
1606936702.3146,1534
1606936702.3166,1517
1606936702.3186,1493
1606936702.3206,1471
1606936702.3227,1457
1606936702.3247,1442
1606936702.3266,1426
1606936702.3287,1404
1606936702.3306,1385
1606936702.3327,1377
1606936702.3346,1361
1606936702.3367,1334
1606936702.3387,1324
1606936702.3407,1322
1606936702.3427,1305
1606936702.3448,1281
1606936702.3467,1269
1606936702.3487,1257
1606936702.3506,1240
1606936702.3526,1226
1606936702.3546,1218
1606936702.3566,1216
1606936702.3586,1202
1606936702.3606,1187
1606936702.3627,1211
1606936702.3646,1228
1606936702.3666,1194
1606936702.3686,1151
1606936702.3706,1132
1606936702.3727,1112
1606936702.3746,1081
1606936702.3766,1050
1606936702.3786,1040
1606936702.3806,1038
1606936702.3827,1023
1606936702.3847,1018
1606936702.3866,1011
1606936702.3887,992
1606936702.3906,982
1606936702.3927,1040
1606936702.3947,1259
1606936702.3967,1532
1606936702.3986,1392
1606936702.4006,886
1606936702.4027,794
1606936702.4046,1014
1606936702.4066,932
1606936702.4087,806
1606936702.4106,864
1606936702.4127,869
1606936702.4146,811
1606936702.4167,821
1606936702.4187,835
1606936702.8173,811
1606936702.8180,804
1606936702.8205,816
1606936702.8232,804
1606936702.8251,787
1606936702.8271,790
1606936702.8293,787
1606936702.8311,782
1606936702.8331,778
1606936702.8351,766
1606936702.8370,756
1606936702.8390,758
1606936702.8411,753
1606936702.8433,746
1606936702.8451,744
1606936702.8470,741
1606936702.8490,739
1606936702.8510,737
1606936702.8530,732
1606936702.8550,725
1606936702.8570,720
1606936702.8590,710
1606936702.8610,693
1606936702.8631,681
1606936702.8651,669
1606936702.8670,655
1606936702.8690,643
1606936702.8710,635
1606936702.8731,623
1606936702.8750,609
1606936702.8770,597
1606936702.8790,590
1606936702.8810,578
1606936702.8831,561
1606936702.8851,551
1606936702.8870,551
1606936702.8890,549
1606936702.8910,541
1606936702.8931,541
1606936702.8951,546
1606936702.8970,549
1606936702.8990,549
1606936702.9011,554
1606936702.9031,558
1606936702.9050,556
1606936702.9070,556
1606936702.9090,554
1606936702.9110,549
1606936702.9130,549
1606936702.9150,541
1606936702.9170,527
1606936702.9190,522
1606936702.9210,520
1606936702.9231,513
1606936702.9250,501
1606936702.9270,493
1606936702.9291,488
1606936702.9310,486
1606936702.9331,479
1606936702.9350,467
1606936702.9370,462
1606936702.9390,462
1606936702.9410,460
1606936702.9431,452
1606936702.9452,448
1606936702.9471,448
1606936702.9490,445
1606936702.9510,443
1606936702.9531,443
1606936702.9550,457
1606936702.9570,488
1606936702.9590,498
1606936702.9610,472
1606936703.4166,445
1606936703.4176,436
1606936703.4200,421
1606936703.4227,402
1606936703.4246,380
1606936703.4266,373
1606936703.4287,366
1606936703.4306,361
