Time,HR,RR
1606936699.4056,69,953
1606936700.3862,69,939
1606936701.3737,68,897
1606936702.4212,68,945
1606936703.5628,68,932
1606936704.4040,68,819
1606936705.3939,68,780
1606936706.3838,69,832
1606936707.4938,70,881
1606936708.3939,70,917
1606936709.3837,70,926
1606936710.3737,69,929
1606936711.3938,69,958
1606936712.4935,69,923
1606936713.3739,68,883
1606936714.4238,68,924
1606936715.3837,68,910
1606936716.4333,68,889
1606936717.3942,69,846
1606936718.3840,69,876
1606936719.3739,69,889
1606936720.4238,69,872
1606936721.5632,69,892
1606936722.3739,69,898
1606936723.3938,69,848
1606936724.3837,69,874
1606936725.4294,70,894
1606936726.5095,70,862
1606936727.3840,70,819
1606936728.3739,70,873
1606936729.3939,70,885
1606936730.4351,70,853
1606936731.3740,70,908
1606936732.4240,70,904
1606936733.3838,70,863
1606936734.4548,70,867
1606936735.5055,70,886
1606936736.3852,70,857
1606936737.3740,70,866
1606936738.3939,70,887
1606936739.4364,70,874
1606936740.3743,70,882
1606936741.3941,70,860
1606936742.3839,70,860
1606936743.3739,70,849
1606936744.5043,70,828
1606936745.3841,71,887
1606936746.3739,71,876
1606936747.3940,71,849
1606936748.4034,71,906
1606936749.5134,71,914
1606936750.3939,70,846
1606936751.4439,71,837
1606936752.3738,71,840
1606936753.4531,71,803
1606936754.3841,72,829
1606936755.3739,72,875
1606936756.3937,72,879
1606936757.3838,72,925
1606936758.5149,71,943
1606936759.3940,71,905
1606936760.3841,70,872
1606936761.3738,70,923
1606936762.4428,70,934
1606936763.4142,70,907
1606936764.3740,69,875
1606936765.4239,69,910
1606936766.3838,69,860
1606936767.4509,69,834
1606936768.3941,70,819
1606936769.3850,70,891
1606936770.3739,70,850
1606936771.4143,70,827
1606936772.3840,71,884
1606936773.3741,71,907
1606936774.3941,70,877
1606936775.3838,70,895
1606936776.4535,71,920
1606936777.3945,70,894
1606936778.3839,70,853
1606936779.3740,70,889
1606936780.3939,70,908
1606936781.5270,70,896
1606936782.3740,70,913
1606936783.3941,70,944
1606936784.3840,69,908
1606936785.6170,69,882
1606936786.4240,69,937
1606936787.3842,69,941
1606936788.3739,69,900
1606936789.3940,68,889
1606936790.5231,68,940
1606936791.3743,68,896
1606936792.3941,68,894
1606936793.4140,68,942
1606936794.3740,68,929
1606936795.3944,68,912
1606936796.3841,68,923
1606936797.3739,67,940
1606936798.3940,67,914
1606936799.4449,67,889
1606936800.3741,68,914
1606936801.3940,68,911
1606936802.3838,68,867
1606936803.3739,68,854
1606936804.4739,68,930
1606936805.3841,68,934
1606936806.3739,68,844
1606936807.3938,68,885
1606936808.4355,68,902
