,ecg
1607013275.6222,4328.0
1607013275.625,5406.0
1607013275.6276,6101.0
1607013275.6304,6989.0
1607013275.6328,7650.0
1607013275.6351,8100.0
1607013275.6375,8589.0
1607013275.6394,9016.0
1607013275.641,9325.0
1607013275.643,9628.0
1607013275.645,9904.0
1607013275.6471,10120.0
1607013275.6494,10316.0
1607013275.6517,10504.0
1607013275.6538,10669.0
1607013275.656,10797.0
1607013275.658,10916.0
1607013275.6598,11035.0
1607013275.6611,11136.0
1607013275.663,11214.0
1607013275.665,11291.0
1607013275.6671,11374.0
1607013275.6692,11432.0
1607013275.671,11466.0
1607013275.6731,11512.0
1607013275.6751,11565.0
1607013275.677,11596.0
1607013275.679,11611.0
1607013275.6809,11628.0
1607013275.6829,11652.0
1607013275.6849,11667.0
1607013275.6869,11681.0
1607013275.6889,11703.0
1607013275.6909,11700.0
1607013275.6929,11684.0
1607013275.6949,11679.0
1607013275.697,11654.0
1607013275.699,11616.0
1607013275.701,11592.0
1607013275.7029,11565.0
1607013275.705,11533.0
1607013275.707,11514.0
1607013275.709,11485.0
1607013275.7109,11437.0
1607013275.7129,11374.0
1607013275.715,11323.0
1607013275.7169,11451.0
1607013275.7189,11824.0
1607013275.721,12102.0
1607013275.7229,11848.0
1607013275.7253,11049.0
1607013275.727,10456.0
1607013275.7289,10640.0
1607013275.7309,10943.0
1607013275.7329,10865.0
1607013275.7349,10793.0
1607013275.7369,10807.0
1607013275.7389,10727.0
1607013275.7409,10642.0
1607013275.7429,10606.0
1607013275.7449,10558.0
1607013275.7469,10490.0
1607013275.7489,10425.0
1607013275.7512,10354.0
1607013275.7529,10289.0
1607013275.7549,10228.0
1607013275.7569,10158.0
1607013275.7589,10090.0
1607013275.7609,10037.0
1607013275.7629,9972.0
1607013275.7649,9894.0
1607013275.7669,9831.0
1607013275.7689,9781.0
1607013276.1601,9720.0
1607013276.1609,9655.0
1607013276.1634,9597.0
1607013276.1661,9538.0
1607013276.168,9473.0
1607013276.17,9405.0
1607013276.1721,9347.0
1607013276.1741,9289.0
1607013276.1761,9219.0
1607013276.178,9134.0
1607013276.18,9062.0
1607013276.182,8999.0
1607013276.184,8887.0
1607013276.186,8747.0
1607013276.188,8638.0
1607013276.19,8543.0
1607013276.192,8434.0
1607013276.194,8333.0
1607013276.196,8255.0
1607013276.198,8178.0
1607013276.2,8096.0
1607013276.202,8020.0
1607013276.204,7960.0
1607013276.206,7895.0
1607013276.208,7822.0
1607013276.2099,7759.0
1607013276.2119,7698.0
1607013276.2139,7626.0
1607013276.2162,7553.0
1607013276.218,7485.0
1607013276.22,7422.0
1607013276.2219,7350.0
1607013276.2239,7272.0
1607013276.2259,7197.0
1607013276.2279,7130.0
1607013276.23,7054.0
1607013276.2321,6972.0
1607013276.234,6902.0
1607013276.2359,6834.0
1607013276.2379,6757.0
