Time,GSR,Temp(C)
1607015027.3953,120,33.69
1607015029.0458,123,33.63
1607015030.6944,126,33.56
1607015032.3442,129,33.56
1607015033.9941,133,33.56
1607015035.6446,136,33.50
1607015037.2959,137,33.44
1607015038.9447,142,33.38
1607015040.5956,145,33.31
1607015042.2466,147,33.31
1607015043.8954,149,33.31
1607015045.5448,150,33.25
1607015047.1954,152,33.25
1607015048.9194,153,33.19
1607015050.5766,154,33.19
1607015052.2506,156,33.13
1607015053.9171,157,33.06
1607015055.4451,158,33.00
1607015057.0946,158,32.94
1607015058.7440,159,32.81
1607015060.4261,160,32.75
1607015062.0760,160,32.75
1607015063.7261,162,32.69
1607015065.3760,264,32.94
1607015067.0753,275,33.19
1607015068.6761,198,33.31
1607015070.3551,180,33.44
1607015071.9738,241,33.50
1607015073.6237,246,33.56
1607015075.2737,238,33.63
1607015076.9251,237,33.75
1607015078.6051,236,33.75
1607015080.3447,238,33.81
1607015081.9742,239,33.88
1607015083.5240,239,33.88
1607015085.1736,247,33.88
1607015086.8239,249,33.94
1607015088.4738,248,33.94
1607015090.1236,248,34.00
1607015091.7736,254,34.00
1607015093.4237,254,34.00
1607015095.0735,253,34.00
1607015096.7236,253,34.00
1607015098.3735,241,34.06
1607015100.0236,239,34.06
1607015101.6735,247,34.06
1607015103.3234,252,34.06
1607015104.9757,251,34.13
1607015106.6267,245,34.13
1607015108.3452,249,34.13
1607015109.9888,248,34.13
1607015111.5735,247,34.19
1607015113.3468,252,34.19
1607015114.8735,251,34.19
1607015116.5234,261,34.19
1607015118.1733,259,34.19
1607015119.8233,259,34.19
1607015121.4734,261,34.25
1607015123.1233,262,34.25
1607015124.7733,263,34.25
1607015126.4533,264,34.25
1607015128.1031,265,34.25
1607015129.7832,266,34.31
1607015131.4031,267,34.31
1607015133.0531,267,34.31
1607015134.7143,268,34.31
1607015136.3560,267,34.31
1607015138.0956,266,34.31
1607015139.7461,267,34.31
1607015141.4260,290,34.31
1607015142.9534,294,34.31
1607015144.6031,268,34.31
1607015146.2533,261,34.38
1607015147.9030,258,34.31
1607015149.5530,257,34.38
1607015151.2029,257,34.38
1607015152.8530,272,34.38
1607015154.5028,278,34.38
1607015156.1529,286,34.38
1607015157.8028,286,34.38
1607015159.4528,285,34.38
1607015161.1028,286,34.38
1607015162.7553,285,34.38
1607015164.4634,282,34.44
1607015166.1162,282,34.44
1607015167.8248,271,34.44
1607015169.4744,271,34.44
1607015171.0030,269,34.44
1607015172.6529,269,34.44
1607015174.3028,269,34.44
1607015175.9528,266,34.44
1607015177.6027,265,34.44
1607015179.2526,261,34.44
1607015180.9027,261,34.50
1607015182.5528,260,34.50
1607015184.2027,268,34.50
1607015185.8526,245,34.50
1607015187.5026,261,34.50
1607015189.1526,261,34.50
1607015190.8347,260,34.50
1607015192.7716,260,34.50
1607015194.4281,260,34.50
1607015196.0948,258,34.50
1607015197.8744,258,34.56
1607015199.0827,254,34.56
1607015200.7329,255,34.56
1607015202.3827,250,34.50
1607015204.0328,264,34.56
1607015205.6824,267,34.56
1607015207.3325,262,34.56
1607015208.9824,255,34.56
1607015210.6323,255,34.56
1607015212.2824,253,34.56
1607015213.9323,241,34.63
1607015215.5823,240,34.56
1607015217.2323,247,34.56
1607015218.8823,248,34.56
1607015220.5362,240,34.56
1607015222.2540,286,34.63
1607015223.8941,274,34.63
1607015225.6050,279,34.63
1607015227.2553,302,34.63
1607015228.7824,326,34.63
1607015230.4324,323,34.63
1607015232.0823,326,34.63
1607015233.7324,344,34.63
1607015235.3822,363,34.69
1607015237.0322,352,34.63
1607015238.6822,321,34.69
1607015240.3325,317,34.69
1607015241.9822,318,34.69
1607015243.6321,317,34.63
1607015245.2822,318,34.69
1607015246.9320,318,34.69
1607015248.6140,282,34.63
1607015250.2629,320,34.69
1607015251.9836,309,34.69
1607015253.6546,295,34.69
1607015255.1821,311,34.69
1607015256.8321,277,34.69
1607015258.4820,292,34.69
1607015260.1320,293,34.69
1607015261.8119,290,34.69
1607015263.4619,292,34.69
1607015265.1118,276,34.69
1607015266.7618,287,34.69
1607015268.4118,297,34.69
1607015270.0617,285,34.69
1607015271.7118,288,34.69
1607015273.3618,288,34.69
1607015275.0117,290,34.69
1607015276.6618,285,34.69
1607015278.3148,267,34.69
1607015280.0306,263,34.69
1607015281.6735,294,34.69
1607015283.3810,335,34.69
1607015285.0344,336,34.69
1607015286.5619,337,34.69
1607015288.2118,335,34.69
1607015289.8617,340,34.69
1607015291.5117,340,34.69
1607015293.1616,320,34.69
1607015294.8116,239,34.69
1607015296.4616,235,34.69
1607015298.1417,232,34.63
1607015299.7618,231,34.56
1607015301.4115,229,34.50
1607015303.0914,230,34.50
1607015304.7115,230,34.50
1607015306.3945,231,34.44
1607015308.0436,230,34.44
1607015309.7534,230,34.38
1607015311.4350,229,34.38
1607015313.1144,230,34.38
1607015314.6126,229,34.31
1607015316.2614,229,34.31
1607015317.9114,230,34.31