Time,ECG
1607015029.6609,5585
1607015029.6637,6410
1607015029.6663,7192
1607015029.6690,7674
1607015029.6710,8144
1607015029.6728,8606
1607015029.6749,8931
1607015029.6767,9231
1607015029.6787,9522
1607015029.6809,9735
1607015029.6833,9931
1607015029.6865,10124
1607015029.6887,10294
1607015029.6911,10468
1607015029.6928,10618
1607015029.6948,10710
1607015029.6968,10800
1607015029.6987,10902
1607015029.7009,10979
1607015029.7027,11040
1607015029.7047,11105
1607015029.7068,11187
1607015029.7088,11277
1607015029.7108,11320
1607015029.7128,11337
1607015029.7147,11369
1607015029.7168,11408
1607015029.7189,11461
1607015029.7207,11502
1607015029.7227,11468
1607015029.7247,11437
1607015029.7267,11490
1607015029.7287,11533
1607015029.7308,11502
1607015029.7327,11466
1607015029.7347,11444
1607015029.7369,11383
1607015029.7387,11318
1607015029.7407,11286
1607015029.7427,11240
1607015029.7447,11182
1607015029.7467,11148
1607015029.7487,11100
1607015029.7508,11052
1607015029.7527,11052
1607015029.7547,11020
1607015029.7567,10962
1607015029.7588,10952
1607015029.7607,10921
1607015029.7626,10822
1607015029.7649,10766
1607015029.7667,10756
1607015029.7686,10662
1607015029.7706,10534
1607015029.7726,10534
1607015029.7746,10572
1607015029.7766,10478
1607015029.7786,10345
1607015029.7807,10284
1607015029.7826,10243
1607015029.7846,10156
1607015029.7866,10057
1607015029.7888,10020
1607015029.7907,10003
1607015029.7926,9931
1607015029.7946,9836
1607015029.7966,9766
1607015029.7986,9708
1607015029.8006,9626
1607015029.8026,9531
1607015029.8046,9456
1607015029.8066,9425
1607015029.8086,9391
1607015030.1986,9292
1607015030.1997,9200
1607015030.2022,9132
1607015030.2048,9045
1607015030.2068,8974
1607015030.2088,8924
1607015030.2108,8858
1607015030.2129,8790
1607015030.2150,8713
1607015030.2168,8621
1607015030.2188,8546
1607015030.2209,8493
1607015030.2228,8420
1607015030.2248,8306
1607015030.2268,8238
1607015030.2288,8197
1607015030.2308,8086
1607015030.2327,7984
1607015030.2347,7928
1607015030.2367,7861
1607015030.2387,7776
1607015030.2408,7713
1607015030.2428,7682
1607015030.2448,7740
1607015030.2468,7936
1607015030.2487,8062
1607015030.2508,7783
1607015030.2527,7139
1607015030.2549,6708
1607015030.2568,6815
1607015030.2587,7006
1607015030.2607,6982
1607015030.2627,6924
1607015030.2648,6858
1607015030.2668,6776
1607015030.2688,6728
1607015030.2708,6667
1607015030.2727,6587
1607015030.2747,6512
1607015030.2767,6430
1607015030.2787,6372
1607015030.2808,6343
1607015030.2827,6299
1607015030.2847,6226
1607015030.2867,6149
1607015030.2887,6088
1607015030.2907,6028
1607015030.2927,5953
1607015030.2947,5875
1607015030.2967,5820
1607015030.2987,5791
1607015030.3007,5745
1607015030.3027,5672
1607015030.3047,5599
1607015030.3067,5573
1607015030.3087,5578
1607015030.3107,5539
1607015030.3127,5457
1607015030.3147,5384
1607015030.3167,5340
1607015030.3187,5323
1607015030.3207,5292
1607015030.3228,5217
1607015030.3247,5135
1607015030.3267,5055
1607015030.3287,4987
1607015030.3307,4929
1607015030.3327,4844
1607015030.3347,4752
1607015030.3367,4679
1607015030.3387,4614
1607015030.3407,4554
1607015030.3428,4483
1607015030.7693,4440
1607015030.7703,4420
1607015030.7727,4360
1607015030.7753,4294
1607015030.7774,4270
1607015030.7793,4229
1607015030.7817,4178
1607015030.7834,4140
1607015030.7853,4084
1607015030.7873,4026
1607015030.7894,3980
1607015030.7914,3914
1607015030.7934,3890
1607015030.7953,3885
1607015030.7973,3805
1607015030.7994,3713
1607015030.8013,3672
1607015030.8033,3658
1607015030.8053,3646
1607015030.8073,3597
1607015030.8093,3520
1607015030.8114,3488
1607015030.8133,3459
1607015030.8153,3389
1607015030.8173,3358
1607015030.8193,3341
1607015030.8213,3258
1607015030.8233,3212
1607015030.8253,3249
1607015030.8273,3229
1607015030.8293,3132
1607015030.8313,3077
1607015030.8333,3072
1607015030.8353,3069
1607015030.8373,3019
1607015030.8393,2963
1607015030.8413,2958
1607015030.8432,2931
1607015030.8452,2895
1607015030.8472,2888
1607015030.8493,2852
1607015030.8513,2772
1607015030.8533,2723
1607015030.8552,2706
1607015030.8572,2663
1607015030.8592,2609
1607015030.8613,2612
1607015030.8635,2619
1607015030.8653,2571
1607015030.8672,2520
1607015030.8692,2537
1607015030.8713,2711
1607015030.8732,2985
1607015030.8752,3074
1607015030.8773,2735
1607015030.8792,2128
1607015030.8814,1823
1607015030.8835,2021
1607015030.8909,2229
1607015030.8923,2191
1607015030.8942,2147
1607015030.8962,2176
1607015030.8984,2186
1607015030.9003,2174
1607015030.9023,2145
1607015030.9043,2108
1607015030.9063,2086
1607015030.9082,2070
1607015030.9103,2038
1607015030.9122,2009
1607015030.9143,2002
1607015030.9162,2004
1607015030.9182,1985
1607015031.3090,1929
1607015031.3099,1902
1607015031.3125,1929
1607015031.3151,1912
1607015031.3172,1852
1607015031.3192,1847
1607015031.3211,1861
1607015031.3231,1830
1607015031.3250,1818
1607015031.3270,1815
1607015031.3291,1784
1607015031.3312,1757
1607015031.3331,1784
1607015031.3351,1803
1607015031.3371,1762
1607015031.3390,1723
1607015031.3410,1740
1607015031.3429,1752
1607015031.3450,1697
1607015031.3469,1619
1607015031.3489,1619
1607015031.3510,1629
1607015031.3529,1559
1607015031.3549,1481
1607015031.3571,1464
1607015031.3589,1442
1607015031.3609,1406
1607015031.3629,1396
1607015031.3649,1355
1607015031.3669,1321
1607015031.3689,1365
1607015031.3709,1384
1607015031.3729,1331
1607015031.3750,1290
1607015031.3769,1317
1607015031.3791,1346
1607015031.3810,1304
1607015031.3829,1251
1607015031.3849,1244
1607015031.3869,1229
1607015031.3889,1222
1607015031.3909,1239
1607015031.3929,1208
1607015031.3949,1147
1607015031.3969,1157
1607015031.3989,1171
1607015031.4009,1123
1607015031.4029,1087
1607015031.4050,1087
1607015031.4071,1106
1607015031.4091,1120
1607015031.4110,1091
1607015031.4129,1045
1607015031.4149,1058
1607015031.4169,1070
1607015031.4189,1036
1607015031.4209,1012
1607015031.4229,1016
1607015031.4249,1012
1607015031.4269,992
1607015031.4289,985
1607015031.4309,985
1607015031.4329,980
1607015031.4349,982
1607015031.4369,982
1607015031.4389,968
1607015031.4410,970
1607015031.4429,968
1607015031.4449,936
1607015031.4469,927
1607015031.4489,929
1607015031.4510,886
1607015031.4529,835
1607015031.8791,852
1607015031.8799,878
1607015031.8823,847
1607015031.8849,830
1607015031.8869,854
1607015031.8889,825
1607015031.8908,794
1607015031.8929,968
1607015031.8949,1304
1607015031.8968,1445
1607015031.8988,1118
1607015031.9009,527
1607015031.9028,271
1607015031.9050,479
1607015031.9069,658
