Time,HR,RR
1607015028.0382,79,751
1607015029.0313,79,712
1607015030.0458,79,nan
1607015031.0358,80,775
1607015032.0320,80,1557
1607015033.2043,80,794
1607015034.0354,79,803
1607015035.0259,79,754
1607015036.0480,79,754
1607015037.1011,79,793
1607015038.0274,79,780
1607015039.0454,80,755
1607015040.0367,80,682
1607015041.0393,81,782
1607015042.1430,81,719
1607015043.0364,81,736
1607015044.0297,81,741
1607015045.0509,81,726
1607015046.0505,82,780
1607015047.0262,82,730
1607015048.0763,83,688
1607015049.0355,83,755
1607015050.0273,83,706
1607015051.1251,83,714
1607015052.0665,84,673
1607015053.0273,84,727
1607015054.0803,85,668
1607015055.0538,85,775
1607015056.1810,85,713
1607015057.0462,84,765
1607015058.0364,84,702
1607015059.0275,84,728
1607015060.1459,84,699
1607015061.0367,85,724
1607015062.0561,85,729
1607015063.0479,85,720
1607015064.0387,85,759
1607015065.1293,85,753
1607015066.0463,85,801
1607015067.0765,84,743
1607015068.0253,83,831
1607015069.0779,82,745
1607015070.0374,82,721
1607015071.0280,82,739
1607015072.0452,82,695
1607015073.0352,83,703
1607015074.1054,83,738
1607015075.0456,83,847
1607015076.0355,83,749
1607015077.0251,81,882
1607015078.0451,80,782
1607015079.1469,80,801
1607015080.0256,80,860
1607015081.0753,78,850
1607015082.0351,78,809
1607015083.0526,77,779
1607015084.0454,77,750
1607015085.0353,78,875
1607015086.0250,78,983
1607015087.0450,75,962
1607015088.1453,74,853
1607015089.0253,73,794
1607015090.0450,73,721
1607015091.0350,74,736
1607015092.0466,75,816
1607015093.1560,75,1000
1607015094.0352,74,981
1607015095.0550,73,900
1607015096.0450,72,913
1607015097.1142,71,917
1607015098.0254,71,896
1607015099.0450,71,936
1607015100.0350,70,945
1607015101.0470,70,903
1607015102.1841,70,866
1607015103.0352,69,989
1607015104.0249,68,955
1607015105.0750,68,965
1607015106.0864,67,875
1607015107.0253,67,876
1607015108.0452,68,906
1607015109.0350,68,949
1607015110.0249,67,921
1607015111.1570,67,804
1607015112.0350,68,867
1607015113.0850,69,854
1607015114.0749,69,824
1607015115.0545,69,931
1607015116.1719,69,978
1607015117.0449,69,968
1607015118.0347,68,946
1607015119.0248,68,930
1607015120.1246,67,924
1607015121.0348,67,866
1607015122.0247,67,959
1607015123.0446,67,908
1607015124.0532,67,911
1607015125.1957,67,944
1607015126.0448,67,903
1607015127.0348,67,908
1607015128.0246,67,996
