Time,ECG
1607014274.0836,1050
1607014274.0852,3062
1607014274.0869,4745
1607014274.0889,5524
1607014274.0909,6299
1607014274.0929,7130
1607014274.0949,7662
1607014274.0969,8125
1607014274.0989,8614
1607014274.1011,8970
1607014274.1032,9255
1607014274.1059,9551
1607014274.1081,9798
1607014274.1102,10006
1607014274.1119,10224
1607014274.1139,10408
1607014274.1159,10534
1607014274.1179,10647
1607014274.1200,10776
1607014274.1220,10906
1607014274.1239,11015
1607014274.1259,11078
1607014274.1279,11136
1607014274.1299,11219
1607014274.1319,11284
1607014274.1339,11313
1607014274.1359,11362
1607014274.1379,11408
1607014274.1398,11420
1607014274.1419,11449
1607014274.1438,11483
1607014274.1458,11473
1607014274.1478,11473
1607014274.1498,11512
1607014274.1520,11519
1607014274.1539,11487
1607014274.1558,11475
1607014274.1578,11478
1607014274.1598,11478
1607014274.1618,11483
1607014274.1638,11478
1607014274.1659,11444
1607014274.1678,11398
1607014274.1698,11366
1607014274.1718,11342
1607014274.1739,11306
1607014274.1758,11238
1607014274.1778,11173
1607014274.1797,11134
1607014274.1818,11095
1607014274.1840,11049
1607014274.1858,10991
1607014274.1877,10928
1607014274.1898,10899
1607014274.1917,11032
1607014274.1938,11335
1607014274.1957,11492
1607014274.1978,11165
1607014274.1998,10434
1607014274.2018,9943
1607014274.2037,10090
1607014274.2058,10337
1607014274.2078,10291
1607014274.2097,10226
1607014274.2117,10243
1607014274.2137,10190
1607014274.2157,10086
1607014274.2177,10030
1607014274.2197,9984
1607014274.2218,9897
1607014274.2237,9817
1607014274.2257,9759
1607014274.2277,9689
1607014274.6232,9611
1607014274.6248,9546
1607014274.6273,9480
1607014274.6299,9393
1607014274.6318,9325
1607014274.6338,9282
1607014274.6359,9209
1607014274.6378,9115
1607014274.6399,9047
1607014274.6419,8984
1607014274.6438,8907
1607014274.6458,8832
1607014274.6478,8781
1607014274.6499,8742
1607014274.6518,8662
1607014274.6538,8570
1607014274.6558,8519
1607014274.6578,8464
1607014274.6599,8381
1607014274.6618,8313
1607014274.6638,8255
1607014274.6658,8183
1607014274.6678,8108
1607014274.6699,8020
1607014274.6718,7921
1607014274.6738,7832
1607014274.6758,7737
1607014274.6778,7636
1607014274.6801,7544
1607014274.6818,7461
1607014274.6838,7398
1607014274.6858,7330
1607014274.6878,7231
1607014274.6898,7144
1607014274.6920,7100
1607014274.6938,7045
1607014274.6958,6970
1607014274.6978,6914
1607014274.6998,6851
1607014274.7017,6771
1607014274.7037,6708
1607014274.7057,6640
1607014274.7077,6575
1607014274.7098,6532
1607014274.7117,6459
1607014274.7137,6367
1607014274.7157,6306
1607014274.7177,6251
1607014274.7198,6171
1607014274.7217,6098
1607014274.7237,6033
1607014274.7257,5958
1607014274.7277,5902
1607014274.7298,5863
1607014274.7317,5788
1607014274.7337,5706
1607014274.7357,5658
1607014274.7377,5612
1607014274.7397,5541
1607014274.7417,5461
1607014274.7437,5401
1607014274.7457,5357
1607014274.7477,5309
1607014274.7498,5246
1607014274.7518,5193
1607014274.7537,5139
1607014274.7557,5069
1607014274.7577,5011
1607014274.7598,4948
1607014274.7617,4892
1607014274.7637,4871
1607014274.7657,4822
1607014274.7677,4740
1607014275.1633,4696
1607014275.1643,4658
1607014275.1667,4587
1607014275.1693,4527
1607014275.1713,4476
1607014275.1733,4435
1607014275.1758,4406
1607014275.1773,4372
1607014275.1793,4328
1607014275.1813,4297
1607014275.1833,4258
1607014275.1853,4188
1607014275.1873,4125
1607014275.1893,4064
1607014275.1913,4002
1607014275.1933,3968
1607014275.1953,3914
1607014275.1973,3849
1607014275.1993,3820
1607014275.2013,3784
1607014275.2032,3733
1607014275.2053,3692
1607014275.2073,3648
1607014275.2093,3738
1607014275.2113,4052
1607014275.2134,4282
1607014275.2153,4011
1607014275.2172,3292
1607014275.2192,2808
1607014275.2213,2980
1607014275.2233,3246
1607014275.2253,3195
1607014275.2273,3142
1607014275.2294,3200
1607014275.2312,3183
1607014275.2332,3115
1607014275.2352,3086
1607014275.2373,3055
1607014275.2392,2992
1607014275.2412,2975
1607014275.2432,2990
1607014275.2452,2939
1607014275.2472,2859
1607014275.2493,2847
1607014275.2512,2864
1607014275.2532,2825
1607014275.2553,2752
1607014275.2573,2726
1607014275.2593,2730
1607014275.2614,2701
1607014275.2632,2646
1607014275.2652,2631
1607014275.2673,2622
1607014275.2692,2592
1607014275.2713,2568
