Time,HR,RR
1607014273.0064,69,1019
1607014274.0519,68,969
1607014275.0098,67,958
1607014275.9997,67,905
1607014277.0196,67,906
1607014278.1272,67,940
1607014279.0008,67,954
1607014280.0198,67,1010
1607014281.0096,67,982
1607014282.0297,66,984
1607014283.1387,66,930
1607014284.0097,66,870
1607014284.9996,66,865
1607014286.0196,67,844
1607014287.1048,67,911
1607014288.0298,68,943
1607014289.0494,68,950
1607014290.0096,67,981
1607014291.0302,67,973
1607014292.1313,67,895
1607014293.0099,67,894
1607014293.9995,67,770
1607014295.0195,68,754
1607014296.0689,69,842
1607014297.0000,71,790
1607014298.0195,71,941
1607014299.0095,71,874
1607014299.9993,70,958
1607014301.1388,70,995
1607014302.0099,69,923
1607014302.9994,69,982
1607014304.0192,68,927
1607014305.0305,68,900
1607014305.9996,68,1050
1607014307.0195,67,1031
1607014308.0092,67,1003
1607014308.9991,66,1032
1607014310.0716,65,1006
1607014311.0096,65,1004
1607014311.9991,65,982
1607014313.0192,64,927
1607014314.0310,64,935
1607014315.1708,65,872
1607014316.0195,65,904
1607014317.0092,65,906
1607014317.9993,66,883
1607014319.0710,66,907
1607014320.0097,67,868
1607014321.0291,67,879
1607014322.0190,68,887
1607014323.0089,68,950
1607014324.1087,68,932
1607014325.0191,67,863
1607014326.0089,68,862
1607014326.9989,68,848
1607014328.0702,69,863
1607014329.0092,69,824
1607014329.9989,69,813
1607014331.0187,70,863
1607014332.0087,71,919
1607014333.0813,71,866
1607014334.0191,71,953
1607014335.0087,70,925
1607014335.9988,70,821
1607014337.0187,70,829
1607014338.0090,71,810
1607014338.9987,71,789
1607014340.0187,72,805
1607014341.0086,72,868
1607014342.1095,72,913
1607014343.0193,72,794
1607014344.0087,73,761
1607014344.9986,73,812
1607014346.0187,74,777
1607014347.1222,74,771
1607014347.9993,75,773
1607014349.0189,75,838
1607014350.0086,75,899
1607014351.0202,75,1007
1607014352.0190,74,979
1607014353.0088,72,969
1607014354.0284,71,893
1607014355.0184,71,844
1607014356.0885,71,762
1607014356.9988,72,803
1607014358.0186,73,835
1607014359.0083,73,784
1607014360.0195,73,855
1607014361.1279,73,960
1607014362.0085,73,896
1607014362.9983,72,887
1607014364.0182,72,838
1607014365.0892,72,774
1607014365.9985,73,752
1607014367.0183,74,785
1607014368.0081,74,826
1607014369.0192,74,956
1607014370.0991,73,820
1607014371.0084,73,851
1607014371.9982,73,840
1607014373.0179,73,871
1607014374.0285,73,822
1607014374.9983,73,891
1607014376.0180,73,903
1607014377.0080,72,847
1607014377.9980,71,1060
1607014379.1072,70,1007
1607014380.0083,69,1008
1607014380.9979,68,934
1607014382.0178,68,933
1607014383.0577,68,970
1607014384.1389,67,937
1607014385.0180,67,995
1607014386.0079,67,940
1607014387.0278,66,1013
1607014388.0372,66,916
1607014389.0080,66,765
1607014389.9980,67,709
1607014391.0178,69,734
1607014392.0350,71,843
1607014393.1378,71,862
1607014394.0181,71,877
1607014395.0379,71,789
1607014395.9976,72,782
1607014397.0372,72,753
1607014398.0082,74,740
1607014398.9977,75,722
1607014400.0175,76,709
1607014401.0074,77,872
1607014402.1067,77,790
1607014403.0178,77,919
1607014404.0074,76,861
1607014404.9974,75,799
1607014406.0468,75,713
1607014407.1483,76,693
1607014407.9975,77,687
1607014409.0173,78,757
1607014410.0073,78,1041
1607014411.0460,77,892
1607014412.0177,76,834
1607014413.0073,76,743
1607014413.9973,76,691
