Time,GSR,Temp(C)
1607020808.9518,1,35.38
1607020810.6011,1,35.38
1607020812.2510,1,35.31
1607020813.9010,1,35.31
1607020815.5510,2,35.38
1607020817.2010,2,35.31
1607020818.8510,1,35.31
1607020820.5016,1,35.31
1607020822.1509,1,35.31
1607020823.8083,2,35.31
1607020825.4581,4,35.31
1607020827.1684,4,35.31
1607020828.8146,5,35.31
1607020830.5286,6,35.31
1607020832.1794,8,35.31
1607020833.7010,9,35.31
1607020835.3208,10,35.31
1607020836.9710,11,35.31
1607020838.6210,11,35.31
1607020840.2709,12,35.31
1607020841.9209,14,35.31
1607020843.5709,14,35.31
1607020845.2208,15,35.31
1607020846.8709,16,35.31
1607020848.5208,12,35.38
1607020850.1708,12,35.38
1607020851.8785,13,35.31
1607020853.5280,14,35.31
1607020855.1795,15,35.38
1607020856.8593,16,35.38
1607020858.4207,17,35.38
1607020860.0708,17,35.38
1607020861.7209,18,35.38
1607020863.3706,18,35.38
1607020865.0207,18,35.38
1607020866.6707,17,35.38
1607020868.3206,18,35.38
1607020869.9706,20,35.38
1607020871.6206,21,35.38
1607020873.2706,22,35.38
1607020874.9205,22,35.38
1607020876.5706,22,35.38
1607020878.2205,23,35.38
1607020879.8707,24,35.44
1607020881.5778,25,35.44
1607020883.2274,26,35.44
1607020884.9378,27,35.44
1607020886.5974,28,35.44
1607020888.1207,28,35.44
1607020889.7707,28,35.44
1607020891.4206,29,35.44
1607020893.0707,28,35.44
1607020894.7206,28,35.44
1607020896.3706,25,35.44
1607020898.0205,21,35.44
1607020899.6706,16,35.44
1607020901.3205,15,35.50
1607020902.9705,17,35.44
1607020904.6205,15,35.50
1607020906.2977,10,35.50
1607020907.9484,12,35.50
1607020909.5988,16,35.50
1607020911.3176,19,35.50
1607020912.9882,20,35.50
1607020914.5207,22,35.50
1607020916.1706,24,35.50
1607020917.8204,25,35.50
1607020919.4704,26,35.50
1607020921.1205,27,35.50
1607020922.7705,27,35.50
1607020924.4204,29,35.50
1607020926.0704,30,35.50
1607020927.7205,31,35.50
1607020929.3704,30,35.56
1607020931.0204,31,35.56
1607020932.6704,31,35.56
1607020934.3204,32,35.50
1607020936.0003,30,35.56
1607020937.6578,26,35.56
1607020939.3614,21,35.56
1607020941.0113,20,35.56
1607020942.5706,23,35.56
1607020944.2204,19,35.56
1607020945.8704,20,35.56
1607020947.5206,21,35.56
1607020949.1703,22,35.56
1607020950.8203,20,35.56
1607020952.5003,21,35.56
1607020954.1202,23,35.56
1607020955.7701,19,35.56
1607020957.4202,21,35.56
1607020959.0701,22,35.56
1607020960.7201,24,35.56
1607020962.3764,25,35.63
1607020964.0756,24,35.63
1607020965.7293,25,35.63
1607020967.4073,23,35.63
1607020968.9401,19,35.63
1607020970.5903,11,35.63
1607020972.2401,12,35.63
1607020973.8900,16,35.63
1607020975.5400,19,35.63
1607020977.1900,21,35.63
1607020978.8400,23,35.63
1607020980.4901,25,35.63
1607020982.1400,25,35.63
1607020983.7900,25,35.63
1607020985.4400,23,35.63
1607020987.0900,24,35.63
1607020988.8002,25,35.63
1607020990.4194,26,35.63
1607020992.1352,26,35.63
1607020993.7770,24,35.63
1607020995.3402,23,35.63
1607020996.9901,24,35.63
1607020998.6401,25,35.63
1607021000.2900,25,35.63
1607021001.9402,24,35.63