Time,HR,RR
1607020808.9009,76,859
1607020809.8905,75,835
1607020810.9089,75,792
1607020811.9885,75,762
1607020812.8888,75,774
1607020813.9086,76,802
1607020814.8988,76,883
1607020815.9137,75,913
1607020816.9090,74,883
1607020817.8989,74,814
1607020818.8888,74,669
1607020819.9386,76,670
1607020820.9861,77,719
1607020821.8888,80,1264
1607020822.9086,82,1137
1607020823.8985,83,1032
1607020824.8885,82,908
1607020825.9980,79,839
1607020826.8990,79,698
1607020827.8887,80,684
1607020828.9086,81,676
1607020829.9288,82,727
1607020830.8889,83,855
1607020831.9087,82,976
1607020832.8986,78,1012
1607020833.8885,75,987
1607020834.9900,74,799
1607020835.8988,75,693
1607020836.8887,78,667
1607020837.9086,80,709
1607020838.9200,81,801
1607020840.0297,81,873
1607020840.9088,80,956
1607020841.8987,77,952
1607020842.8887,76,874
1607020843.9901,76,841
1607020844.9590,75,807
1607020845.8888,75,812
1607020846.9086,75,833
1607020847.9189,75,923
1607020848.9975,74,925
1607020849.9088,73,874
1607020850.8986,73,808
1607020851.8885,73,804
1607020852.9385,73,841
1607020853.8988,74,860
1607020854.9187,73,862
1607020855.9084,73,878
1607020856.8984,73,867
1607020858.0594,73,864
1607020858.9085,72,868
1607020859.8985,72,899
1607020860.8884,72,890
1607020861.9379,72,916
1607020863.0387,71,942
1607020863.9184,71,914
1607020864.9085,70,921
1607020865.8983,70,851
1607020866.9411,70,849
1607020867.9084,70,838
1607020868.8985,70,848
1607020869.8883,70,846
1607020870.9279,71,938
1607020872.0394,70,997
1607020872.8885,69,932
1607020873.9084,69,894
1607020874.8982,69,855
1607020875.9386,69,793
1607020876.9086,69,805
1607020877.8984,70,842
1607020878.9183,71,951
1607020879.9082,70,1025
1607020881.0099,69,1051
1607020881.8884,68,974
1607020882.9083,67,891
1607020883.8983,67,808
1607020884.9384,67,791
1607020885.9389,68,823
1607020886.8984,69,1291
1607020887.8882,68,1058
1607020888.9082,67,1049
1607020889.9798,66,1076
1607020890.8885,65,1019
1607020891.9085,64,920
1607020892.8985,64,914
1607020893.8882,65,923
1607020894.9086,65,942
1607020895.8984,65,925
1607020896.8884,65,960
1607020897.9082,65,937
1607020898.9470,65,932
1607020899.8884,65,917
1607020900.9084,65,878
1607020901.8983,65,909
1607020902.8882,66,950
1607020903.9875,66,941
1607020904.8984,66,863
1607020905.8884,66,850
1607020906.9083,67,784
1607020907.9458,68,796
1607020908.8882,69,881
1607020909.9084,69,1070
1607020910.8982,69,1093
1607020911.9182,67,998
1607020912.9889,66,967
1607020913.8982,66,823
1607020914.8884,67,799
1607020915.9083,69,788
1607020917.0550,69,801
1607020917.8881,70,779
1607020918.9381,71,796
1607020919.8981,71,854
1607020920.8883,72,948
1607020921.9587,71,934
1607020922.8983,71,978
1607020923.8883,70,1006
1607020924.9082,69,998
1607020925.8982,68,946
1607020926.9972,68,902
1607020927.9084,68,857
1607020928.8982,68,883
1607020929.8882,68,949
1607020930.9296,68,1027
1607020931.8983,68,974
1607020932.8882,67,970
1607020933.8782,66,977
1607020934.8981,66,823
1607020935.9955,67,802
1607020936.9085,68,834
1607020937.8983,68,876
1607020938.8882,69,1022
1607020939.8975,68,1075
1607020941.0096,67,1007
1607020941.8883,67,970
1607020942.8782,66,980
1607020943.8981,66,936
1607020944.9975,66,895
1607020945.8782,66,901
1607020946.8981,66,878
1607020947.8880,67,916
1607020948.8941,67,976
1607020950.0073,67,1007
1607020950.8881,66,946
1607020951.8781,66,918
1607020952.8979,66,887
1607020953.9662,66,833
1607020954.8785,67,877
1607020955.8979,67,1023
1607020956.8879,67,931
1607020957.8779,66,913
1607020959.0367,66,885
1607020959.9180,67,911
1607020960.8778,67,943
1607020961.8978,67,916
1607020962.9474,67,837
1607020963.9081,67,831
1607020964.8980,68,809
1607020965.9178,69,826
1607020966.8778,70,851
1607020967.9468,70,907
1607020968.8879,70,896
1607020969.8779,70,857
1607020970.8977,70,827
1607020971.9099,70,825
1607020973.0172,71,819
1607020973.8977,71,851
1607020974.8878,71,886
1607020975.8777,71,919
1607020976.9584,71,894
1607020977.8879,70,904
1607020978.8777,70,807
1607020979.8977,71,794
1607020980.8879,71,801
1607020982.0188,72,820
1607020982.8980,72,892
1607020983.8878,72,944
1607020984.8778,72,945
1607020985.9485,71,916
1607020986.8882,71,878
1607020987.8779,71,828
1607020988.8978,71,829
1607020989.8878,71,896
1607020990.9896,71,897
1607020991.8982,71,894
1607020992.8879,71,892
1607020993.8778,70,908
1607020994.8977,70,816
1607020995.8881,71,808
1607020996.8780,71,808
1607020997.8978,72,859
1607020998.8878,72,955
1607020999.9575,72,1037
1607021000.8979,70,983
1607021001.8879,69,888
