,hr,rr
1607021408.8865,4.700657894736835,40.75
1607021409.9663,3.7006578947368354,52.25
1607021410.8668,1.7006578947368354,32.25
1607021411.8866,-0.2993421052631646,-46.75
1607021412.9064,-1.2993421052631646,-22.75
1607021413.8921,-1.2993421052631646,-39.75
1607021414.9761,-0.2993421052631646,-16.75
1607021415.9066,-0.2993421052631646,33.25
1607021416.9265,-1.2993421052631646,96.25
1607021417.8864,-1.2993421052631646,6.25
1607021418.9665,-1.2993421052631646,-28.75
1607021419.8668,-1.2993421052631646,-54.75
1607021420.8865,-0.2993421052631646,-135.75
1607021421.8765,0.7006578947368354,-149.75
1607021422.8669,1.7006578947368354,-123.75
1607021423.9761,2.7006578947368354,-39.75
1607021424.8765,2.7006578947368354,48.25
1607021425.8965,2.7006578947368354,92.25
1607021426.8864,0.7006578947368354,83.25
1607021427.9361,-0.2993421052631646,-19.75
1607021428.8667,-0.2993421052631646,-45.75
1607021429.8865,-0.2993421052631646,-63.75
1607021430.8765,0.7006578947368354,-53.75
1607021431.8664,0.7006578947368354,-26.75
1607021432.9771,1.7006578947368354,40.25
1607021433.8767,0.7006578947368354,74.25
1607021434.8663,0.7006578947368354,70.25
1607021435.8863,-0.2993421052631646,73.25
1607021436.8966,-1.2993421052631646,26.25
1607021438.0056,-1.2993421052631646,-32.75
1607021438.8868,-1.2993421052631646,-81.75
1607021439.8764,-0.2993421052631646,-65.75
1607021440.8663,0.7006578947368354,-47.75
1607021441.9043,0.7006578947368354,-27.75
1607021442.8765,0.7006578947368354,8.25
1607021443.8664,0.7006578947368354,73.25
1607021444.8863,-0.2993421052631646,85.25
1607021445.8763,-1.2993421052631646,0.25
1607021446.9856,-1.2993421052631646,-51.75
1607021447.8864,-1.2993421052631646,-68.75
1607021448.9063,-0.2993421052631646,-66.75
1607021449.8963,-0.2993421052631646,-24.75
1607021450.9056,0.7006578947368354,46.25
1607021452.0174,-0.2993421052631646,111.25
1607021452.8663,-0.2993421052631646,89.25
1607021453.8863,-1.2993421052631646,-7.75
1607021454.9062,-1.2993421052631646,-34.75
1607021455.977,-1.2993421052631646,-52.75
1607021456.8865,-0.2993421052631646,-51.75
1607021457.8763,-0.2993421052631646,-52.75
1607021458.8663,-0.2993421052631646,-26.75
1607021459.9159,0.7006578947368354,0.25
1607021461.0161,-0.2993421052631646,46.25
1607021461.8665,-0.2993421052631646,40.25
1607021462.8863,-0.2993421052631646,49.25
1607021463.8763,-1.2993421052631646,-4.75
1607021464.9155,-1.2993421052631646,-43.75
1607021465.8866,-0.2993421052631646,-46.75
1607021466.877,-0.2993421052631646,-39.75
1607021467.8663,-0.2993421052631646,-46.75
1607021468.8864,-0.2993421052631646,-26.75
1607021469.9858,0.7006578947368354,2.25
1607021470.8665,-0.2993421052631646,-11.75
