Time,GSR,Temp(C)
1607020132.7171,38,33.75
1607020134.3666,39,33.75
1607020136.0158,40,33.75
1607020137.6658,40,33.81
1607020139.3157,41,33.81
1607020140.9656,40,33.81
1607020142.6524,40,33.88
1607020144.3023,41,33.88
1607020146.0091,42,33.88
1607020147.6892,42,33.94
1607020149.2158,43,33.94
1607020150.8657,44,33.94
1607020152.5156,45,34.00
1607020154.1654,45,33.94
1607020155.8153,46,34.00
1607020157.4653,46,34.00
1607020159.1153,47,34.00
1607020160.7653,48,34.06
1607020162.4151,48,34.06
1607020164.0652,49,34.06
1607020165.7151,49,34.06
1607020167.3681,50,34.13
1607020169.0150,51,34.13
1607020170.6926,51,34.13
1607020172.3719,52,34.13
1607020174.0535,52,34.13
1607020175.6152,53,34.13
1607020177.2652,54,34.19
1607020178.9150,54,34.19
1607020180.5650,55,34.19
1607020182.2149,55,34.19
1607020183.8648,55,34.25
1607020185.5148,56,34.25
1607020187.1647,57,34.25
1607020188.8147,57,34.25
1607020190.4647,58,34.25
1607020192.2160,59,34.31
1607020193.8264,59,34.25
1607020195.5608,60,34.31
1607020197.1106,60,34.31
1607020198.7148,61,34.31
1607020200.4345,61,34.31
1607020202.0469,62,34.31
1607020203.8446,62,34.38
1607020205.4309,63,34.38
1607020206.9643,63,34.38
1607020208.6144,63,34.38
1607020210.2645,64,34.38
1607020211.9142,65,34.38
1607020213.5641,65,34.38
1607020215.2140,66,34.44
1607020216.8639,66,34.44
1607020218.5140,67,34.44
1607020220.1639,66,34.44
1607020221.8139,67,34.44
1607020223.4639,67,34.44
1607020225.1138,68,34.44
1607020226.7902,68,34.50
1607020228.4792,67,34.50
1607020230.1805,68,34.50
1607020231.8311,68,34.50
1607020233.3638,68,34.50
1607020235.0137,68,34.56
1607020236.6637,67,34.50
1607020238.3136,68,34.56
1607020239.9635,67,34.56
1607020241.6135,67,34.56
1607020243.2635,68,34.56
1607020244.9135,69,34.56
1607020246.5635,70,34.56
1607020248.2134,70,34.56
1607020249.8634,70,34.56
1607020251.5434,70,34.63
1607020253.2503,70,34.63
1607020254.8403,71,34.63
1607020256.5509,71,34.63
1607020258.1999,70,34.63
1607020259.7333,65,34.63
1607020261.3834,62,34.63
1607020263.0331,63,34.63
1607020264.7131,63,34.69
1607020266.3331,61,34.69
1607020267.9830,59,34.69
1607020269.6329,57,34.69
1607020271.2829,52,34.69
1607020272.9328,46,34.69
1607020274.5828,47,34.69
1607020276.2327,51,34.69
1607020277.8827,53,34.69
1607020279.5326,54,34.75
1607020281.2109,54,34.75
1607020282.8909,56,34.75
1607020284.6018,57,34.69
1607020286.2513,58,34.75
1607020287.7826,59,34.75
1607020289.4326,60,34.75
1607020291.0825,60,34.75
1607020292.7326,61,34.75
1607020294.3823,61,34.75
1607020296.0324,61,34.75
1607020297.6822,62,34.75
1607020299.3322,62,34.81
1607020300.9822,62,34.75
1607020302.6322,62,34.81
1607020304.2821,60,34.81
1607020305.9321,57,34.81
1607020307.6112,58,34.81
1607020309.2610,54,34.81
1607020310.9726,52,34.81
1607020312.6288,55,34.81
1607020314.1819,57,34.81
1607020315.8320,57,34.81
1607020317.4819,55,34.81
1607020319.1319,55,34.88
1607020320.7820,55,34.88
1607020322.4319,56,34.88
1607020324.0818,57,34.88
1607020325.7318,58,34.88
1607020327.3817,59,34.88
1607020329.0317,59,34.88
1607020330.6816,60,34.88
1607020332.3316,60,34.88
1607020333.9816,59,34.88
1607020335.6317,59,34.94
1607020337.3450,59,34.88
1607020339.0203,60,34.88
1607020340.6999,60,34.94
1607020342.2316,60,34.94
1607020343.8815,61,34.94
1607020345.5316,61,34.94
1607020347.1814,62,34.94
1607020348.8313,62,34.94
1607020350.4814,63,34.94
1607020352.1313,63,34.94
1607020353.7813,64,34.94
1607020355.4312,64,34.94
1607020357.0812,64,34.94
1607020358.7311,64,34.94
1607020360.3811,64,34.94
1607020362.0312,64,35.00
1607020363.7181,65,35.00
1607020365.3877,65,35.00
1607020367.0383,65,35.00
1607020368.7483,65,35.00
1607020370.3982,66,35.00
1607020371.9310,66,35.00
1607020373.5810,66,35.00
1607020375.2308,66,35.00
1607020376.8808,67,35.00
1607020378.5308,67,35.00
1607020380.1806,67,35.00
1607020381.8007,66,35.00
1607020383.4506,66,35.00
1607020385.1006,66,35.00
1607020386.7505,67,35.00
1607020388.4373,68,35.00
1607020390.0504,68,35.00
1607020391.7584,68,35.00
1607020393.4388,69,35.00
1607020395.1198,69,35.00