Time,GSR,Temp(C)
1607020469.2159,1,35.06
1607020470.8659,1,35.06
1607020472.5712,1,35.06
1607020474.1856,1,35.06
1607020475.9638,1,35.06
1607020477.5429,1,35.06
1607020479.2602,2,35.06
1607020480.7652,4,35.06
1607020482.4166,5,35.13
1607020484.0662,6,35.06
1607020485.6865,7,35.06
1607020487.3350,7,35.06
1607020488.9855,8,35.13
1607020490.6346,10,35.13
1607020492.2849,10,35.13
1607020493.9349,11,35.13
1607020495.5849,8,35.13
1607020497.2436,7,35.13
1607020498.8946,4,35.13
1607020500.5646,3,35.13
1607020502.2512,5,35.13
1607020503.9779,6,35.13
1607020505.5985,4,35.13
1607020507.1354,6,35.19
1607020508.7844,9,35.13
1607020510.4352,10,35.19
1607020512.0853,8,35.19
1607020513.7358,6,35.19
1607020515.3852,5,35.19
1607020517.0364,6,35.19
1607020518.6857,7,35.19
1607020520.3355,8,35.19
1607020521.9844,11,35.19
1607020523.6493,13,35.19
1607020525.2867,14,35.19
1607020526.9927,15,35.19
1607020528.6287,15,35.19
1607020530.3365,11,35.19
1607020531.9739,8,35.25
1607020533.5049,10,35.25
1607020535.1548,12,35.25
1607020536.8048,14,35.25
1607020538.4543,14,35.25
1607020540.1037,14,35.25
1607020541.7536,14,35.25
1607020543.4036,15,35.25
1607020545.0535,8,35.25
1607020546.7035,3,35.25
1607020548.3534,3,35.31
1607020550.0033,1,35.25
1607020551.6533,1,35.31
1607020553.3166,1,35.31
1607020554.9938,2,35.31
1607020556.6759,5,35.31
1607020558.3574,6,35.31
1607020559.9034,5,35.31
1607020561.5536,5,35.31
1607020563.2043,7,35.31
1607020564.8531,9,35.31
1607020566.5031,8,35.31
1607020568.1530,5,35.31
1607020569.8030,3,35.31
1607020571.4529,5,35.31
1607020573.0730,7,35.38
1607020574.7228,10,35.31
1607020576.3728,11,35.31
1607020578.0228,13,35.38
1607020579.6728,14,35.31
1607020581.3643,15,35.38
1607020583.0145,15,35.38
1607020584.7238,15,35.38
1607020586.3749,12,35.38
1607020587.9226,7,35.38
1607020589.5725,1,35.38
1607020591.2224,1,35.38
1607020592.8724,1,35.38
1607020594.5224,3,35.38
1607020596.1723,7,35.38
1607020597.8222,10,35.38
1607020599.4724,12,35.44
1607020601.1221,14,35.44
1607020602.7739,13,35.44
1607020604.4221,11,35.44
1607020606.0721,10,35.44
1607020607.7334,10,35.44
1607020609.3849,12,35.44
1607020611.1918,13,35.44
1607020612.8511,15,35.44
1607020614.4009,16,35.44
1607020616.0510,14,35.44
1607020617.7011,13,35.44
1607020619.3510,15,35.44
1607020621.0009,15,35.44
1607020622.6509,16,35.44
1607020624.3012,17,35.44
1607020625.9511,17,35.44
1607020627.6308,14,35.44
1607020629.2509,11,35.44
1607020630.9009,12,35.44
1607020632.5509,15,35.44
1607020634.2008,16,35.44
1607020635.8646,15,35.44
1607020637.5750,16,35.44
1607020639.2251,15,35.44
1607020640.9363,15,35.44
1607020642.5903,10,35.44
1607020644.1010,7,35.44
1607020645.7511,6,35.44
1607020647.4010,7,35.44
1607020649.0210,8,35.44
1607020650.6719,10,35.44
1607020652.3208,12,35.44
1607020653.9707,12,35.44
1607020655.6207,13,35.44
1607020657.2708,14,35.44
1607020658.9207,13,35.44
1607020660.5707,15,35.44
1607020662.2346,15,35.44
1607020663.8849,15,35.44
1607020665.5950,15,35.44
1607020667.2716,15,35.44
1607020668.8209,16,35.44
1607020670.4711,14,35.44
1607020672.1208,14,35.44
1607020673.7708,15,35.44
1607020675.4207,16,35.44
1607020677.0708,15,35.44
1607020678.7207,11,35.44
1607020680.3707,5,35.44
1607020682.0206,2,35.44
1607020683.6706,3,35.44
1607020685.3206,7,35.44
1607020686.9706,6,35.44
1607020688.6206,5,35.44
1607020690.2817,1,35.44
1607020691.9948,1,35.44
1607020693.6416,1,35.44
1607020695.3523,1,35.44
1607020697.0048,1,35.44
1607020698.5207,1,35.44
1607020700.1706,1,35.44
1607020701.8208,1,35.50
1607020703.4405,1,35.44
1607020705.0905,1,35.44
1607020706.7405,1,35.44
1607020708.3905,1,35.44
1607020710.0404,1,35.44
1607020711.6905,1,35.50
1607020713.3416,3,35.44
1607020715.0066,2,35.50
1607020716.6511,2,35.50
1607020718.4003,1,35.50
1607020720.0155,1,35.50
1607020721.7217,1,35.50
1607020723.4022,1,35.50
1607020724.8906,1,35.50
1607020726.5406,1,35.50
1607020728.1904,1,35.50
1607020729.8404,0,35.50
1607020731.4904,1,35.50
1607020733.1404,1,35.50
1607020734.7903,1,35.50
1607020736.4104,2,35.50
1607020738.0604,4,35.50
1607020739.7104,4,35.50
1607020741.3603,5,35.50
1607020743.0265,3,35.50
1607020744.6912,3,35.50
1607020746.4437,3,35.50
1607020748.0635,3,35.50
1607020749.6105,5,35.50
1607020751.2605,2,35.50