Time,HR,RR
1607169367.8264,52,946
1607169368.8150,53,1213
1607169369.8338,53,nan
1607169370.8237,53,1401
1607169371.8435,53,1408
1607169372.9832,52,1379
1607169373.8236,52,nan
1607169374.8137,51,1266
1607169375.8338,51,1385
1607169376.8836,50,1450
1607169377.8141,50,1415
1607169378.8641,50,nan
1607169379.8236,49,1289
1607169380.8136,49,1132
1607169381.8873,49,nan
1607169382.8238,49,1233
1607169383.8137,49,1866
1607169384.8337,49,nan
1607169385.8237,48,1588
1607169386.8142,47,1416
1607169387.8341,47,nan
1607169388.8237,46,1438
1607169389.8137,46,1486
1607169390.9536,46,1470
1607169391.8241,46,nan
1607169392.8138,45,1370
1607169393.8337,45,1443
1607169394.8237,45,nan
1607169395.9333,45,1438
1607169396.8339,45,1374
1607169397.8237,45,1385
1607169398.8137,45,nan
1607169399.8855,45,1481
1607169400.8241,44,1453
1607169401.8138,44,nan
1607169402.8338,44,1412
1607169403.8237,44,1533
1607169404.8942,44,nan
1607169405.8342,44,1487
1607169406.8237,44,1364
1607169407.8138,44,nan
1607169408.8338,43,1538
1607169409.8244,43,1580
1607169410.8139,43,nan
1607169411.8338,43,1434
1607169412.8238,43,1635
1607169413.8951,43,1567
1607169414.8348,43,nan
1607169415.8239,42,1322
1607169416.8137,42,1586
1607169417.8556,42,nan
1607169418.9648,42,1513
1607169419.8139,42,1465
1607169420.8337,42,nan
1607169421.8236,42,1460
1607169422.8336,42,1571
1607169423.8339,42,nan
1607169424.8237,42,1451
1607169425.8137,42,1480
1607169426.8335,42,1523
1607169427.9048,42,nan
1607169428.8138,42,1420
1607169429.8336,42,1396
1607169430.8537,42,nan
1607169431.8328,42,1589
1607169432.9450,42,1452
1607169433.8239,42,1405
1607169434.8136,42,1405
1607169435.8336,42,nan
1607169436.9051,42,1242
1607169437.8451,42,1053
1607169438.8337,42,nan
1607169439.8236,44,1287
1607169440.8332,45,1581
1607169441.9452,44,1404
1607169442.8237,44,nan
1607169443.8135,44,1451
1607169444.8335,44,1486
1607169445.9042,44,1335
1607169446.8140,44,nan
1607169447.8339,44,1268
1607169448.8236,44,1344
1607169449.8138,44,1272
1607169450.9137,45,1188
1607169451.8238,45,nan
1607169452.8136,45,1314
1607169453.8336,46,1462
1607169454.8453,45,1332
1607169455.9547,45,nan
1607169456.8337,45,1264
1607169457.8236,46,1469
1607169458.8136,46,1379
1607169459.8845,46,nan
1607169460.8240,45,1412
1607169461.8137,45,1408
1607169462.8336,45,1330
1607169463.8543,45,nan
1607169465.2257,45,1324
1607169465.8400,45,1392
1607169466.9221,45,nan
1607169468.0486,45,1456
1607169469.1686,45,1421
1607169469.8235,45,1434
1607169470.8438,45,nan
1607169471.8336,45,1404
1607169472.8235,44,1359
1607169473.9550,44,1405
1607169474.8338,44,nan
1607169475.8236,44,1410
1607169476.8136,44,1324
1607169477.8849,44,1367
1607169478.9648,44,nan
1607169479.8138,45,1389
1607169480.8637,45,1346
1607169481.8247,45,1371
1607169482.8954,45,1369
1607169483.8341,45,nan
1607169484.8238,45,1295
1607169485.8136,45,1106
1607169486.8337,45,1342
1607169487.9646,45,nan
1607169488.8140,46,1281
1607169489.8337,46,1319
1607169490.8237,46,1383
1607169491.8655,46,nan
1607169492.8340,46,1353
1607169493.8237,46,1391
1607169494.8137,46,1332
1607169495.8336,46,1304
1607169496.9028,46,nan
1607169497.8139,46,1320
1607169498.8337,46,1340
1607169499.8237,46,1331
1607169500.8640,46,nan
1607169501.8341,46,1396
1607169502.8237,46,1382
1607169503.8437,46,nan
1607169504.8335,46,1398
1607169505.9051,46,1399
1607169506.8139,45,1334
1607169507.8338,45,nan
1607169508.8237,45,1380
1607169509.8137,45,1365
1607169510.8342,45,1387
1607169511.8239,45,1302
1607169512.8138,45,nan
1607169513.8337,45,1302
1607169514.8745,45,1351
1607169515.8139,46,1344
1607169516.8339,46,nan
1607169517.8238,46,1325
1607169518.8137,46,1347
1607169519.9146,46,1324
1607169520.8239,46,nan
1607169521.8138,46,1348
1607169522.8337,46,1402
1607169523.8243,46,1344
1607169524.8144,46,nan
1607169525.8339,46,1338
1607169526.8239,46,1372
1607169527.8137,46,1302
1607169528.9119,46,1336
1607169529.8240,46,nan
1607169530.8440,46,1375
1607169531.8338,46,1321
1607169532.8238,46,1289
1607169533.9242,46,nan
1607169534.8339,46,1319
1607169535.8239,46,1319
1607169536.8438,46,1254
1607169537.8852,46,1273
1607169538.8240,46,nan
1607169539.8140,46,1331
1607169540.8337,46,1341
1607169541.8236,46,1303
1607169542.9226,46,nan
1607169543.8338,46,1326
1607169544.8238,46,1370
