,ecg
1607170570.99,6893.0
1607170570.9929,7827.0
1607170570.9955,8799.0
1607170570.9986,9395.0
1607170571.0,9909.0
1607170571.002,10443.0
1607170571.004,10838.0
1607170571.006,11174.0
1607170571.008,11516.0
1607170571.01,11796.0
1607170571.012,12013.0
1607170571.014,12226.0
1607170571.016,12416.0
1607170571.018,12554.0
1607170571.02,12653.0
1607170571.022,12716.0
1607170571.0241,12728.0
1607170571.0259,12694.0
1607170571.0281,12638.0
1607170571.03,12585.0
1607170571.032,12549.0
1607170571.034,12518.0
1607170571.036,12494.0
1607170571.038,12491.0
1607170571.04,12503.0
1607170571.0421,12506.0
1607170571.044,12511.0
1607170571.046,12523.0
1607170571.048,12527.0
1607170571.0499,12525.0
1607170571.0519,12520.0
1607170571.0539,12518.0
1607170571.0559,12515.0
1607170571.0579,12494.0
1607170571.0599,12467.0
1607170571.0619,12455.0
1607170571.0639,12436.0
1607170571.0659,12392.0
1607170571.068,12358.0
1607170571.0699,12334.0
1607170571.0719,12289.0
1607170571.074,12235.0
1607170571.076,12209.0
1607170571.078,12182.0
1607170571.0799,12112.0
1607170571.0819,12038.0
1607170571.0839,11992.0
1607170571.0859,11946.0
1607170571.088,11886.0
1607170571.0898,11823.0
1607170571.0921,11772.0
1607170571.0939,11717.0
1607170571.0958,11647.0
1607170571.0979,11577.0
1607170571.0999,11519.0
1607170571.1018,11466.0
1607170571.1038,11401.0
1607170571.1058,11323.0
1607170571.1079,11253.0
1607170571.1099,11195.0
1607170571.1118,11125.0
1607170571.1138,11048.0
1607170571.1158,10983.0
1607170571.1179,10918.0
1607170571.1198,10838.0
1607170571.1218,10761.0
1607170571.1238,10691.0
1607170571.1259,10628.0
1607170571.1279,10558.0
1607170571.1298,10472.0
1607170571.1318,10387.0
1607170571.1338,10322.0
1607170571.1358,10245.0
1607170571.5281,10163.0
1607170571.529,10098.0
1607170571.5315,10023.0
1607170571.5341,9934.0
1607170571.5361,9854.0
1607170571.5381,9789.0
1607170571.5402,9712.0
1607170571.5422,9629.0
1607170571.5441,9550.0
1607170571.5461,9487.0
1607170571.5482,9420.0
1607170571.5501,9311.0
1607170571.5521,9217.0
1607170571.5541,9161.0
1607170571.5561,9084.0
1607170571.5581,8988.0
1607170571.5601,8918.0
1607170571.562,8853.0
1607170571.5641,8770.0
1607170571.5661,8688.0
1607170571.5681,8616.0
1607170571.57,8541.0
1607170571.5721,8462.0
1607170571.5741,8382.0
1607170571.5763,8312.0
1607170571.5781,8244.0
1607170571.58,8167.0
1607170571.582,8085.0
1607170571.5842,8006.0
1607170571.5861,7933.0
1607170571.5881,7858.0
1607170571.5901,7784.0
1607170571.5921,7714.0
1607170571.5941,7644.0
1607170571.596,7574.0
1607170571.5981,7501.0
1607170571.6,7422.0
1607170571.6021,7342.0
1607170571.604,7270.0
1607170571.6061,7202.0
1607170571.608,7130.0
1607170571.6101,7062.0
1607170571.612,6990.0
1607170571.614,6915.0
1607170571.616,6847.0
1607170571.618,6780.0
1607170571.62,6710.0
1607170571.622,6640.0
1607170571.6241,6575.0
1607170571.626,6510.0
1607170571.6281,6437.0
1607170571.63,6370.0
1607170571.632,6307.0
1607170571.634,6239.0
1607170571.636,6169.0
1607170571.638,6123.0
1607170571.64,6090.0
1607170571.6421,6037.0
1607170571.644,5974.0
1607170571.646,5904.0
1607170571.6481,5817.0
1607170571.65,5733.0
1607170571.652,5670.0
1607170571.654,5619.0
1607170571.656,5564.0
1607170571.6581,5501.0
1607170571.6601,5443.0
1607170571.662,5388.0
1607170571.664,5322.0
1607170571.666,5257.0
1607170571.6681,5264.0
1607170571.67,5508.0
1607170571.672,6080.0
1607170572.1286,6551.0
1607170572.1295,6254.0
1607170572.132,5180.0
1607170572.1346,4227.0
1607170572.1366,4186.0
1607170572.1386,4599.0
1607170572.141,4688.0
1607170572.1426,4613.0
1607170572.1446,4623.0
1607170572.1466,4584.0
1607170572.1487,4521.0
1607170572.1505,4497.0
1607170572.1526,4463.0
1607170572.1545,4413.0
1607170572.1565,4377.0
1607170572.1586,4343.0
1607170572.1606,4299.0
1607170572.1625,4266.0
1607170572.1645,4234.0
1607170572.1665,4193.0
1607170572.1686,4150.0
1607170572.1705,4123.0
1607170572.1725,4099.0
1607170572.1746,4070.0
1607170572.1766,4044.0
1607170572.1785,4024.0
1607170572.1805,4007.0
1607170572.1825,3993.0
1607170572.1845,3981.0
1607170572.1865,3964.0
1607170572.1885,3962.0
1607170572.1906,3964.0
1607170572.1926,3959.0
1607170572.1945,3957.0
1607170572.1965,3947.0
1607170572.1985,3916.0
1607170572.2005,3860.0
1607170572.2025,3776.0
1607170572.2045,3657.0
1607170572.2065,3508.0
1607170572.2086,3356.0
1607170572.2105,3218.0
1607170572.2125,3100.0
1607170572.2145,3001.0
1607170572.2165,2926.0
1607170572.2185,2873.0
1607170572.2206,2830.0
1607170572.2225,2794.0
1607170572.2246,2765.0
1607170572.2266,2743.0
1607170572.2285,2719.0
1607170572.2305,2690.0
1607170572.2325,2668.0
1607170572.2345,2651.0
1607170572.2366,2630.0
1607170572.2386,2605.0
1607170572.2406,2584.0
1607170572.2428,2564.0
1607170572.2445,2543.0
1607170572.2465,2519.0
1607170572.2485,2497.0
1607170572.2505,2470.0
1607170572.2525,2446.0
1607170572.2545,2420.0
1607170572.2565,2398.0
1607170572.2585,2374.0
1607170572.2605,2347.0
1607170572.2625,2318.0
1607170572.2645,2294.0
1607170572.2665,2272.0
1607170572.2685,2246.0
1607170572.2705,2217.0
1607170572.2725,2195.0
1607170572.6379,2174.0
1607170572.6386,2147.0
1607170572.641,2125.0
1607170572.6438,2106.0
1607170572.6457,2084.0
1607170572.6477,2060.0
1607170572.6497,2038.0
1607170572.6517,2019.0
1607170572.6537,2000.0
1607170572.6557,1978.0
1607170572.6577,1952.0
1607170572.6598,1932.0
1607170572.6618,1913.0
1607170572.6636,1882.0
1607170572.6656,1857.0
1607170572.6677,1848.0
1607170572.6696,1831.0
1607170572.6716,1807.0
1607170572.6737,1790.0
1607170572.6757,1773.0
1607170572.6776,1756.0
1607170572.6797,1734.0
1607170572.6816,1713.0
1607170572.6837,1701.0
1607170572.6856,1684.0
1607170572.6877,1662.0
1607170572.6896,1648.0
1607170572.6917,1633.0
1607170572.6937,1614.0
1607170572.6956,1597.0
1607170572.6977,1587.0
1607170572.6997,1575.0
1607170572.7016,1558.0
1607170572.7036,1539.0
1607170572.7056,1522.0
1607170572.7078,1510.0
1607170572.7097,1496.0
1607170572.7116,1479.0
1607170572.7136,1464.0
1607170572.7156,1452.0
1607170572.7177,1438.0
1607170572.7197,1423.0
1607170572.7216,1404.0
1607170572.7236,1387.0
1607170572.7257,1377.0
1607170572.7277,1365.0
1607170572.7296,1353.0
1607170572.7316,1339.0
1607170572.7336,1324.0
1607170572.7356,1310.0
1607170572.7377,1298.0
1607170572.7396,1283.0
1607170572.7417,1269.0
1607170572.7439,1257.0
1607170572.7456,1245.0
1607170572.7477,1233.0
1607170572.7496,1218.0
1607170572.7516,1204.0
1607170572.7537,1194.0
1607170572.7557,1179.0
1607170572.7576,1163.0
1607170572.7598,1150.0
1607170572.7616,1143.0
1607170572.7636,1129.0
1607170572.7656,1119.0
1607170572.7677,1109.0
1607170572.7696,1097.0
1607170572.7716,1088.0
1607170572.7736,1080.0
1607170572.7757,1068.0
1607170572.7777,1056.0
1607170572.7797,1052.0
1607170572.7816,1044.0
1607170573.2383,1032.0
1607170573.2392,1013.0
1607170573.2417,1001.0
1607170573.2444,996.0
1607170573.2464,989.0
1607170573.2484,974.0
1607170573.2504,955.0
1607170573.2524,943.0
1607170573.2543,941.0
1607170573.2563,933.0
1607170573.2583,919.0
1607170573.2603,907.0
1607170573.2623,912.0
1607170573.2645,926.0
1607170573.2664,931.0
1607170573.2683,921.0
1607170573.2704,904.0
1607170573.2722,885.0
1607170573.2743,859.0
1607170573.2763,837.0
1607170573.2782,830.0
1607170573.2802,830.0
1607170573.2823,827.0
1607170573.2842,817.0
1607170573.2863,808.0
1607170573.2883,798.0
