Time,ECG
1607169965.5042,6698
1607169965.5058,7530
1607169965.5074,8611
1607169965.5092,9417
1607169965.5111,9926
1607169965.5132,10484
1607169965.5152,10964
1607169965.5171,11294
1607169965.5191,11618
1607169965.5211,11912
1607169965.5231,12120
1607169965.5252,12303
1607169965.5271,12496
1607169965.5292,12650
1607169965.5311,12761
1607169965.5342,12868
1607169965.5361,12967
1607169965.5381,13041
1607169965.5401,13097
1607169965.5421,13150
1607169965.5441,13205
1607169965.5461,13239
1607169965.5481,13251
1607169965.5501,13280
1607169965.5521,13314
1607169965.5541,13312
1607169965.5561,13292
1607169965.5581,13292
1607169965.5601,13300
1607169965.5621,13287
1607169965.5641,13259
1607169965.5661,13237
1607169965.5681,13230
1607169965.5701,13196
1607169965.5721,13148
1607169965.5741,13123
1607169965.5762,13102
1607169965.5781,13053
1607169965.5801,13003
1607169965.5821,12959
1607169965.5842,12913
1607169965.5862,12872
1607169965.5881,12839
1607169965.5902,12774
1607169965.5921,12701
1607169965.5941,12648
1607169965.5961,12585
1607169965.5981,12520
1607169965.6001,12467
1607169965.6020,12404
1607169965.6043,12337
1607169965.6061,12279
1607169965.6080,12216
1607169965.6101,12134
1607169965.6120,12062
1607169965.6140,12006
1607169965.6160,11946
1607169965.6181,11864
1607169965.6200,11772
1607169965.6220,11697
1607169965.6241,11632
1607169965.6260,11562
1607169965.6281,11487
1607169965.6300,11410
1607169965.6320,11321
1607169965.6340,11241
1607169965.6360,11183
1607169965.6380,11130
1607169965.6400,11060
1607169965.6420,10966
1607169965.6442,10867
1607169965.6460,10776
1607169965.6480,10682
1607169966.0442,10595
1607169966.0455,10529
1607169966.0480,10450
1607169966.0506,10353
1607169966.0525,10274
1607169966.0546,10204
1607169966.0567,10114
1607169966.0585,10037
1607169966.0606,10078
1607169966.0626,10460
1607169966.0646,11128
1607169966.0666,11331
1607169966.0686,10537
1607169966.0706,9311
1607169966.0725,8676
1607169966.0746,8879
1607169966.0766,9142
1607169966.0786,9084
1607169966.0806,9060
1607169966.0825,9065
1607169966.0845,8959
1607169966.0865,8872
1607169966.0885,8833
1607169966.0905,8758
1607169966.0926,8681
1607169966.0946,8623
1607169966.0965,8546
1607169966.0985,8459
1607169966.1007,8399
1607169966.1027,8339
1607169966.1046,8266
1607169966.1065,8201
1607169966.1085,8143
1607169966.1106,8080
1607169966.1125,8027
1607169966.1145,7967
1607169966.1165,7897
1607169966.1185,7856
1607169966.1205,7813
1607169966.1225,7750
1607169966.1245,7721
1607169966.1265,7702
1607169966.1285,7665
1607169966.1305,7648
1607169966.1326,7639
1607169966.1344,7600
1607169966.1364,7552
1607169966.1384,7499
1607169966.1405,7402
1607169966.1425,7255
1607169966.1446,7067
1607169966.1464,6852
1607169966.1485,6654
1607169966.1504,6483
1607169966.1525,6326
1607169966.1545,6193
1607169966.1564,6095
1607169966.1584,6015
1607169966.1606,5940
1607169966.1625,5877
1607169966.1645,5832
1607169966.1664,5783
1607169966.1685,5721
1607169966.1705,5670
1607169966.1724,5624
1607169966.1745,5571
1607169966.1766,5523
1607169966.1785,5479
1607169966.1805,5429
1607169966.1824,5375
1607169966.1844,5320
1607169966.1864,5272
1607169966.1885,5228
1607169966.6440,5178
1607169966.6453,5117
1607169966.6478,5062
1607169966.6505,5018
1607169966.6524,4965
1607169966.6545,4905
1607169966.6568,4859
1607169966.6584,4816
1607169966.6604,4746
1607169966.6624,4671
1607169966.6645,4630
1607169966.6664,4594
1607169966.6684,4541
1607169966.6704,4488
1607169966.6724,4447
1607169966.6744,4405
1607169966.6765,4352
1607169966.6785,4302
1607169966.6805,4266
1607169966.6824,4227
1607169966.6843,4174
1607169966.6864,4126
1607169966.6883,4092
1607169966.6904,4051
1607169966.6924,4003
1607169966.6949,3957
1607169966.6964,3921
1607169966.6984,3882
1607169966.7004,3834
1607169966.7024,3793
1607169966.7046,3759
1607169966.7063,3713
1607169966.7083,3665
1607169966.7104,3629
1607169966.7123,3600
1607169966.7143,3563
1607169966.7163,3518
1607169966.7183,3481
1607169966.7203,3445
1607169966.7223,3399
1607169966.7244,3356
1607169966.7264,3325
1607169966.7284,3298
1607169966.7305,3257
1607169966.7323,3216
1607169966.7344,3185
1607169966.7363,3156
1607169966.7383,3124
1607169966.7403,3093
1607169966.7423,3059
1607169966.7444,3023
1607169966.7463,2992
1607169966.7483,2960
1607169966.7503,2929
1607169966.7524,2897
1607169966.7543,2864
1607169966.7563,2830
1607169966.7585,2803
1607169966.7604,2779
1607169966.7624,2753
1607169966.7644,2721
1607169966.7663,2685
1607169966.7683,2656
1607169966.7703,2632
1607169966.7723,2608
1607169966.7744,2579
1607169966.7764,2552
1607169966.7784,2523
1607169966.7804,2497
1607169966.7823,2475
1607169966.7843,2446
1607169966.7863,2415
1607169966.7883,2388
1607169967.1529,2362
1607169967.1536,2338
1607169967.1561,2316
1607169967.1587,2294
1607169967.1608,2275
1607169967.1627,2246
1607169967.1648,2215
1607169967.1667,2188
1607169967.1687,2171
1607169967.1707,2161
1607169967.1727,2152
1607169967.1747,2135
1607169967.1768,2111
1607169967.1787,2077
1607169967.1806,2034
1607169967.1827,1997
1607169967.1846,1973
1607169967.1866,1956
1607169967.1886,1935
1607169967.1906,1915
1607169967.1927,1894
1607169967.1947,1867
1607169967.1966,1833
1607169967.1986,1807
1607169967.2006,1836
1607169967.2026,2089
1607169967.2047,2704
1607169967.2066,3303
1607169967.2086,3151
1607169967.2107,2125
1607169967.2126,1093
1607169967.2146,974
1607169967.2166,1428
1607169967.2186,1573
1607169967.2206,1522
1607169967.2228,1587
1607169967.2247,1604
1607169967.2267,1556
1607169967.2286,1561
1607169967.2306,1575
1607169967.2326,1556
1607169967.2346,1544
1607169967.2366,1544
1607169967.2386,1534
1607169967.2407,1527
1607169967.2427,1522
1607169967.2448,1520
1607169967.2466,1515
1607169967.2486,1510
1607169967.2506,1508
1607169967.2526,1510
1607169967.2547,1512
1607169967.2566,1517
1607169967.2586,1522
1607169967.2607,1532
1607169967.2626,1544
1607169967.2647,1563
1607169967.2666,1585
1607169967.2686,1614
1607169967.2706,1645
1607169967.2726,1672
1607169967.2747,1696
1607169967.2767,1713
1607169967.2786,1710
1607169967.2806,1684
1607169967.2826,1626
1607169967.2847,1527
1607169967.2866,1399
1607169967.2886,1264
1607169967.2906,1143
1607169967.2926,1047
1607169967.2948,972
1607169967.2967,919
1607169967.7234,885
1607169967.7243,866
1607169967.7259,854
1607169967.7279,846
1607169967.7299,846
1607169967.7319,846
1607169967.7338,842
1607169967.7359,834
1607169967.7379,834
1607169967.7398,842
1607169967.7418,842
1607169967.7439,837
1607169967.7458,834
1607169967.7481,832
1607169967.7498,827
1607169967.7517,830
1607169967.7538,830
1607169967.7557,827
1607169967.7578,822
1607169967.7598,817
1607169967.7617,813
1607169967.7638,805
1607169967.7658,793
1607169967.7677,789
1607169967.7697,784
1607169967.7717,774
1607169967.7737,767
1607169967.7757,762
1607169967.7778,760
1607169967.7797,750
1607169967.7817,743
1607169967.7837,738
1607169967.7857,733
1607169967.7877,728
1607169967.7897,723
1607169967.7917,719
1607169967.7938,716
1607169967.7957,709
1607169967.7977,702
1607169967.7997,699
1607169967.8017,697
1607169967.8038,690
1607169967.8057,682
1607169967.8077,682
1607169967.8098,680
1607169967.8118,675
1607169967.8138,670
1607169967.8157,665
1607169967.8177,661
1607169967.8197,653
1607169967.8217,651
1607169967.8237,651
1607169967.8257,644
1607169967.8278,637
1607169967.8297,632
1607169967.8318,629
1607169967.8337,624
1607169967.8357,620
1607169967.8377,617
1607169967.8397,612
1607169967.8417,608
1607169967.8438,605
1607169967.8457,600
1607169967.8477,600
1607169967.8499,595
1607169967.8518,588
1607169967.8537,586
1607169967.8557,583
1607169967.8577,579
1607169967.8598,574
1607169967.8617,569
1607169967.8637,567
1607169967.8657,562
1607169968.2632,557
1607169968.2640,557
1607169968.2651,554
1607169968.2671,550
1607169968.2691,542
1607169968.2711,535
1607169968.2731,528
1607169968.2751,518
1607169968.2772,509
1607169968.2791,504
1607169968.2811,504
1607169968.2831,497
1607169968.2851,489
1607169968.2871,489
1607169968.2891,487
1607169968.2911,480
1607169968.2932,475
1607169968.2952,472
1607169968.2971,470
1607169968.2991,465
1607169968.3011,460
1607169968.3031,460
1607169968.3051,458
1607169968.3070,453
1607169968.3091,451
1607169968.3112,451
1607169968.3132,448
1607169968.3151,446
1607169968.3171,443
1607169968.3191,443
1607169968.3211,441
1607169968.3231,439
1607169968.3251,439
1607169968.3272,436
1607169968.3291,431
1607169968.3311,429
1607169968.3331,429
1607169968.3352,427
1607169968.3371,427
1607169968.3391,424
