Time,HR,RR
1607176997.5952,71,778
1607176998.5884,72,735
1607176999.6028,74,722
1607177000.5926,75,732
1607177001.5831,76,774
1607177002.6338,77,842
1607177003.5929,76,885
1607177004.5827,75,798
1607177005.6025,75,782
1607177006.7399,76,764
1607177007.6129,76,785
1607177008.6025,77,788
1607177009.5925,77,812
1607177010.6379,77,874
1607177011.7765,76,906
1607177012.5926,75,886
1607177013.5826,74,899
1607177014.6025,74,910
1607177015.6221,73,874
1607177016.5827,73,822
1607177017.6326,73,799
1607177018.5924,73,806
1607177019.5824,74,808
1607177020.6920,74,791
1607177021.5924,74,823
1607177022.5824,75,886
1607177023.6022,74,921
1607177024.6219,74,908
1607177025.7271,73,860
1607177026.6023,73,847
1607177027.5922,73,806
1607177028.5822,73,790
1607177029.6867,73,773
1607177030.5925,74,803
1607177031.5822,74,860
1607177032.6033,74,937
1607177033.5920,73,867
1607177034.6932,73,790
1607177035.6021,73,790
1607177036.5921,74,839
1607177037.5820,74,816
1607177038.6214,74,859
1607177039.5924,74,879
1607177040.5821,73,867
1607177041.6020,73,794
1607177042.5920,73,795
1607177043.6919,74,780
1607177044.6020,74,789
1607177045.5921,75,779
1607177046.5820,76,770
1607177047.6211,76,795
1607177048.7329,76,854
1607177049.5821,76,918
1607177050.6019,75,917
1607177051.5919,75,910
1607177052.6347,73,858
1607177053.6321,73,819
1607177054.6221,74,768
1607177055.5818,75,670
1607177056.6511,80,654
1607177057.7619,81,656
1607177058.5819,82,666
1607177059.6019,84,725
1607177060.5918,84,986
1607177061.6308,83,991
1607177062.6019,76,999
1607177063.5918,73,959
1607177064.5817,73,888
1607177065.6017,72,876
1607177066.7015,72,875
1607177067.5818,72,888
1607177068.6017,71,881
1607177069.5917,71,858
1607177070.6330,71,855
1607177071.6019,71,867
1607177072.5918,71,890
1607177073.5827,71,866
1607177074.6015,71,735
1607177075.6753,73,709
1607177076.5817,75,712
1607177077.6317,76,718
1607177078.5922,77,723
1607177079.5815,78,758
1607177080.6019,78,896
1607177081.5916,77,983
1607177082.5823,75,953
1607177083.6013,74,895
1607177084.6413,73,923
1607177085.5818,73,864
1607177086.6314,72,836
1607177087.5913,73,789
1607177088.5813,73,790
1607177089.6885,73,802
1607177090.5917,74,850
1607177091.5812,73,861
1607177092.6012,73,870
1607177093.6411,73,867
1607177094.5813,73,880
1607177095.6013,72,852
1607177096.5912,72,808
1607177097.6024,73,817
1607177098.6819,73,844
1607177099.5913,73,837
1607177100.5810,73,850
1607177101.6009,73,889
1607177102.5909,72,943
1607177103.5814,72,874
1607177104.6010,71,826
1607177105.5910,71,910
1607177106.5808,71,854
1607177107.6804,71,873
1607177108.5910,71,867
1607177109.5808,71,803
1607177110.6008,72,724
1607177111.6423,73,714
1607177112.6905,75,755
1607177113.6009,75,872
1607177114.5907,76,930
1607177115.5807,75,937
1607177116.6813,73,938
1607177117.6208,72,890
1607177118.5806,72,837
1607177119.6306,72,707
1607177120.6207,77,670
1607177121.7211,78,669
1607177122.6007,80,729
1607177123.5907,81,830
1607177124.5813,81,880
1607177125.6305,80,947
1607177126.7302,78,972
1607177127.5806,77,969
1607177128.6306,76,963
1607177129.6204,73,930
1607177130.6888,73,852
1607177131.6006,73,774
1607177132.5905,74,715
1607177133.5804,75,734
1607177134.6296,76,757
1607177135.7317,76,794
1607177136.5805,77,866
1607177137.6004,76,924
1607177138.5903,75,918
1607177139.6295,74,889
1607177140.6008,73,873
1607177141.5904,73,744
1607177142.5803,75,707
1607177143.6303,76,670
1607177144.7013,77,679
1607177145.5805,79,779
1607177146.6003,79,1031
1607177147.5902,78,1022
1607177148.6638,73,997
1607177149.6005,72,979
1607177150.5903,71,942
1607177151.5803,70,879
1607177152.6301,70,816
1607177153.6403,70,797
1607177154.5803,71,793
1607177155.6001,72,784
1607177156.5900,73,764
1607177157.6316,74,759
1607177158.7391,75,773
1607177159.5902,75,810
1607177160.5801,76,833
1607177161.6001,75,813
1607177162.6721,75,793
1607177163.5802,76,767
1607177164.6000,76,762
1607177165.5900,77,728
1607177167.0105,78,723
1607177168.1518,79,738
1607177168.6446,79,748
1607177169.5800,80,731
1607177170.5997,80,774
1607177171.6379,80,801
1607177172.5801,80,843
1607177173.5999,79,828
1607177174.5898,79,790
1607177175.6098,79,781
1607177176.6821,79,785
1607177177.5899,78,777
1607177178.5798,78,762
1607177179.5997,79,770
1607177180.5897,79,793
1607177181.5801,78,859
1607177182.5998,78,899
1607177183.6196,77,902
1607177184.5796,76,870
1607177185.6505,76,864
1607177186.6198,75,869
1607177187.5796,74,886
1607177188.5996,74,852
1607177189.5895,74,870
1607177190.6893,73,862
1607177191.5997,73,870
1607177192.5896,73,896
1607177193.5795,72,831
1607177194.6608,72,867
1607177195.6198,72,868
1607177196.5796,72,893
1607177197.5995,71,920
1607177198.6194,71,825
1607177199.6976,71,781
1607177200.5998,72,809
1607177201.5894,72,880
1607177202.5793,72,944
1607177203.6216,72,948
1607177204.5897,71,946
1607177205.5796,70,937
1607177206.6003,69,880
1607177207.5891,69,916
1607177208.6912,69,859
1607177209.5996,70,845
1607177210.5892,70,821
1607177211.5792,70,815
1607177212.6204,71,821
1607177213.7282,71,848
1607177214.5793,71,911
1607177215.5991,71,938
1607177216.5890,71,959
1607177217.6582,70,968
1607177218.6294,69,955
1607177219.6192,69,930
1607177220.6093,68,911
1607177221.5991,68,911
1607177222.7301,68,875
1607177223.6092,68,905
1607177224.5991,68,902
1607177225.5890,68,805
1607177226.6308,69,783
1607177227.7368,70,783
1607177228.6189,71,812
1607177229.5800,71,862
1607177230.5989,71,911
1607177231.7006,71,897
1607177232.5790,70,901
1607177233.5989,70,902
1607177234.5888,70,854
1607177235.5995,70,781
1607177236.7102,71,781
1607177237.5889,72,845
1607177238.5788,72,862
1607177239.5988,72,833
1607177240.6410,72,nan
1607177241.5789,72,979
1607177242.5988,71,1021
1607177243.5887,70,945
1607177244.5787,69,952
1607177245.7040,69,972
1607177246.5890,68,894
1607177247.5787,68,875
1607177248.5987,69,862
1607177249.6442,69,795
1607177250.5790,69,794
1607177251.6288,70,828
1607177252.6187,71,819
1607177253.5783,71,883
1607177254.6651,71,898
1607177255.5888,71,871
1607177256.5786,71,881
1607177257.5984,71,879
1607177258.6678,71,865
1607177259.5785,71,859
1607177260.5985,71,803
1607177261.5884,71,841
1607177262.5983,71,883
1607177263.6454,71,939
1607177264.5884,71,978
1607177265.5783,70,946
1607177266.5982,69,823
1607177267.6079,70,777
1607177268.5786,71,723
1607177269.5982,73,759
1607177270.5882,74,799
1607177271.5780,74,870
1607177272.6493,74,925
1607177273.5883,74,948
1607177274.6082,72,908
1607177275.5980,72,901
1607177276.6180,71,880
1607177277.6885,71,873
1607177278.5983,71,812
1607177279.5881,71,844
1607177280.5780,72,849
1607177281.5979,71,960
1607177282.5884,71,941
1607177283.5780,70,961
1607177284.6280,70,964
1607177285.6179,69,971
1607177286.6577,69,918
1607177287.5981,68,892
1607177288.5880,68,816
1607177289.6079,69,780
1607177290.6196,70,740
1607177291.6945,71,768
1607177292.5791,72,905
1607177293.5978,72,1003
1607177294.5877,71,1023
1607177295.6590,70,1029
1607177296.5982,69,1029
1607177297.5880,67,1015
1607177298.5782,67,912
1607177299.6193,67,850
1607177300.6989,68,779
1607177301.5779,69,705
1607177302.5977,71,728
1607177303.5877,72,784
1607177304.5998,73,943
