Time,ECG
1607177759.2564,4033
1607177759.2590,5270
1607177759.2618,6056
1607177759.2643,7022
1607177759.2666,7781
1607177759.2687,8304
1607177759.2710,8858
1607177759.2731,9346
1607177759.2751,9708
1607177759.2772,10046
1607177759.2792,10360
1607177759.2811,10612
1607177759.2831,10832
1607177759.2851,11034
1607177759.2871,11201
1607177759.2891,11345
1607177759.2911,11467
1607177759.2931,11580
1607177759.2951,11683
1607177759.2971,11765
1607177759.2991,11839
1607177759.3011,11906
1607177759.3031,11954
1607177759.3050,11985
1607177759.3071,12014
1607177759.3090,12052
1607177759.3110,12081
1607177759.3130,12086
1607177759.3150,12088
1607177759.3170,12098
1607177759.3190,12095
1607177759.3210,12083
1607177759.3230,12081
1607177759.3250,12069
1607177759.3270,12040
1607177759.3290,12014
1607177759.3310,12009
1607177759.3330,11992
1607177759.3350,11935
1607177759.3370,11884
1607177759.3391,11856
1607177759.3410,11820
1607177759.3430,11767
1607177759.3450,11719
1607177759.3470,11690
1607177759.3490,11640
1607177759.3510,11568
1607177759.3530,11532
1607177759.3550,11506
1607177759.3570,11451
1607177759.3609,11388
1607177759.3615,11328
1607177759.3630,11259
1607177759.3649,11180
1607177759.3670,11101
1607177759.3690,11036
1607177759.3709,10983
1607177759.3729,10916
1607177759.3749,10837
1607177759.3769,10770
1607177759.3789,10713
1607177759.3809,10645
1607177759.3829,10576
1607177759.3849,10509
1607177759.3869,10382
1607177759.3890,10121
1607177759.3909,9936
1607177759.3929,10307
1607177759.3949,11321
1607177759.3969,12275
1607177759.3989,12004
1607177759.4009,10411
1607177759.4029,9310
1607177759.7937,9507
1607177759.7946,9620
1607177759.7971,9313
1607177759.7997,9291
1607177759.8017,9339
1607177759.8037,9198
1607177759.8059,9121
1607177759.8078,9114
1607177759.8097,9035
1607177759.8117,8944
1607177759.8137,8903
1607177759.8157,8865
1607177759.8177,8786
1607177759.8197,8695
1607177759.8217,8637
1607177759.8237,8589
1607177759.8257,8527
1607177759.8277,8472
1607177759.8297,8424
1607177759.8317,8376
1607177759.8337,8323
1607177759.8357,8275
1607177759.8377,8242
1607177759.8396,8213
1607177759.8417,8179
1607177759.8436,8148
1607177759.8456,8112
1607177759.8476,8057
1607177759.8499,8002
1607177759.8517,7932
1607177759.8537,7822
1607177759.8556,7681
1607177759.8576,7520
1607177759.8597,7348
1607177759.8616,7201
1607177759.8636,7082
1607177759.8656,6967
1607177759.8676,6863
1607177759.8697,6787
1607177759.8717,6715
1607177759.8736,6641
1607177759.8756,6578
1607177759.8776,6518
1607177759.8796,6458
1607177759.8816,6394
1607177759.8836,6336
1607177759.8856,6281
1607177759.8876,6214
1607177759.8896,6149
1607177759.8916,6101
1607177759.8936,6044
1607177759.8956,5977
1607177759.8976,5917
1607177759.8996,5859
1607177759.9016,5792
1607177759.9036,5727
1607177759.9056,5670
1607177759.9076,5610
1607177759.9097,5555
1607177759.9116,5497
1607177759.9136,5440
1607177759.9156,5387
1607177759.9176,5330
1607177759.9197,5263
1607177759.9216,5207
1607177759.9236,5167
1607177759.9256,5114
1607177759.9276,5054
1607177759.9297,4994
1607177759.9316,4932
1607177759.9336,4884
1607177759.9356,4843
1607177759.9376,4790
1607177760.3347,4735
1607177760.3356,4690
1607177760.3380,4639
1607177760.3397,4587
1607177760.3417,4536
1607177760.3437,4491
1607177760.3461,4445
1607177760.3478,4402
1607177760.3497,4357
1607177760.3518,4304
1607177760.3538,4234
1607177760.3557,4184
1607177760.3577,4150
1607177760.3598,4098
1607177760.3617,4050
1607177760.3637,4016
1607177760.3658,3980
1607177760.3676,3947
1607177760.3696,3913
1607177760.3717,3865
1607177760.3737,3827
1607177760.3757,3786
1607177760.3776,3719
1607177760.3796,3659
1607177760.3816,3626
