Time,GSR,Temp(C)
1607179075.9030,28,31.88
1607179077.5528,29,31.81
1607179079.2692,30,31.81
1607179080.9185,31,31.75
1607179082.6227,31,31.75
1607179084.2791,32,31.75
1607179085.8018,32,31.75
1607179087.4518,33,31.75
1607179089.1018,33,31.69
1607179090.7517,34,31.69
1607179092.4328,35,31.69
1607179094.0519,35,31.69
1607179095.7017,36,31.69
1607179097.3517,36,31.69
1607179099.0017,37,31.63
1607179100.6517,37,31.69
1607179102.3017,38,31.63
1607179103.9517,39,31.63
1607179105.6320,39,31.63
1607179107.2809,40,31.63
1607179108.9910,41,31.63
1607179110.6700,41,31.63
1607179112.2320,42,31.63
1607179113.8520,42,31.56
1607179115.5019,43,31.63
1607179117.1518,44,31.56
1607179118.8018,44,31.56
1607179120.4518,44,31.56
1607179122.1017,45,31.56
1607179123.7518,44,31.56
1607179125.4018,44,31.56
1607179127.0518,43,31.56
1607179128.7017,43,31.56
1607179130.3518,43,31.56
1607179132.0018,44,31.56
1607179133.6855,44,31.56
1607179135.3896,45,31.56
1607179137.0411,46,31.56
1607179138.6019,46,31.56
1607179140.2519,47,31.56
1607179141.9018,48,31.56
1607179143.5524,47,31.50
1607179145.2017,47,31.56
1607179146.8516,48,31.56
1607179148.5017,48,31.56
1607179150.1817,49,31.56
1607179151.8017,49,31.50
1607179153.4517,50,31.50
1607179155.1027,50,31.50
1607179156.7516,50,31.50
1607179158.4316,51,31.50
1607179160.0518,51,31.50
1607179161.7025,52,31.50
1607179163.4177,52,31.50
1607179164.9719,53,31.50
1607179166.6518,53,31.44
1607179168.2718,53,31.44
1607179169.9217,54,31.44
1607179171.5717,54,-0.06
1607179173.2216,54,-0.06
1607179174.8417,52,85.00
1607179176.4916,51,31.50
1607179178.1417,50,31.50
1607179179.7916,50,31.44
1607179181.4415,50,31.44
1607179183.0916,50,31.44
1607179184.7427,49,31.44
1607179186.4209,49,31.44
1607179188.1002,47,31.44
1607179189.8109,47,31.44
1607179191.4610,47,31.38
1607179193.0218,48,31.44
1607179194.6417,48,31.44
1607179196.2916,48,85.00
1607179197.9416,50,31.38
1607179199.5915,49,31.44
1607179201.2415,48,-0.06
1607179202.8614,48,-0.06
1607179204.4815,48,-0.06
1607179206.1315,48,-0.06
1607179207.7515,49,-0.06
1607179209.4668,49,-0.06
1607179211.1096,50,-0.06
1607179212.6417,51,-0.06
1607179214.2615,50,85.00
1607179215.9116,48,31.38
1607179217.5616,47,31.38
1607179219.2115,43,31.31
1607179220.8614,38,31.31
1607179222.5115,33,31.31
1607179224.1621,28,31.31
1607179225.8115,26,31.31
1607179227.4614,25,31.31
1607179229.1114,26,31.31
1607179230.7872,28,31.31
1607179232.4383,29,31.31
1607179234.1498,30,31.31
1607179235.8009,31,31.31
1607179237.5104,32,31.31
1607179239.0116,33,31.38
1607179240.6616,34,31.38
1607179242.3117,35,31.38
1607179243.9615,36,31.38
1607179245.6114,37,31.31
1607179247.2613,38,31.38
1607179248.9114,38,31.31
1607179250.5613,37,31.31
1607179252.2113,37,31.31