Time,ECG
1607178373.4117,-347
1607178373.4144,-40
1607178373.4171,1378
1607178373.4197,3657
1607178373.4219,5222
1607178373.4242,6044
1607178373.4265,7017
1607178373.4287,7889
1607178373.4311,8448
1607178373.4328,8992
1607178373.4344,9509
1607178373.4364,9886
1607178373.4385,10224
1607178373.4404,10550
1607178373.4426,10804
1607178373.4448,11012
1607178373.4469,11216
1607178373.4490,11388
1607178373.4514,11506
1607178373.4532,11623
1607178373.4545,11760
1607178373.4564,11851
1607178373.4585,11906
1607178373.4605,11985
1607178373.4625,12074
1607178373.4645,12129
1607178373.4664,12160
1607178373.4684,12186
1607178373.4704,12201
1607178373.4724,12203
1607178373.4744,12194
1607178373.4764,12182
1607178373.4784,12194
1607178373.4804,12206
1607178373.4824,12182
1607178373.4844,12153
1607178373.4864,12148
1607178373.4884,12136
1607178373.4904,12105
1607178373.4924,12074
1607178373.4944,12047
1607178373.4964,11968
1607178373.4984,11733
1607178373.5004,11580
1607178373.5024,12023
1607178373.5044,13155
1607178373.5064,14291
1607178373.5084,14087
1607178373.5104,12232
1607178373.5124,10907
1607178373.5146,11237
1607178373.5164,11494
1607178373.5184,11156
1607178373.5204,11134
1607178373.5223,11225
1607178373.5243,11096
1607178373.5263,11031
1607178373.5283,11053
1607178373.5303,10971
1607178373.5324,10880
1607178373.5343,10859
1607178373.5363,10808
1607178373.5384,10729
1607178373.5404,10684
1607178373.5424,10641
1607178373.5443,10576
1607178373.5463,10518
1607178373.5483,10480
1607178373.5503,10442
1607178373.5523,10391
1607178373.5543,10343
1607178373.5563,10322
1607178373.5583,10307
1607178373.9505,10272
1607178373.9514,10245
1607178373.9538,10231
1607178373.9565,10183
1607178373.9585,10109
1607178373.9605,10027
1607178373.9626,9914
1607178373.9645,9763
1607178373.9665,9579
1607178373.9686,9382
1607178373.9705,9227
1607178373.9726,9095
1607178373.9744,8937
1607178373.9764,8817
1607178373.9784,8745
1607178373.9804,8656
1607178373.9824,8572
1607178373.9844,8512
1607178373.9864,8452
1607178373.9884,8376
1607178373.9904,8304
1607178373.9925,8244
1607178373.9944,8179
1607178373.9964,8095
1607178373.9984,8021
1607178374.0005,7961
1607178374.0024,7887
1607178374.0044,7808
1607178374.0066,7736
1607178374.0084,7662
1607178374.0104,7592
1607178374.0124,7515
1607178374.0144,7429
1607178374.0164,7357
1607178374.0184,7304
1607178374.0204,7230
1607178374.0225,7153
1607178374.0244,7094
1607178374.0264,7029
1607178374.0284,6950
1607178374.0304,6875
1607178374.0324,6806
1607178374.0344,6739
1607178374.0364,6681
1607178374.0384,6633
1607178374.0404,6585
1607178374.0424,6526
1607178374.0444,6454
1607178374.0464,6387
1607178374.0484,6315
1607178374.0504,6226
1607178374.0524,6142
1607178374.0544,6087
1607178374.0564,6039
1607178374.0584,5970
1607178374.0604,5905
1607178374.0624,5852
1607178374.0644,5792
1607178374.0664,5727
1607178374.0684,5672
1607178374.0704,5627
1607178374.0724,5565
1607178374.0744,5411
1607178374.0764,5145
1607178374.0784,5121
1607178374.0804,5778
1607178374.0824,6981
1607178374.0844,7789
1607178374.0864,6933
1607178374.0884,5023
1607178374.0904,4359
1607178374.0924,4862
1607178374.0944,4848
1607178374.5209,4570
1607178374.5218,4659
1607178374.5243,4678
1607178374.5269,4548
1607178374.5289,4534
1607178374.5309,4536
1607178374.5332,4469
1607178374.5349,4440
1607178374.5368,4424
1607178374.5388,4361
1607178374.5408,4316
1607178374.5429,4299
1607178374.5449,4270
1607178374.5468,4237
1607178374.5489,4213
1607178374.5508,4191
1607178374.5528,4172
1607178374.5548,4165
1607178374.5568,4167
1607178374.5588,4160
1607178374.5608,4155
1607178374.5628,4165
1607178374.5648,4179
1607178374.5668,4179
1607178374.5688,4162
1607178374.5708,4134
1607178374.5728,4079
1607178374.5748,3985
1607178374.5769,3863
1607178374.5788,3721
1607178374.5808,3587
1607178374.5828,3458
1607178374.5848,3338
1607178374.5868,3261
1607178374.5888,3209
1607178374.5908,3151
1607178374.5928,3103
1607178374.5948,3072
1607178374.5968,3053
1607178374.5988,3026
1607178374.6008,2991
1607178374.6028,2957
1607178374.6048,2933
1607178374.6068,2902
1607178374.6088,2863
1607178374.6108,2840
1607178374.6129,2816
1607178374.6148,2780
1607178374.6168,2741
1607178374.6188,2717
1607178374.6208,2693
1607178374.6228,2657
1607178374.6248,2619
1607178374.6268,2588
1607178374.6288,2564
1607178374.6308,2538
1607178374.6328,2504
1607178374.6350,2475
1607178374.6368,2449
1607178374.6388,2420
1607178374.6408,2394
1607178374.6428,2377
1607178374.6448,2353
1607178374.6469,2324
1607178374.6488,2291
1607178374.6508,2267
1607178374.6528,2248
1607178374.6548,2221
1607178374.6568,2195
1607178374.6588,2180
1607178374.6608,2161
1607178374.6628,2135
1607178374.6648,2111
1607178375.0603,2092
1607178375.0611,2068
1607178375.0626,2044
1607178375.0645,2025
1607178375.0665,2003
1607178375.0685,1977
1607178375.0705,1955
1607178375.0725,1938
1607178375.0745,1917
1607178375.0764,1893
1607178375.0785,1864
1607178375.0804,1835
1607178375.0825,1828
1607178375.0844,1826
1607178375.0864,1816
1607178375.0884,1809
1607178375.0904,1792
1607178375.0925,1763
1607178375.0944,1725
1607178375.0964,1694
1607178375.0985,1675
1607178375.1004,1653
1607178375.1025,1629
1607178375.1044,1615
1607178375.1064,1605
1607178375.1084,1591
1607178375.1104,1569
1607178375.1125,1550
1607178375.1144,1538
1607178375.1164,1533
1607178375.1184,1507
1607178375.1204,1378
1607178375.1225,1164
1607178375.1244,1275
1607178375.1265,2070
1607178375.1286,3281
1607178375.1305,3868
1607178375.1325,2784
1607178375.1344,1083
1607178375.1364,788
1607178375.1384,1275
1607178375.1404,1167
1607178375.1425,1008
1607178375.1444,1162
1607178375.1465,1169
1607178375.1484,1095
1607178375.1504,1140
1607178375.1525,1157
1607178375.1544,1121
1607178375.1564,1128
1607178375.1584,1157
1607178375.1604,1157
1607178375.1625,1152
1607178375.1644,1155
1607178375.1664,1150
1607178375.1684,1155
1607178375.1704,1179
1607178375.1725,1193
1607178375.1744,1198
1607178375.1764,1210
1607178375.1784,1234
1607178375.1804,1260
1607178375.1825,1296
1607178375.1844,1332
1607178375.1864,1361
1607178375.1884,1392
1607178375.1904,1416
1607178375.1925,1409
