Time,ECG
1607178738.4109,3865
1607178738.4136,5366
1607178738.4162,6142
1607178738.4189,7060
1607178738.4211,7877
1607178738.4233,8409
1607178738.4256,8939
1607178738.4276,9445
1607178738.4297,9831
1607178738.4317,10178
1607178738.4337,10480
1607178738.4357,10708
1607178738.4377,10926
1607178738.4397,11130
1607178738.4418,11273
1607178738.4437,11384
1607178738.4457,11503
1607178738.4477,11618
1607178738.4497,11714
1607178738.4517,11786
1607178738.4537,11851
1607178738.4557,11920
1607178738.4577,11968
1607178738.4597,11992
1607178738.4617,12021
1607178738.4636,11980
1607178738.4656,11786
1607178738.4676,11757
1607178738.4696,12373
1607178738.4716,13548
1607178738.4736,14449
1607178738.4756,13876
1607178738.4776,12170
1607178738.4796,11446
1607178738.4816,11882
1607178738.4836,11894
1607178738.4856,11645
1607178738.4876,11767
1607178738.4896,11793
1607178738.4916,11645
1607178738.4936,11635
1607178738.4956,11662
1607178738.4976,11590
1607178738.4996,11539
1607178738.5016,11554
1607178738.5036,11530
1607178738.5056,11448
1607178738.5076,11403
1607178738.5096,11393
1607178738.5116,11360
1607178738.5137,11312
1607178738.5156,11266
1607178738.5175,11230
1607178738.5195,11213
1607178738.5215,11185
1607178738.5235,11134
1607178738.5255,11120
1607178738.5275,11115
1607178738.5295,11082
1607178738.5315,11065
1607178738.5335,11062
1607178738.5355,11007
1607178738.5375,10923
1607178738.5395,10847
1607178738.5415,10739
1607178738.5435,10571
1607178738.5455,10375
1607178738.5475,10204
1607178738.5496,10058
1607178738.5515,9907
1607178738.5535,9761
1607178738.5555,9656
1607178738.5575,9581
1607178738.8904,9490
1607178738.8911,9394
1607178738.8936,9330
1607178738.8962,9272
1607178738.8982,9203
1607178738.9002,9124
1607178738.9022,9061
1607178738.9042,9023
1607178738.9062,8949
1607178738.9082,8824
1607178738.9102,8754
1607178738.9123,8723
1607178738.9142,8639
1607178738.9162,8546
1607178738.9182,8486
1607178738.9202,8433
1607178738.9222,8352
1607178738.9242,8258
1607178738.9262,8191
1607178738.9282,8134
1607178738.9302,8040
1607178738.9322,7932
1607178738.9341,7861
1607178738.9362,7808
1607178738.9382,7741
1607178738.9403,7676
1607178738.9423,7604
1607178738.9443,7515
1607178738.9465,7441
1607178738.9483,7388
1607178738.9502,7333
1607178738.9522,7261
1607178738.9542,7158
1607178738.9561,7074
1607178738.9581,7026
1607178738.9601,6964
1607178738.9622,6904
1607178738.9641,6873
1607178738.9662,6820
1607178738.9681,6744
1607178738.9701,6677
1607178738.9722,6597
1607178738.9741,6509
1607178738.9761,6434
1607178738.9782,6365
1607178738.9801,6298
1607178738.9822,6248
1607178738.9841,6185
1607178738.9861,6111
