Time,GSR,Temp(C)
1607178020.0722,512,-0.06
1607178021.6629,512,-0.06
1607178023.2812,512,-0.06
1607178024.9011,512,-0.06
1607178026.5832,509,-0.06
1607178028.1840,512,-0.06
1607178029.8931,512,32.81
1607178031.5988,512,32.88
1607178033.2685,494,32.88
1607178034.9011,512,32.94
1607178036.4220,116,32.94
1607178038.0723,5,32.94
1607178039.7211,115,85.00
1607178041.3717,54,32.94
1607178043.0220,29,33.00
1607178044.6717,1,33.00
1607178046.3216,1,33.00
1607178047.9720,1,33.00
1607178049.5968,4,-0.06
1607178051.2114,3,-0.06
1607178052.9040,30,-0.06
1607178054.5826,1,85.00
1607178056.2619,1,32.88
1607178057.9230,1,32.88
1607178059.4320,1,32.88
1607178061.0819,1,32.94
1607178062.7315,1,32.94
1607178064.3812,48,32.94
1607178066.0311,1,32.94
1607178067.6517,1,32.94
1607178069.3022,1,32.88
1607178070.9514,1,32.88
1607178072.6034,1,32.88
1607178074.2521,1,32.88
1607178075.9018,1,32.81
1607178077.8216,1,32.81
1607178079.5500,1,32.81
1607178080.9049,1,32.81
1607178082.5853,1,32.81
1607178084.1507,174,32.81
1607178085.8006,198,32.75
1607178087.4506,130,32.81
1607178089.1005,52,32.75
1607178090.7504,1,32.75
1607178092.4005,1,32.75
1607178094.0504,70,32.75
1607178095.7304,119,32.69
1607178097.3504,150,32.69
1607178099.0004,144,32.69
1607178100.6503,126,32.69
1607178102.3003,125,32.69
1607178103.9503,126,32.69
1607178105.6054,118,32.69
1607178107.3350,117,32.63
1607178108.9546,1,32.63
1607178110.6651,1,32.63
1607178112.3140,1,32.63
1607178113.8503,1,32.63
1607178115.5005,1,32.63
1607178117.1503,8,32.63
1607178118.8002,1,32.63
1607178120.4502,1,32.63
1607178122.1002,1,32.56
1607178123.7512,1,32.63
1607178125.4001,1,32.56
1607178127.0801,1,32.56
1607178128.7001,1,32.56
1607178130.3201,1,32.56
1607178131.9700,2,32.56
1607178133.6763,1,32.56
1607178135.3244,1,32.56
1607178137.0342,1,32.50
1607178138.5702,1,32.50
1607178140.2201,1,32.50
1607178141.8699,1,32.50
1607178143.5199,1,32.50
1607178145.1999,1,32.50
1607178146.8198,1,32.50
1607178148.4697,1,32.50
1607178150.1497,1,32.50
1607178151.8291,1,32.44
1607178153.4403,1,32.44
1607178155.0697,1,32.44
1607178156.7197,1,32.44
1607178158.3697,1,32.44
1607178160.0495,1,32.44
1607178161.7583,1,32.44
1607178163.2897,1,32.44
1607178164.9395,1,32.44
1607178166.5896,1,32.44
1607178168.2395,1,32.44
1607178169.8894,1,32.38
1607178171.5396,1,32.38
1607178173.1895,1,32.38
1607178174.8394,0,32.38
1607178176.4894,1,32.38
1607178178.1394,1,32.38
1607178179.7893,0,32.31
1607178181.4392,1,32.31
1607178183.0893,1,32.38
1607178184.7628,1,32.31
1607178186.3893,2,32.31
1607178188.0956,3,32.31
1607178189.7409,3,32.31
1607178191.4549,4,32.31
1607178192.9895,4,32.31
1607178194.6693,3,32.31
1607178196.2593,4,32.31
1607178197.9092,4,32.31
1607178199.5594,4,32.31
1607178201.2092,4,32.31
1607178202.8591,4,32.31
1607178204.5092,5,32.31
1607178206.1591,25,32.31
1607178207.8090,7,32.31
1607178209.4590,31,32.31
1607178211.1090,5,32.31
1607178212.7590,6,32.31
1607178214.4640,7,32.31
1607178216.1441,8,32.31
1607178217.7091,8,32.31
1607178219.3592,9,-0.06
1607178220.9490,9,-0.06
1607178222.5989,4,32.31
1607178224.2491,1,32.31
1607178225.8989,1,32.31
1607178227.5488,1,-0.06
1607178229.1687,1,85.00
1607178230.8187,4,-0.06
1607178232.4387,1,-0.06
1607178234.0838,1,-0.06
1607178235.7937,1,-0.06
1607178237.2988,1,-0.06
1607178238.9487,1,-0.06
1607178240.5690,1,-0.06
1607178242.1888,1,-0.06
1607178243.8086,1,-0.06
1607178245.4586,1,-0.06
1607178247.0785,1,32.25
1607178248.7285,1,32.31
1607178250.3785,1,32.31
1607178252.0528,2,32.31
1607178253.7420,3,32.38
1607178255.4117,4,32.38
1607178257.0922,5,32.38
1607178258.6585,6,32.38
1607178260.3085,7,32.38
1607178261.9284,8,32.38
1607178263.5783,9,32.38
1607178265.2284,9,32.38
1607178266.8782,8,32.38
1607178268.4982,6,-0.06
1607178270.1482,4,-0.06
1607178271.7682,3,-0.06
1607178273.3881,3,-0.06
1607178275.0623,3,-0.06
1607178276.6283,4,-0.06
1607178278.2783,5,-0.06
1607178279.8981,5,-0.06
1607178281.5483,4,-0.06
1607178283.1381,2,-0.06
1607178284.7580,2,-0.06
1607178286.4080,2,-0.06
1607178288.0280,4,-0.06
1607178289.6479,4,-0.06
1607178291.2980,6,-0.06
1607178293.0013,6,-0.06
1607178294.5382,6,-0.06
1607178296.1580,4,-0.06
1607178297.7780,2,-0.06
1607178299.3979,2,-0.06
1607178301.0479,3,-0.06
1607178302.6680,3,-0.06