,ecg
1605960032.8565,3073.0
1605960032.8574,6501.0
1605960032.8599,8474.0
1605960032.8626,9443.0
1605960032.8647,10705.0
1605960032.8666,11679.0
1605960032.8686,12199.0
1605960032.8705,12766.0
1605960032.8726,13254.0
1605960032.8745,13520.0
1605960032.8766,13757.0
1605960032.8785,14011.0
1605960032.8805,14167.0
1605960032.8825,14265.0
1605960032.8845,14367.0
1605960032.8865,14445.0
1605960032.8885,14458.0
1605960032.8905,14443.0
1605960032.8925,14445.0
1605960032.8945,14438.0
1605960032.8965,14389.0
1605960032.8985,14338.0
1605960032.9005,14311.0
1605960032.9025,14260.0
1605960032.9045,14038.0
1605960032.9065,13659.0
1605960032.9084,13503.0
1605960032.9104,13942.0
1605960032.9125,14497.0
1605960032.9145,14277.0
1605960032.9164,13666.0
1605960032.9184,13493.0
1605960032.9205,13479.0
1605960032.9224,13298.0
1605960032.9244,13178.0
1605960032.9265,13132.0
1605960032.9284,13015.0
1605960032.9304,12893.0
1605960032.9324,12822.0
1605960032.9344,12734.0
1605960032.9365,12617.0
1605960032.9384,12507.0
1605960032.9405,12392.0
1605960032.9424,12268.0
1605960032.9444,12172.0
1605960032.9465,12087.0
1605960032.9484,11982.0
1605960032.9504,11877.0
1605960032.9524,11774.0
1605960032.9544,11672.0
1605960032.9606,11582.0
1605960032.9612,11472.0
1605960032.9625,11357.0
1605960032.9645,11259.0
1605960032.9665,11140.0
1605960032.9685,11025.0
1605960032.9705,10947.0
1605960032.9726,10859.0
1605960032.9745,10751.0
1605960032.9766,10659.0
1605960032.9785,10581.0
1605960032.9806,10505.0
1605960032.9826,10439.0
1605960032.9845,10383.0
1605960032.9865,10312.0
1605960032.9886,10249.0
1605960032.9906,10192.0
1605960032.9926,10122.0
1605960032.9945,10041.0
1605960032.9966,9973.0
1605960032.9986,9897.0
1605960033.0006,9812.0
1605960033.0026,9736.0
1605960033.4261,9670.0
1605960033.4271,9594.0
1605960033.4295,9499.0
1605960033.4322,9414.0
1605960033.4343,9345.0
1605960033.4362,9255.0
1605960033.4383,9145.0
1605960033.4402,9069.0
1605960033.4421,9020.0
1605960033.4442,8937.0
1605960033.4462,8828.0
1605960033.4482,8767.0
1605960033.4503,8718.0
1605960033.4522,8632.0
1605960033.4542,8562.0
1605960033.4562,8500.0
1605960033.4581,8420.0
1605960033.4601,8342.0
1605960033.4621,8283.0
1605960033.4641,8215.0
1605960033.4662,8142.0
1605960033.4682,8076.0
1605960033.4701,8022.0
1605960033.4721,7961.0
1605960033.4741,7897.0
1605960033.4761,7836.0
1605960033.4781,7773.0
1605960033.4801,7702.0
1605960033.4824,7622.0
1605960033.4841,7551.0
1605960033.4862,7495.0
1605960033.4881,7443.0
1605960033.4901,7395.0
1605960033.4921,7336.0
1605960033.4941,7272.0
1605960033.4961,7209.0
1605960033.4981,7138.0
1605960033.5001,7067.0
1605960033.502,6997.0
1605960033.504,6933.0
1605960033.5061,6887.0
1605960033.508,6838.0
1605960033.5101,6784.0
1605960033.512,6740.0
1605960033.514,6696.0
1605960033.5162,6645.0
1605960033.518,6606.0
1605960033.5201,6557.0
1605960033.5221,6484.0
1605960033.524,6423.0
1605960033.5261,6374.0
1605960033.5281,6308.0
1605960033.53,6125.0
1605960033.5322,5805.0
1605960033.5341,5676.0
1605960033.5362,6145.0
1605960033.538,6735.0
1605960033.54,6562.0
1605960033.542,6008.0
1605960033.544,5883.0
1605960033.5461,5915.0
1605960033.5481,5786.0
1605960033.5501,5715.0
1605960033.552,5717.0
1605960033.554,5659.0
1605960033.556,5590.0
1605960033.5581,5556.0
1605960033.56,5520.0
1605960033.562,5473.0
1605960033.5641,5429.0
1605960033.5661,5385.0
1605960033.5682,5344.0
1605960033.5701,5297.0
1605960033.9662,5244.0
1605960033.9669,5183.0
1605960033.9693,5134.0
1605960033.972,5107.0
1605960033.974,5065.0
1605960033.976,4997.0
1605960033.9783,4946.0
1605960033.9801,4909.0
1605960033.982,4858.0
1605960033.984,4790.0
1605960033.986,4733.0
1605960033.988,4699.0
1605960033.99,4667.0
1605960033.992,4636.0
1605960033.994,4614.0
1605960033.996,4575.0
1605960033.998,4531.0
1605960033.9999,4523.0
1605960034.002,4521.0
1605960034.0039,4504.0
1605960034.006,4506.0
1605960034.0079,4506.0
1605960034.01,4477.0
1605960034.012,4438.0
1605960034.014,4396.0
1605960034.016,4353.0
1605960034.0179,4326.0
1605960034.0199,4309.0
1605960034.0219,4279.0
1605960034.0239,4248.0
1605960034.0261,4218.0
1605960034.028,4182.0
1605960034.0299,4145.0
1605960034.0319,4108.0
1605960034.0339,4062.0
1605960034.036,4013.0
1605960034.0379,3989.0
1605960034.04,3967.0
1605960034.0419,3925.0
1605960034.044,3896.0
1605960034.046,3876.0
1605960034.048,3837.0
1605960034.0499,3806.0
1605960034.0519,3786.0
1605960034.0539,3752.0
1605960034.056,3723.0
1605960034.058,3708.0
1605960034.06,3684.0
1605960034.062,3649.0
1605960034.0639,3623.0
1605960034.066,3603.0
1605960034.0679,3571.0
1605960034.07,3540.0
1605960034.072,3520.0
1605960034.0739,3496.0
1605960034.076,3454.0
1605960034.078,3417.0
1605960034.0801,3408.0
1605960034.082,3395.0
1605960034.0839,3369.0
1605960034.086,3349.0
1605960034.0879,3320.0
1605960034.0899,3273.0
1605960034.092,3251.0
1605960034.094,3251.0
1605960034.096,3227.0
1605960034.098,3176.0
1605960034.0999,3134.0
1605960034.1019,3122.0
1605960034.1039,3110.0
1605960034.106,3083.0
1605960034.1079,3061.0
1605960034.11,3044.0
1605960034.5366,3022.0
1605960034.5374,2995.0
1605960034.5399,2973.0
1605960034.5424,2956.0
1605960034.5445,2929.0
1605960034.5465,2915.0
1605960034.5485,2912.0
1605960034.5504,2875.0
1605960034.5524,2832.0
1605960034.5545,2761.0
1605960034.5565,2541.0
1605960034.5584,2287.0
1605960034.5604,2478.0
1605960034.5624,3154.0
1605960034.5644,3413.0
1605960034.5664,2929.0
1605960034.5684,2617.0
1605960034.5704,2707.0
1605960034.5725,2675.0
1605960034.5744,2568.0
1605960034.5764,2580.0
1605960034.5784,2585.0
1605960034.5804,2536.0
1605960034.5824,2512.0
1605960034.5844,2519.0
1605960034.5864,2500.0
1605960034.5885,2463.0
1605960034.5904,2438.0
1605960034.5925,2426.0
1605960034.5945,2419.0
1605960034.5964,2395.0
1605960034.5984,2363.0
1605960034.6004,2346.0
1605960034.6024,2333.0
1605960034.6045,2316.0
1605960034.6066,2292.0
