,gsr,temp
1605960971.5638,135902.8533344541,37.06
1605960973.1536,136251.71761794906,37.06
1605960974.7437,136590.7496337066,37.06
1605960976.3636,136919.94938172676,37.06
1605960978.0357,137239.31686200952,37.06
1605960979.5437,137548.85207455486,37.06
1605960981.1636,137848.5550193628,37.06
1605960982.7535,138138.42569643332,37.06
1605960984.3735,138418.46410576644,37.06
1605960985.9635,138688.67024736214,37.06
1605960987.6324,138949.04412122045,37.06
1605960989.2559,139199.58572734136,37.06
1605960990.7635,139440.29506572484,37.06
1605960992.3535,139671.17213637094,37.06
1605960993.9434,139892.2169392796,37.0
1605960995.5634,140103.42947445088,37.06
1605960997.1717,140304.80974188473,37.06
1605960998.7861,140496.3577415812,37.06
1605961000.3335,140678.07347354025,37.06
1605961001.9533,140849.9569377619,37.06
1605961003.5433,141012.0081342461,37.06
1605961005.1333,141164.22706299296,37.06
1605961006.7532,141306.61372400235,37.06
1605961008.4031,141439.16811727438,37.06
1605961009.9766,141561.890242809,37.06
1605961011.5534,141674.78010060618,37.06
1605961013.1734,141777.83769066597,37.06
1605961014.7331,141871.06301298836,37.06
1605961016.3531,141954.45606757334,37.06
1605961017.943,142028.01685442092,37.06
1605961019.5471,142091.74537353107,37.06
1605961021.2247,142145.64162490383,37.06
1605961022.7431,142189.70560853917,37.06
1605961024.3329,142223.9373244371,37.06
1605961025.9229,142248.33677259766,37.06
1605961027.5452,142262.90395302078,37.06
1605961029.2332,142267.63886570648,37.06
1605961030.9061,142262.54151065482,37.06
1605961032.5409,142247.6118878657,37.06
1605961033.9341,142222.84999733922,37.06
1605961035.5571,142188.2558390753,37.06
1605961037.1439,142143.82941307398,37.06
1605961038.7511,142089.57071933526,37.06
1605961040.3309,142025.47975785914,37.06
1605961042.0121,141951.5565286456,37.06
1605961043.6708,141867.80103169466,37.06
1605961045.1237,141774.2132670063,37.06
1605961046.7437,141670.79323458055,37.06
1605961048.3638,141557.54093441737,37.06
1605961049.9237,141434.4563665168,37.06
1605961051.58,141301.53953085846,37.06
1605961053.2396,141218.83957210646,37.06
1605961054.724,141225.91008401048,37.06
1605961056.3137,141326.25889832724,37.06
1605961057.9336,141468.7128207799,37.06
1605961059.5236,141211.23112420816,37.06
1605961061.1135,140623.3157244221,37.06
1605961062.7668,139960.22275362583,37.06
1605961064.4499,139318.95817083184,37.06
1605961065.9136,138661.62201119147,37.06
1605961067.5336,137989.7189374424,37.06
1605961069.1234,137328.04525126534,37.06
1605961070.7133,136658.7897704519,37.06
1605961072.351,135947.10068082347,37.06
1605961073.9598,135212.9059303895,37.06
1605961075.6832,134479.76196103968,37.06
1605961077.1036,133809.4349897688,37.06
1605961078.7232,133205.38155287693,37.06
1605961080.3132,132651.9702980991,37.06
1605961081.9033,132157.16364088314,37.06
1605961083.5279,131683.86050945162,37.06
1605961085.2095,131277.64328298002,37.06
1605961086.8756,130901.87418682079,37.06
1605961088.3232,130562.40223229065,37.06
1605961089.9131,130261.30965378079,37.06
1605961091.5032,130000.75600595033,37.06
1605961093.1231,129763.04912571152,37.06
1605961094.7608,129572.47259963935,37.06
1605961096.4496,129389.1157491216,37.06
1605961097.923,129236.66743243476,37.06
1605961099.513,129140.24264780212,37.06
1605961101.1029,129036.1964910233,37.06
1605961102.6927,128946.48786603136,37.06
1605961104.3129,128916.86327716467,37.06
1605961105.9814,128882.85841845053,37.06
1605961107.6211,128844.395052697,37.06
1605961109.1128,128845.47335234136,37.06
1605961110.7027,128841.68087347917,37.06
1605961112.2928,128877.03570094382,37.06
1605961113.9128,128951.14837582054,37.06
1605961115.5462,129063.62943919473,37.06
1605961117.1589,129280.2733912813,37.06
1605961118.8674,129554.04873112268,37.06
