,hr,rr
1605960970.5368,79.0,829.0
1605960971.5264,79.0,828.5
1605960972.5464,79.0,828.0
1605960973.5661,78.0,826.0
1605960974.6707,78.0,798.0
1605960975.5465,77.0,761.0
1605960976.5364,78.0,720.0
1605960977.5264,80.0,705.0
1605960978.6061,81.0,683.0
1605960979.5367,81.0,671.0
1605960980.5263,83.0,689.0
1605960981.5463,84.0,761.0
1605960982.5363,84.0,760.0
1605960983.6752,83.0,766.0
1605960984.5464,83.0,782.0
1605960985.5662,82.0,781.0
1605960986.5562,81.0,783.0
1605960987.6306,81.0,780.0
1605960988.5365,81.0,795.0
1605960989.5264,81.0,814.0
1605960990.5462,80.0,835.0
1605960991.5362,79.0,770.0
1605960992.6156,79.0,778.0
1605960993.5463,79.0,803.0
1605960994.5362,79.0,837.0
1605960995.5261,78.0,844.0
1605960996.5761,78.0,817.0
1605960997.5362,77.0,776.0
1605960998.5261,78.0,732.0
1605960999.546,78.0,746.0
1605961000.5659,79.0,794.0
1605961001.636,79.0,837.0
1605961002.5764,78.0,857.0
1605961003.536,77.0,917.0
1605961004.5259,76.0,953.0
1605961005.5459,75.0,954.0
1605961006.6172,74.0,922.0
1605961007.526,73.0,901.0
1605961008.5459,72.0,881.0
1605961009.5359,72.0,856.0
1605961010.6058,72.0,806.0
1605961011.5462,72.0,804.0
1605961012.536,73.0,816.0
1605961013.5259,73.0,864.0
1605961014.5458,73.0,855.0
1605961015.6247,72.0,880.0
1605961016.5261,72.0,897.0
1605961017.5458,72.0,896.0
1605961018.5357,72.0,895.0
1605961019.5455,71.0,866.0
1605961020.5461,71.0,824.0
1605961021.5357,72.0,833.0
1605961022.5257,72.0,860.0
1605961023.5456,72.0,878.0
1605961024.6155,72.0,843.0
1605961025.526,72.0,887.0
1605961026.546,72.0,884.0
1605961027.5513,71.0,828.0
1605961029.0208,72.0,816.0
1605961029.7871,72.0,774.0
1605961030.5677,73.0,776.0
1605961031.5277,74.0,782.0
1605961032.549,74.0,791.0
1605961033.6282,75.0,769.0
1605961034.5275,75.0,765.0
1605961035.5476,76.0,772.0
1605961036.5378,76.0,826.0
1605961037.5728,76.0,948.0
1605961038.7425,75.0,954.0
1605961039.5372,74.0,973.0
1605961040.5271,73.0,989.0
