Time,HR,RR
1605960968.5279,80,767
1605960969.5478,80,808
1605960970.5368,79,829
1605960971.5264,79,nan
1605960972.5464,79,828
1605960973.5661,78,826
1605960974.6707,78,798
1605960975.5465,77,761
1605960976.5364,78,720
1605960977.5264,80,705
1605960978.6061,81,683
1605960979.5367,81,671
1605960980.5263,83,689
1605960981.5463,84,761
1605960982.5363,84,760
1605960983.6752,83,766
1605960984.5464,83,782
1605960985.5662,82,781
1605960986.5562,81,783
1605960987.6306,81,780
1605960988.5365,81,795
1605960989.5264,81,814
1605960990.5462,80,835
1605960991.5362,79,770
1605960992.6156,79,778
1605960993.5463,79,803
1605960994.5362,79,837
1605960995.5261,78,844
1605960996.5761,78,817
1605960997.5362,77,776
1605960998.5261,78,732
1605960999.5460,78,746
1605961000.5659,79,794
1605961001.6360,79,837
1605961002.5764,78,857
1605961003.5360,77,917
1605961004.5259,76,953
1605961005.5459,75,954
1605961006.6172,74,922
1605961007.5260,73,901
1605961008.5459,72,881
1605961009.5359,72,856
1605961010.6058,72,806
1605961011.5462,72,804
1605961012.5360,73,816
1605961013.5259,73,864
1605961014.5458,73,855
1605961015.6247,72,880
1605961016.5261,72,897
1605961017.5458,72,896
1605961018.5357,72,895
1605961019.5455,71,866
1605961020.5461,71,824
1605961021.5357,72,833
1605961022.5257,72,860
1605961023.5456,72,878
1605961024.6155,72,843
1605961025.5260,72,887
1605961026.5460,72,884
1605961027.5513,71,828
1605961029.0208,72,816
1605961029.7871,72,774
1605961030.5677,73,776
1605961031.5277,74,782
1605961032.5490,74,791
1605961033.6282,75,769
1605961034.5275,75,765
1605961035.5476,76,772
1605961036.5378,76,826
1605961037.5728,76,948
1605961038.7425,75,954
1605961039.5372,74,973
1605961040.5271,73,989
1605961041.5474,72,986
1605961042.5600,71,971
1605961043.6621,70,934
1605961044.5473,69,924
1605961045.5371,69,919
1605961046.5271,69,914
1605961047.6520,69,946
1605961048.5369,68,954
1605961049.5271,68,948
1605961050.5471,67,954
1605961051.5843,67,947
1605961052.6662,67,924
1605961053.5771,67,886
1605961054.5377,67,872
1605961055.5271,67,884
1605961056.5941,68,894
1605961057.5372,68,912
1605961058.5272,68,856
1605961059.5466,68,820
1605961060.5562,69,809
1605961061.6638,70,819
1605961062.5771,70,778
1605961063.5670,72,754
1605961064.5268,73,753
1605961065.5605,74,802
1605961066.6697,75,814
1605961067.5269,75,812
1605961068.5469,75,777
1605961069.5369,76,750
1605961070.6015,76,743
1605961071.5469,78,735
1605961072.5366,78,692
1605961073.5268,80,678
1605961074.5767,81,693
1605961075.6871,82,719
1605961076.5269,83,752
1605961077.5467,82,790
1605961078.5366,82,808
1605961079.6363,81,792
