Time,ECG
1605961864.2031,1127
1605961864.2055,3483
1605961864.2081,5935
1605961864.2108,7458
1605961864.2129,8002
1605961864.2149,8264
1605961864.2168,8808
1605961864.2185,9370
1605961864.2205,9763
1605961864.2225,10148
1605961864.2245,10524
1605961864.2268,10812
1605961864.2290,11079
1605961864.2310,11340
1605961864.2331,11552
1605961864.2352,11730
1605961864.2370,11892
1605961864.2385,12048
1605961864.2405,12202
1605961864.2425,12319
1605961864.2445,12397
1605961864.2465,12475
1605961864.2485,12553
1605961864.2505,12629
1605961864.2526,12685
1605961864.2545,12727
1605961864.2564,12778
1605961864.2584,12817
1605961864.2605,12829
1605961864.2624,12839
1605961864.2644,12861
1605961864.2664,12888
1605961864.2684,12900
1605961864.2704,12907
1605961864.2724,12917
1605961864.2744,12927
1605961864.2765,12924
1605961864.2785,12932
1605961864.2804,12983
1605961864.2824,13000
1605961864.2845,12956
1605961864.2865,12944
1605961864.2885,12954
1605961864.2904,12949
1605961864.2925,12937
1605961864.2944,12905
1605961864.2965,12856
1605961864.2984,12817
1605961864.3005,12773
1605961864.3024,12714
1605961864.3047,12666
1605961864.3064,12622
1605961864.3084,12558
1605961864.3105,12490
1605961864.3124,12431
1605961864.3144,12358
1605961864.3164,12292
1605961864.3184,12238
1605961864.3204,12170
1605961864.3224,12097
1605961864.3244,12023
1605961864.3264,11948
1605961864.3284,11889
1605961864.3304,11821
1605961864.3324,11740
1605961864.3344,11674
1605961864.3364,11611
1605961864.3384,11538
1605961864.3404,11452
1605961864.3424,11374
1605961864.3444,11303
1605961864.3464,11215
1605961864.3484,11132
1605961864.7717,11069
1605961864.7727,10991
1605961864.7751,10886
1605961864.7777,10793
1605961864.7797,10734
1605961864.7817,10664
1605961864.7838,10566
1605961864.7858,10488
1605961864.7878,10424
1605961864.7897,10329
1605961864.7917,10209
1605961864.7937,10119
1605961864.7958,10061
1605961864.7977,9975
1605961864.7997,9870
1605961864.8017,9787
1605961864.8037,9707
1605961864.8057,9619
1605961864.8077,9516
1605961864.8097,9411
1605961864.8117,9335
1605961864.8137,9260
1605961864.8157,9167
1605961864.8177,9089
1605961864.8197,9028
1605961864.8216,8952
1605961864.8237,8867
1605961864.8258,8791
1605961864.8278,8718
1605961864.8297,8625
1605961864.8317,8530
1605961864.8337,8457
1605961864.8357,8374
1605961864.8377,8234
1605961864.8396,7915
1605961864.8416,7443
1605961864.8436,7407
1605961864.8457,8229
1605961864.8476,8879
1605961864.8497,8374
1605961864.8573,7709
1605961864.8586,7670
1605961864.8606,7626
1605961864.8626,7419
1605961864.8646,7363
1605961864.8667,7319
1605961864.8686,7194
1605961864.8706,7124
1605961864.8726,7089
1605961864.8746,7006
1605961864.8767,6909
1605961864.8786,6833
1605961864.8806,6750
1605961864.8826,6665
1605961864.8846,6608
1605961864.8867,6542
1605961864.8886,6455
1605961864.8906,6369
1605961864.8926,6279
1605961864.8946,6198
1605961864.8967,6149
1605961864.8986,6083
1605961864.9007,5979
1605961864.9026,5886
1605961864.9046,5834
1605961864.9067,5764
1605961864.9086,5673
1605961864.9106,5615
1605961864.9126,5571
1605961864.9146,5502
1605961864.9167,5446
1605961864.9186,5412
1605961864.9206,5368
1605961865.3119,5324
1605961865.3128,5297
1605961865.3153,5268
1605961865.3179,5231
1605961865.3198,5207
1605961865.3218,5180
1605961865.3241,5136
1605961865.3259,5090
1605961865.3278,5036
1605961865.3298,4987
1605961865.3318,4936
1605961865.3338,4865
1605961865.3359,4799
1605961865.3378,4743
1605961865.3398,4685
1605961865.3418,4628
1605961865.3438,4577
1605961865.3459,4521
1605961865.3478,4455
1605961865.3498,4404
1605961865.3518,4382
1605961865.3538,4335
1605961865.3559,4265
1605961865.3578,4216
1605961865.3598,4174
1605961865.3618,4116
1605961865.3638,4060
1605961865.3658,4030
1605961865.3678,3999
1605961865.3698,3937
1605961865.3718,3889
1605961865.3739,3859
1605961865.3758,3815
1605961865.3778,3771
1605961865.3798,3737
1605961865.3818,3688
1605961865.3838,3640
1605961865.3858,3603
1605961865.3878,3566
1605961865.3898,3527
1605961865.3918,3496
1605961865.3938,3459
1605961865.3958,3413
1605961865.3978,3374
1605961865.3998,3339
1605961865.4018,3300
1605961865.4039,3254
1605961865.4058,3210
1605961865.4078,3181
1605961865.4098,3159
1605961865.4118,3132
