Time,GSR,Temp(C)
1605962748.4737,449,37.06
1605962750.0938,450,37.06
1605962751.6829,450,37.06
1605962753.2797,451,37.00
1605962754.9898,451,37.06
1605962756.4829,451,37.06
1605962758.0729,448,37.00
1605962759.8955,445,37.06
1605962761.6575,429,37.06
1605962762.8727,408,37.06
1605962764.5293,403,37.06
1605962766.1799,408,37.06
1605962767.7027,412,37.06
1605962769.2929,416,37.06
1605962770.8826,420,37.00
1605962772.4724,421,37.00
1605962774.0926,423,37.06
1605962775.7096,425,37.06
1605962777.3999,427,37.06
1605962778.8625,430,37.06
1605962780.4826,430,37.06
1605962782.0725,427,37.06
1605962783.6624,423,37.06
1605962785.2824,422,37.06
1605962786.9315,422,37.06
1605962788.4626,424,37.06
1605962790.0826,426,37.06
1605962791.6724,428,37.00
1605962793.2623,428,37.06
1605962794.8822,429,37.06
1605962796.4722,431,37.06
1605962798.1816,435,37.00
1605962799.6824,435,37.00
1605962801.2722,430,37.06
1605962802.8622,420,37.00
1605962804.4821,410,37.06
1605962806.0721,408,37.06
1605962811.5517,405,37.06
1605962811.5555,408,37.06
1605962811.5588,408,37.06
1605962812.9330,409,37.06
1605962814.0842,411,37.06
1605962815.7034,411,37.06
1605962817.2893,413,37.06
1605962819.0793,415,37.06
1605962820.6143,417,37.06
1605962822.0630,419,37.06
1605962823.6529,421,37.06
1605962825.2729,422,37.06
1605962826.8631,419,37.06
1605962828.5054,411,37.06
1605962830.1649,413,37.06
1605962831.6629,416,37.06
1605962833.2531,419,37.06
1605962834.8428,420,37.06
1605962836.4628,422,37.06
1605962838.0529,423,37.06
1605962839.7276,424,37.00
1605962841.3447,426,37.00
1605962842.8529,426,37.06
1605962844.4427,427,37.06
1605962846.0627,428,37.06
1605962847.6528,429,37.06
1605962849.2427,430,37.06
1605962850.8924,431,37.00
1605962852.5940,430,37.06
1605962854.0426,429,37.00
1605962855.6324,420,37.06
1605962857.2525,413,37.06
1605962858.8425,412,37.06
1605962860.4594,415,37.06
1605962862.1621,417,37.00
1605962863.6421,419,37.06
1605962865.2324,421,37.06
1605962866.8824,422,37.06
1605962868.4422,424,37.06
1605962870.0323,425,37.06
1605962871.7130,426,37.06
1605962873.3516,428,37.06
1605962874.8322,427,37.06
1605962876.4523,423,37.06
1605962878.0422,421,37.06
1605962879.6322,422,37.06
1605962881.2221,423,37.06
1605962882.9268,424,37.06
1605962884.5531,425,37.06
1605962886.0212,425,37.06
1605962887.6393,427,37.06
1605962889.2281,427,37.06
1605962890.8169,428,37.06
1605962892.4357,429,37.06
1605962894.1054,430,37.06
1605962895.6138,431,37.06
1605962897.2329,432,37.06
1605962898.8222,431,37.06
1605962900.4116,429,37.06
1605962902.0309,429,37.06
1605962903.6476,429,37.06
1605962905.2913,430,37.06
1605962906.7992,429,37.06
1605962908.4191,429,37.06
1605962910.0126,426,37.06
1605962911.5980,420,37.06
1605962913.2179,394,37.06
1605962914.8305,376,37.06
1605962916.5381,382,37.00
1605962918.0173,388,37.06
1605962919.6070,393,37.06
1605962921.2268,398,37.06
1605962922.8167,403,37.06
1605962924.4064,406,37.06
1605962926.0752,409,37.06
1605962927.7808,413,37.06
1605962929.4786,416,37.06
1605962930.7947,411,37.06
1605962932.3845,408,37.06
1605962934.0044,409,37.06
1605962935.5943,411,37.06
1605962937.2801,414,37.06
1605962938.9204,415,37.06
1605962940.3942,417,37.06
1605962941.9840,419,37.06
1605962943.6039,421,37.00
1605962945.1938,424,37.06
1605962946.8128,424,37.06
1605962948.4621,425,37.06
1605962949.9938,426,37.06
1605962951.5837,425,37.06
1605962953.2036,420,37.06
1605962954.7936,416,37.06
1605962956.3835,415,37.06
1605962958.0009,416,37.06
1605962959.7186,417,37.06
1605962961.1835,418,37.06
1605962962.7734,420,37.06
1605962964.3933,422,37.00
1605962966.0132,423,37.06
1605962967.5732,424,37.00
1605962969.2526,425,37.06
1605962970.7833,427,37.06
1605962972.3734,427,37.06
1605962973.9932,428,37.06
1605962975.5830,430,37.06
1605962977.1730,432,37.00
1605962978.7929,432,37.00
1605962980.4724,432,37.00
1605962981.9730,433,37.00
1605962983.5929,433,37.00
1605962985.1829,433,37.00
1605962986.7729,434,37.00
1605962988.3627,435,37.00
1605962990.0103,435,37.06
1605962994.3584,436,37.00
1605962994.3620,436,37.06
1605962995.1859,436,37.00
1605962996.8246,436,37.00
1605962998.0473,437,37.06
1605962999.6892,437,37.00
1605963001.2238,437,37.00
1605963002.9082,438,37.00
1605963004.3836,438,37.00
1605963005.9739,439,37.00
1605963007.5633,439,37.00
1605963009.1835,440,37.00
1605963010.8138,440,37.00
1605963012.4520,441,37.00
1605963013.9534,441,37.00
1605963015.5735,441,37.00
1605963017.1635,440,37.00
1605963018.7534,441,37.00
1605963020.3734,441,37.00
1605963021.9832,440,37.00
1605963023.6642,439,37.00
1605963025.1724,438,37.00
1605963026.7622,439,37.00
1605963028.3521,438,37.00
1605963029.9720,438,37.00
1605963031.5618,437,37.00
1605963033.1779,439,37.00
1605963034.8571,440,37.00
1605963036.3622,440,37.00
1605963037.9519,441,37.00
1605963039.5417,442,37.00
1605963041.1616,442,37.00
1605963042.7516,442,37.00
1605963044.4293,442,37.00
1605963046.0797,443,37.00
1605963047.5526,444,37.00
1605963049.1415,444,37.00
1605963050.7614,444,37.00
1605963052.3515,445,37.06
1605963053.9685,445,37.00
1605963055.6544,446,37.00
1605963057.1516,446,37.00
1605963058.7415,446,37.00
1605963060.3615,446,37.00
1605963061.9514,447,37.00
1605963063.5413,447,37.00
1605963065.1584,447,37.00
1605963066.8093,447,37.00
1605963068.3414,448,37.00
1605963069.9313,447,37.06
1605963071.5511,448,37.00
1605963073.1411,448,37.00