Time,GSR,Temp(C)
1605962161.4925,443,37.06
1605962163.1117,443,37.06
1605962164.8141,444,37.06
1605962166.4045,445,37.06
1605962167.9419,445,37.06
1605962169.5016,446,37.06
1605962171.0917,446,37.06
1605962172.7115,446,37.06
1605962174.3016,440,37.06
1605962175.9352,436,37.06
1605962177.6546,438,37.06
1605962179.1016,437,37.06
1605962180.6915,438,37.06
1605962182.3114,441,37.06
1605962183.9014,442,37.06
1605962185.4914,443,37.06
1605962187.1938,444,37.06
1605962188.8396,445,37.06
1605962190.2913,446,37.06
1605962191.8813,447,37.06
1605962193.5012,448,37.06
1605962195.1212,448,37.06
1605962196.6954,449,37.06
1605962198.4056,449,37.06
1605962199.8912,450,37.06
1605962201.4811,450,37.06
1605962203.1011,451,37.06
1605962204.6911,451,37.06
1605962206.2810,451,37.06
1605962207.9435,447,37.06
1605962209.5933,442,37.06
1605962211.0814,439,37.06
1605962212.6710,438,37.06
1605962214.2909,438,37.06
1605962215.8808,439,37.06
1605962217.4842,440,37.06
1605962219.1333,440,37.06
1605962220.8140,445,37.06
1605962222.2969,437,37.06
1605962224.0011,414,37.06
1605962225.7309,401,37.06
1605962227.1045,403,37.06
1605962228.7803,407,37.06
1605962230.4208,411,37.06
1605962231.8718,415,37.06
1605962233.4919,419,37.06
1605962235.0820,422,37.06
1605962236.6718,425,37.06
1605962238.2917,426,37.06
1605962239.9214,428,37.06
1605962241.6312,431,37.06
1605962243.0618,433,37.06
1605962244.6816,435,37.06
1605962246.2716,436,37.06
1605962247.8616,437,37.06
1605962249.4815,438,37.06
1605962251.1146,437,37.06
1605962252.8199,437,37.06
1605962254.2816,438,37.06
1605962255.8715,438,37.06
1605962257.4613,439,37.06
1605962259.0814,440,37.06
1605962260.6978,441,37.06
1605962262.3610,441,37.06
1605962264.0416,442,37.06
1605962265.4712,443,37.06
1605962267.0612,442,37.06
1605962268.6511,443,37.06
1605962270.2712,443,37.06
1605962271.9492,444,37.06
1605962273.5877,444,37.06
1605962275.0712,444,37.06
1605962276.6612,445,37.06
1605962278.2511,446,37.06
1605962279.9009,446,37.06
1605962281.4610,446,37.06
1605962283.1487,447,37.06
1605962284.7711,447,37.06
1605962286.2610,447,37.06
1605962287.8508,448,37.06
1605962289.4708,448,37.06
1605962291.0608,448,37.06
1605962292.6675,448,37.06
1605962294.3401,448,37.06
1605962295.8606,448,37.06
1605962297.4808,449,37.06
1605962299.0406,449,37.06
1605962300.6907,449,37.06
1605962302.2506,450,37.06
1605962303.8795,450,37.06
1605962305.5607,450,37.06
1605962307.0507,450,37.06
1605962308.6404,450,37.06
1605962310.2604,450,37.06
1605962311.8504,450,37.06
1605962313.4404,450,37.06
1605962315.0724,451,37.06
1605962316.7810,451,37.06
1605962318.2403,451,37.06
1605962319.8303,451,37.06
1605962321.4504,450,37.06
1605962323.0403,450,37.06
1605962324.6292,450,37.06
1605962326.2909,450,37.06
1605962327.9370,451,37.06
1605962329.4291,450,37.06
1605962331.0490,450,37.06
1605962332.6390,450,37.06
1605962334.2289,451,37.06
1605962335.8489,451,37.06
1605962337.5111,451,37.06
1605962339.1899,452,37.06
1605962340.6488,452,37.06
1605962342.2387,452,37.06
1605962343.8286,452,37.06
1605962345.4187,453,37.06
1605962347.0531,453,37.06
1605962348.7027,454,37.06
1605962350.2187,454,37.06
1605962351.8388,454,37.06
1605962353.4286,454,37.06
1605962355.0186,454,37.06
1605962356.6385,454,37.06
1605962358.2406,454,37.06
1605962359.9506,454,37.06
1605962361.4385,455,37.06
1605962363.0284,455,37.06
1605962364.6184,455,37.06
1605962366.2384,455,37.06
1605962367.8283,456,37.06
1605962369.4913,456,37.06
1605962371.0085,456,37.06
1605962372.6283,456,37.06
1605962374.2182,456,37.06
1605962375.8082,457,37.06
1605962377.4282,457,37.06
1605962379.0305,457,37.06
1605962380.7097,457,37.06
1605962382.2283,456,37.06
1605962383.8181,457,37.06
1605962385.4082,457,37.06
1605962387.0281,457,37.06
1605962388.6180,458,37.06
1605962390.2503,458,37.06
1605962391.9016,458,37.06
1605962393.4180,458,37.06
1605962395.0079,458,37.06
1605962396.5978,458,37.06
1605962398.2179,458,37.06
1605962399.8678,458,37.06
1605962401.4401,459,37.06
1605962403.1642,459,37.06
1605962404.7990,459,37.06
1605962406.1977,459,37.06
1605962407.8176,459,37.06
1605962409.4076,459,37.06
1605962410.9976,459,37.06
1605962412.6997,459,37.06
1605962414.2078,459,37.06
1605962415.7976,460,37.06
1605962417.4175,460,37.06
1605962419.0075,460,37.06
1605962420.5974,460,37.06
1605962422.2174,460,37.06
1605962423.9193,460,37.06
1605962425.3977,459,37.06
1605962426.9875,459,37.06
1605962428.6074,459,37.06
1605962430.1974,459,37.06
1605962431.7874,454,37.06