Time,ECG
1605962164.0394,1689
1605962164.0420,4267
1605962164.0447,6142
1605962164.0471,7004
1605962164.0490,7985
1605962164.0510,8952
1605962164.0532,9541
1605962164.0551,10080
1605962164.0573,10632
1605962164.0594,11020
1605962164.0615,11337
1605962164.0635,11660
1605962164.0657,11923
1605962164.0675,12143
1605962164.0690,12351
1605962164.0710,12529
1605962164.0731,12675
1605962164.0751,12822
1605962164.0771,12949
1605962164.0790,13051
1605962164.0811,13149
1605962164.0830,13237
1605962164.0850,13298
1605962164.0870,13349
1605962164.0891,13400
1605962164.0911,13461
1605962164.0930,13510
1605962164.0950,13527
1605962164.0970,13547
1605962164.0990,13574
1605962164.1010,13579
1605962164.1030,13586
1605962164.1050,13596
1605962164.1070,13588
1605962164.1090,13576
1605962164.1110,13557
1605962164.1130,13505
1605962164.1150,13464
1605962164.1170,13461
1605962164.1190,13427
1605962164.1210,13381
1605962164.1230,13386
1605962164.1250,13378
1605962164.1270,13310
1605962164.1290,13254
1605962164.1310,13217
1605962164.1330,13159
1605962164.1350,13090
1605962164.1369,13032
1605962164.1389,12973
1605962164.1411,12819
1605962164.1430,12463
1605962164.1449,12145
1605962164.1469,12475
1605962164.1489,13325
1605962164.1509,13471
1605962164.1529,12790
1605962164.1549,12429
1605962164.1570,12446
1605962164.1589,12304
1605962164.1609,12167
1605962164.1629,12138
1605962164.1649,12055
1605962164.1670,11928
1605962164.1689,11848
1605962164.1709,11801
1605962164.1729,11733
1605962164.1749,11635
1605962164.1769,11542
1605962164.1789,11467
1605962164.1809,11381
1605962164.1829,11269
1605962164.1849,11176
1605962164.6678,11103
1605962164.6687,11018
1605962164.6712,10917
1605962164.6738,10810
1605962164.6758,10715
1605962164.6778,10632
1605962164.6799,10534
1605962164.6818,10439
1605962164.6838,10375
1605962164.6858,10297
1605962164.6878,10168
1605962164.6898,10068
1605962164.6918,10017
1605962164.6938,9946
1605962164.6958,9868
1605962164.6978,9802
1605962164.6998,9733
1605962164.7018,9667
1605962164.7038,9609
1605962164.7058,9558
1605962164.7078,9492
1605962164.7098,9394
1605962164.7118,9309
1605962164.7138,9260
1605962164.7158,9177
