,gsr,temp
1605962164.8141,298505.1196524496,37.06
1605962166.4045,296315.3596978352,37.06
1605962167.9419,294177.6739053965,37.06
1605962169.5016,292092.0622751334,37.06
1605962171.0917,290058.5248070459,37.06
1605962172.7115,288077.061501134,37.06
1605962174.3016,286147.67235739774,37.06
1605962175.9352,284270.3573758371,37.06
1605962177.6546,282445.1165564521,37.06
1605962179.1016,280671.9498992427,37.06
1605962180.6915,278950.857404209,37.06
1605962182.3114,277281.8390713508,37.06
1605962183.9014,275664.8949006683,37.06
1605962185.4914,274100.0248921614,37.06
1605962187.1938,272587.22904583014,37.06
1605962188.8396,271126.5073616745,37.06
1605962190.2913,269717.85983969446,37.06
1605962191.8813,268361.28647989006,37.06
1605962193.5012,267056.7872822613,37.06
1605962195.1212,265804.36224680813,37.06
1605962196.6954,264604.0113735306,37.06
1605962198.4056,263455.73466242873,37.06
1605962199.8912,262359.53211350244,37.06
1605962201.4811,261315.40372675177,37.06
1605962203.1011,260323.34950217674,37.06
1605962204.6911,259383.36943977734,37.06
1605962206.281,258495.46353955354,37.06
1605962207.9435,257659.63180150537,37.06
1605962209.5933,256875.8742256328,37.06
1605962211.0814,256144.19081193593,37.06
1605962212.671,255464.58156041463,37.06
1605962214.2909,254837.04647106896,37.06
1605962215.8808,254261.5855438989,37.06
1605962217.4842,253738.19877890448,37.06
1605962219.1333,253266.88617608568,37.06
1605962220.814,252847.6477354425,37.06
1605962222.2969,252480.48345697497,37.06
1605962224.0011,252165.39334068302,37.06
1605962225.7309,251902.37738656672,37.06
1605962227.1045,251691.43559462603,37.06
1605962228.7803,251532.56796486097,37.06
1605962230.4208,251425.77449727152,37.06
1605962231.8718,251371.0551918577,37.06
1605962233.4919,251368.41004861952,37.06
1605962235.082,251417.83906755695,37.06
1605962236.6718,251519.34224867,37.06
1605962238.2917,251672.9195919587,37.06
1605962239.9214,251878.57109742297,37.06
1605962241.6312,252136.2967650629,37.06
1605962243.0618,252446.09659487847,37.06
1605962244.6816,252807.9705868334,37.06
1605962246.2716,253375.35805896664,37.06
1605962247.8616,253996.73358373108,37.06
1605962249.4815,254768.7051830466,37.06
1605962251.1146,255678.32729597695,37.06
