,ecg
1605962164.0394,1689.0
1605962164.042,4267.0
1605962164.0447,6142.0
1605962164.0471,7004.0
1605962164.049,7985.0
1605962164.051,8952.0
1605962164.0532,9541.0
1605962164.0551,10080.0
1605962164.0573,10632.0
1605962164.0594,11020.0
1605962164.0615,11337.0
1605962164.0635,11660.0
1605962164.0657,11923.0
1605962164.0675,12143.0
1605962164.069,12351.0
1605962164.071,12529.0
1605962164.0731,12675.0
1605962164.0751,12822.0
1605962164.0771,12949.0
1605962164.079,13051.0
1605962164.0811,13149.0
1605962164.083,13237.0
1605962164.085,13298.0
1605962164.087,13349.0
1605962164.0891,13400.0
1605962164.0911,13461.0
1605962164.093,13510.0
1605962164.095,13527.0
1605962164.097,13547.0
1605962164.099,13574.0
1605962164.101,13579.0
1605962164.103,13586.0
1605962164.105,13596.0
1605962164.107,13588.0
1605962164.109,13576.0
1605962164.111,13557.0
1605962164.113,13505.0
1605962164.115,13464.0
1605962164.117,13461.0
1605962164.119,13427.0
1605962164.121,13381.0
1605962164.123,13386.0
1605962164.125,13378.0
1605962164.127,13310.0
1605962164.129,13254.0
1605962164.131,13217.0
1605962164.133,13159.0
1605962164.135,13090.0
1605962164.1369,13032.0
1605962164.1389,12973.0
1605962164.1411,12819.0
1605962164.143,12463.0
1605962164.1449,12145.0
1605962164.1469,12475.0
1605962164.1489,13325.0
1605962164.1509,13471.0
1605962164.1529,12790.0
1605962164.1549,12429.0
1605962164.157,12446.0
1605962164.1589,12304.0
1605962164.1609,12167.0
1605962164.1629,12138.0
1605962164.1649,12055.0
1605962164.167,11928.0
1605962164.1689,11848.0
1605962164.1709,11801.0
1605962164.1729,11733.0
1605962164.1749,11635.0
1605962164.1769,11542.0
1605962164.1789,11467.0
1605962164.1809,11381.0
1605962164.1829,11269.0
1605962164.1849,11176.0
1605962164.6678,11103.0
1605962164.6687,11018.0
1605962164.6712,10917.0
1605962164.6738,10810.0
1605962164.6758,10715.0
1605962164.6778,10632.0
1605962164.6799,10534.0
1605962164.6818,10439.0
1605962164.6838,10375.0
1605962164.6858,10297.0
1605962164.6878,10168.0
1605962164.6898,10068.0
1605962164.6918,10017.0
1605962164.6938,9946.0
1605962164.6958,9868.0
1605962164.6978,9802.0
1605962164.6998,9733.0
1605962164.7018,9667.0
1605962164.7038,9609.0
1605962164.7058,9558.0
1605962164.7078,9492.0
1605962164.7098,9394.0
1605962164.7118,9309.0
1605962164.7138,9260.0
1605962164.7158,9177.0
1605962164.7177,9062.0
1605962164.7197,8969.0
1605962164.7217,8881.0
1605962164.7239,8786.0
1605962164.7258,8708.0
1605962164.7277,8637.0
1605962164.7297,8547.0
1605962164.7317,8439.0
1605962164.7338,8349.0
1605962164.7357,8286.0
1605962164.7377,8212.0
1605962164.7397,8117.0
1605962164.7417,8029.0
